0:[(0.28611207008361816, 'XCEncSettingsState'), (1.5064661502838135, 'XCEncLoopState'), (1.506568193435669, 'XCEncPreRunState'), (1.5112709999084473, 'XCEncRunState'), (9.47383713722229, 'XCEncDumpState'), (12.941646099090576, 'XCEncLoopState'), (12.941717147827148, 'XCEncFinishState'), (13.240439176559448, 'XCEncQuitState'), (13.240544080734253, 'FinalState')]
4:[(0.440014123916626, 'XCEncSettingsState'), (1.5303900241851807, 'XCEncLoopState'), (1.5304450988769531, 'XCEncPreRunState'), (1.5342140197753906, 'XCEncRunState'), (8.187570095062256, 'XCEncDumpState'), (10.650179147720337, 'XCEncLoopState'), (10.650403022766113, 'XCEncFinishState'), (10.899193048477173, 'XCEncQuitState'), (10.899358987808228, 'FinalState')]
8:[(1.2044711112976074, 'XCEncSettingsState'), (3.2247021198272705, 'XCEncLoopState'), (3.2248291969299316, 'XCEncPreRunState'), (3.2319111824035645, 'XCEncRunState'), (21.446468114852905, 'XCEncDumpState'), (24.120474100112915, 'XCEncLoopState'), (24.12058401107788, 'XCEncFinishState'), (24.443698167800903, 'XCEncQuitState'), (24.44391918182373, 'FinalState')]
12:[(1.2078680992126465, 'XCEncSettingsState'), (2.9297890663146973, 'XCEncLoopState'), (2.9298810958862305, 'XCEncPreRunState'), (2.937019109725952, 'XCEncRunState'), (22.233530044555664, 'XCEncDumpState'), (26.111817121505737, 'XCEncLoopState'), (26.112075090408325, 'XCEncFinishState'), (26.528725147247314, 'XCEncQuitState'), (26.52895712852478, 'FinalState')]
16:[(1.211989164352417, 'XCEncSettingsState'), (2.4832119941711426, 'XCEncLoopState'), (2.483267068862915, 'XCEncPreRunState'), (2.4955220222473145, 'XCEncRunState'), (15.728187084197998, 'XCEncDumpState'), (19.86709213256836, 'XCEncLoopState'), (19.867295026779175, 'XCEncFinishState'), (20.7106831073761, 'XCEncQuitState'), (20.71120309829712, 'FinalState')]
20:[(1.2125160694122314, 'XCEncSettingsState'), (2.7856180667877197, 'XCEncLoopState'), (2.785691976547241, 'XCEncPreRunState'), (2.79561710357666, 'XCEncRunState'), (15.274904012680054, 'XCEncDumpState'), (19.189606189727783, 'XCEncLoopState'), (19.189828157424927, 'XCEncFinishState'), (19.432712078094482, 'XCEncQuitState'), (19.43287706375122, 'FinalState')]
24:[(1.2171549797058105, 'XCEncSettingsState'), (3.1583759784698486, 'XCEncLoopState'), (3.158499002456665, 'XCEncPreRunState'), (3.195568084716797, 'XCEncRunState'), (17.17456316947937, 'XCEncDumpState'), (21.32113218307495, 'XCEncLoopState'), (21.321502208709717, 'XCEncFinishState'), (21.646583080291748, 'XCEncQuitState'), (21.64689016342163, 'FinalState')]
28:[(1.2197721004486084, 'XCEncSettingsState'), (2.3427350521087646, 'XCEncLoopState'), (2.3428361415863037, 'XCEncPreRunState'), (2.3487930297851562, 'XCEncRunState'), (13.260178089141846, 'XCEncDumpState'), (17.150196075439453, 'XCEncLoopState'), (17.150352001190186, 'XCEncFinishState'), (17.444679021835327, 'XCEncQuitState'), (17.44479203224182, 'FinalState')]
32:[(1.2225010395050049, 'XCEncSettingsState'), (3.2203550338745117, 'XCEncLoopState'), (3.2204980850219727, 'XCEncPreRunState'), (3.2272109985351562, 'XCEncRunState'), (14.13929009437561, 'XCEncDumpState'), (17.694257020950317, 'XCEncLoopState'), (17.694380044937134, 'XCEncFinishState'), (17.98391604423523, 'XCEncQuitState'), (17.984032154083252, 'FinalState')]
36:[(1.2249321937561035, 'XCEncSettingsState'), (2.474377155303955, 'XCEncLoopState'), (2.474433183670044, 'XCEncPreRunState'), (2.4875481128692627, 'XCEncRunState'), (14.144221067428589, 'XCEncDumpState'), (17.2134530544281, 'XCEncLoopState'), (17.21356701850891, 'XCEncFinishState'), (17.438011169433594, 'XCEncQuitState'), (17.43820309638977, 'FinalState')]
40:[(1.2274401187896729, 'XCEncSettingsState'), (3.338529109954834, 'XCEncLoopState'), (3.3386549949645996, 'XCEncPreRunState'), (3.3451781272888184, 'XCEncRunState'), (16.518572092056274, 'XCEncDumpState'), (20.25682020187378, 'XCEncLoopState'), (20.257042169570923, 'XCEncFinishState'), (20.494264125823975, 'XCEncQuitState'), (20.494408130645752, 'FinalState')]
44:[(1.2280471324920654, 'XCEncSettingsState'), (3.2840230464935303, 'XCEncLoopState'), (3.284118175506592, 'XCEncPreRunState'), (3.289358139038086, 'XCEncRunState'), (17.213730096817017, 'XCEncDumpState'), (20.661477088928223, 'XCEncLoopState'), (20.661931037902832, 'XCEncFinishState'), (21.37861204147339, 'XCEncQuitState'), (21.37911319732666, 'FinalState')]
48:[(1.2284209728240967, 'XCEncSettingsState'), (2.3697450160980225, 'XCEncLoopState'), (2.3698031902313232, 'XCEncPreRunState'), (2.375810146331787, 'XCEncRunState'), (13.407849073410034, 'XCEncDumpState'), (17.213905096054077, 'XCEncLoopState'), (17.21398115158081, 'XCEncFinishState'), (17.50841498374939, 'XCEncQuitState'), (17.508567094802856, 'FinalState')]
52:[(1.229020118713379, 'XCEncSettingsState'), (3.2409870624542236, 'XCEncLoopState'), (3.241101026535034, 'XCEncPreRunState'), (3.2482311725616455, 'XCEncRunState'), (15.843501091003418, 'XCEncDumpState'), (19.402748107910156, 'XCEncLoopState'), (19.402934074401855, 'XCEncFinishState'), (19.764676094055176, 'XCEncQuitState'), (19.764978170394897, 'FinalState')]
56:[(1.2296249866485596, 'XCEncSettingsState'), (2.412583112716675, 'XCEncLoopState'), (2.4126391410827637, 'XCEncPreRunState'), (2.4204142093658447, 'XCEncRunState'), (14.134364128112793, 'XCEncDumpState'), (17.890315055847168, 'XCEncLoopState'), (17.89041519165039, 'XCEncFinishState'), (18.182164192199707, 'XCEncQuitState'), (18.182263135910034, 'FinalState')]
60:[(1.230027198791504, 'XCEncSettingsState'), (2.3572959899902344, 'XCEncLoopState'), (2.3573532104492188, 'XCEncPreRunState'), (2.362138032913208, 'XCEncRunState'), (15.376363039016724, 'XCEncDumpState'), (18.580708980560303, 'XCEncLoopState'), (18.58082413673401, 'XCEncFinishState'), (18.830406188964844, 'XCEncQuitState'), (18.83051109313965, 'FinalState')]
64:[(1.2305090427398682, 'XCEncSettingsState'), (2.3758649826049805, 'XCEncLoopState'), (2.375920057296753, 'XCEncPreRunState'), (2.3812451362609863, 'XCEncRunState'), (11.728026151657104, 'XCEncDumpState'), (14.29445219039917, 'XCEncLoopState'), (14.294601202011108, 'XCEncFinishState'), (14.565186023712158, 'XCEncQuitState'), (14.56532907485962, 'FinalState')]
68:[(1.2309191226959229, 'XCEncSettingsState'), (2.3547260761260986, 'XCEncLoopState'), (2.3547840118408203, 'XCEncPreRunState'), (2.362215042114258, 'XCEncRunState'), (17.07795000076294, 'XCEncDumpState'), (21.0840961933136, 'XCEncLoopState'), (21.08439302444458, 'XCEncFinishState'), (21.359800100326538, 'XCEncQuitState'), (21.360268115997314, 'FinalState')]
72:[(1.2315421104431152, 'XCEncSettingsState'), (3.2753632068634033, 'XCEncLoopState'), (3.2754580974578857, 'XCEncPreRunState'), (3.281820058822632, 'XCEncRunState'), (16.60236406326294, 'XCEncDumpState'), (19.85649299621582, 'XCEncLoopState'), (19.85673213005066, 'XCEncFinishState'), (20.27050805091858, 'XCEncQuitState'), (20.270743131637573, 'FinalState')]
76:[(1.2343440055847168, 'XCEncSettingsState'), (3.2983760833740234, 'XCEncLoopState'), (3.298462152481079, 'XCEncPreRunState'), (3.3061931133270264, 'XCEncRunState'), (23.17235803604126, 'XCEncDumpState'), (26.03647804260254, 'XCEncLoopState'), (26.036806106567383, 'XCEncFinishState'), (26.61938500404358, 'XCEncQuitState'), (26.61952805519104, 'FinalState')]
80:[(1.2483429908752441, 'XCEncSettingsState'), (2.872918128967285, 'XCEncLoopState'), (2.873049020767212, 'XCEncPreRunState'), (2.8795180320739746, 'XCEncRunState'), (22.99097514152527, 'XCEncDumpState'), (26.691426992416382, 'XCEncLoopState'), (26.691647052764893, 'XCEncFinishState'), (27.30486011505127, 'XCEncQuitState'), (27.305313110351562, 'FinalState')]
