0:[(0.05275416374206543, 'XCEncSettingsState'), (1.1866490840911865, 'XCEncLoopState'), (1.1868510246276855, 'XCEncPreRunState'), (1.209115982055664, 'XCEncRunState'), (24.500123977661133, 'XCEncDumpState'), (28.546499967575073, 'XCEncLoopState'), (28.5466570854187, 'XCEncFinishState'), (29.031490087509155, 'XCEncQuitState'), (29.031597137451172, 'FinalState')]
4:[(0.12390708923339844, 'XCEncSettingsState'), (1.661642074584961, 'XCEncLoopState'), (1.6616971492767334, 'XCEncPreRunState'), (1.6703431606292725, 'XCEncRunState'), (61.062138080596924, 'XCEncDumpState'), (70.56675696372986, 'XCEncLoopState'), (70.56690502166748, 'XCEncFinishState'), (71.15821504592896, 'XCEncQuitState'), (71.15836715698242, 'FinalState')]
8:[(0.1339111328125, 'XCEncSettingsState'), (2.268623113632202, 'XCEncLoopState'), (2.2686800956726074, 'XCEncPreRunState'), (2.2755939960479736, 'XCEncRunState'), (34.0076379776001, 'XCEncDumpState'), (38.27806210517883, 'XCEncLoopState'), (38.27839398384094, 'XCEncFinishState'), (39.24290204048157, 'XCEncQuitState'), (39.243112087249756, 'FinalState')]
12:[(0.23671817779541016, 'XCEncSettingsState'), (1.4512701034545898, 'XCEncLoopState'), (1.451328992843628, 'XCEncPreRunState'), (1.4613010883331299, 'XCEncRunState'), (24.189402103424072, 'XCEncDumpState'), (28.606450080871582, 'XCEncLoopState'), (28.60656714439392, 'XCEncFinishState'), (29.104434967041016, 'XCEncQuitState'), (29.104531049728394, 'FinalState')]
16:[(0.26001405715942383, 'XCEncSettingsState'), (2.3013641834259033, 'XCEncLoopState'), (2.301419973373413, 'XCEncPreRunState'), (2.3068251609802246, 'XCEncRunState'), (23.15128803253174, 'XCEncDumpState'), (25.904978036880493, 'XCEncLoopState'), (25.905083179473877, 'XCEncFinishState'), (26.478312969207764, 'XCEncQuitState'), (26.47843313217163, 'FinalState')]
20:[(0.26116108894348145, 'XCEncSettingsState'), (1.434650182723999, 'XCEncLoopState'), (1.4347071647644043, 'XCEncPreRunState'), (1.4419009685516357, 'XCEncRunState'), (22.83819007873535, 'XCEncDumpState'), (26.548351049423218, 'XCEncLoopState'), (26.548519134521484, 'XCEncFinishState'), (26.953214168548584, 'XCEncQuitState'), (26.9533531665802, 'FinalState')]
24:[(0.27112603187561035, 'XCEncSettingsState'), (1.4109761714935303, 'XCEncLoopState'), (1.411041021347046, 'XCEncPreRunState'), (1.4187631607055664, 'XCEncRunState'), (12.995654106140137, 'XCEncDumpState'), (16.794547080993652, 'XCEncLoopState'), (16.794676065444946, 'XCEncFinishState'), (17.189934968948364, 'XCEncQuitState'), (17.190097093582153, 'FinalState')]
28:[(0.34914302825927734, 'XCEncSettingsState'), (2.3447341918945312, 'XCEncLoopState'), (2.3447930812835693, 'XCEncPreRunState'), (2.353209972381592, 'XCEncRunState'), (15.062296152114868, 'XCEncDumpState'), (18.923655033111572, 'XCEncLoopState'), (18.923753023147583, 'XCEncFinishState'), (19.22747015953064, 'XCEncQuitState'), (19.22761106491089, 'FinalState')]
32:[(0.3886590003967285, 'XCEncSettingsState'), (1.534538984298706, 'XCEncLoopState'), (1.5346031188964844, 'XCEncPreRunState'), (1.5434319972991943, 'XCEncRunState'), (15.491290092468262, 'XCEncDumpState'), (19.350430965423584, 'XCEncLoopState'), (19.350528955459595, 'XCEncFinishState'), (19.65373396873474, 'XCEncQuitState'), (19.653817176818848, 'FinalState')]
36:[(0.4216279983520508, 'XCEncSettingsState'), (2.3345069885253906, 'XCEncLoopState'), (2.3345630168914795, 'XCEncPreRunState'), (2.34004807472229, 'XCEncRunState'), (17.31509304046631, 'XCEncDumpState'), (20.894517183303833, 'XCEncLoopState'), (20.894674062728882, 'XCEncFinishState'), (21.324925184249878, 'XCEncQuitState'), (21.3251531124115, 'FinalState')]
40:[(0.5046429634094238, 'XCEncSettingsState'), (2.1986019611358643, 'XCEncLoopState'), (2.198660135269165, 'XCEncPreRunState'), (2.2061171531677246, 'XCEncRunState'), (24.057278156280518, 'XCEncDumpState'), (30.149108171463013, 'XCEncLoopState'), (30.149301052093506, 'XCEncFinishState'), (30.858829021453857, 'XCEncQuitState'), (30.858994960784912, 'FinalState')]
