0:[(0.5861468315124512, 'XCEncSettingsState'), (1.7710800170898438, 'XCEncLoopState'), (1.7711780071258545, 'XCEncPreRunState'), (1.7740719318389893, 'XCEncRunState'), (7.3760600090026855, 'XCEncDumpState'), (9.654459953308105, 'XCEncLoopState'), (9.654685020446777, 'XCEncFinishState'), (9.916438817977905, 'XCEncQuitState'), (9.916603803634644, 'FinalState')]
4:[(0.7274699211120605, 'XCEncSettingsState'), (2.277453899383545, 'XCEncLoopState'), (2.2775139808654785, 'XCEncPreRunState'), (2.28892183303833, 'XCEncRunState'), (12.521528005599976, 'XCEncDumpState'), (16.19697093963623, 'XCEncLoopState'), (16.197149991989136, 'XCEncFinishState'), (16.50713801383972, 'XCEncQuitState'), (16.507251977920532, 'FinalState')]
8:[(1.145143985748291, 'XCEncSettingsState'), (2.3123788833618164, 'XCEncLoopState'), (2.3124308586120605, 'XCEncPreRunState'), (2.3180758953094482, 'XCEncRunState'), (14.967475891113281, 'XCEncDumpState'), (17.624258995056152, 'XCEncLoopState'), (17.624347925186157, 'XCEncFinishState'), (17.970069885253906, 'XCEncQuitState'), (17.970207929611206, 'FinalState')]
12:[(1.1462960243225098, 'XCEncSettingsState'), (2.4846649169921875, 'XCEncLoopState'), (2.484745979309082, 'XCEncPreRunState'), (2.4968650341033936, 'XCEncRunState'), (22.83443593978882, 'XCEncDumpState'), (27.07910180091858, 'XCEncLoopState'), (27.079385995864868, 'XCEncFinishState'), (28.16584086418152, 'XCEncQuitState'), (28.166181802749634, 'FinalState')]
16:[(1.1471929550170898, 'XCEncSettingsState'), (2.331368923187256, 'XCEncLoopState'), (2.331432819366455, 'XCEncPreRunState'), (2.3431828022003174, 'XCEncRunState'), (10.688829898834229, 'XCEncDumpState'), (13.585899829864502, 'XCEncLoopState'), (13.585980892181396, 'XCEncFinishState'), (13.917773008346558, 'XCEncQuitState'), (13.917927980422974, 'FinalState')]
20:[(1.148711919784546, 'XCEncSettingsState'), (3.1359050273895264, 'XCEncLoopState'), (3.136023998260498, 'XCEncPreRunState'), (3.1400749683380127, 'XCEncRunState'), (15.72787094116211, 'XCEncDumpState'), (19.609124898910522, 'XCEncLoopState'), (19.609253883361816, 'XCEncFinishState'), (20.235100984573364, 'XCEncQuitState'), (20.23534083366394, 'FinalState')]
24:[(1.1493418216705322, 'XCEncSettingsState'), (3.0723719596862793, 'XCEncLoopState'), (3.0725088119506836, 'XCEncPreRunState'), (3.077430009841919, 'XCEncRunState'), (17.13101601600647, 'XCEncDumpState'), (21.1227970123291, 'XCEncLoopState'), (21.123145818710327, 'XCEncFinishState'), (21.778389930725098, 'XCEncQuitState'), (21.77865695953369, 'FinalState')]
28:[(1.1533470153808594, 'XCEncSettingsState'), (2.6254358291625977, 'XCEncLoopState'), (2.6254868507385254, 'XCEncPreRunState'), (2.632706880569458, 'XCEncRunState'), (14.048629999160767, 'XCEncDumpState'), (17.91698980331421, 'XCEncLoopState'), (17.917128801345825, 'XCEncFinishState'), (18.234879970550537, 'XCEncQuitState'), (18.235013961791992, 'FinalState')]
32:[(1.166062831878662, 'XCEncSettingsState'), (2.320931911468506, 'XCEncLoopState'), (2.3209829330444336, 'XCEncPreRunState'), (2.3264689445495605, 'XCEncRunState'), (9.463467836380005, 'XCEncDumpState'), (11.9475679397583, 'XCEncLoopState'), (11.94772481918335, 'XCEncFinishState'), (12.161072969436646, 'XCEncQuitState'), (12.161221027374268, 'FinalState')]
36:[(1.1726229190826416, 'XCEncSettingsState'), (3.3131020069122314, 'XCEncLoopState'), (3.3131940364837646, 'XCEncPreRunState'), (3.318657875061035, 'XCEncRunState'), (14.780098915100098, 'XCEncDumpState'), (17.86353588104248, 'XCEncLoopState'), (17.863701820373535, 'XCEncFinishState'), (18.109474897384644, 'XCEncQuitState'), (18.109606981277466, 'FinalState')]
40:[(1.1791608333587646, 'XCEncSettingsState'), (2.446141004562378, 'XCEncLoopState'), (2.446197986602783, 'XCEncPreRunState'), (2.4545819759368896, 'XCEncRunState'), (16.149516820907593, 'XCEncDumpState'), (19.94385290145874, 'XCEncLoopState'), (19.944129943847656, 'XCEncFinishState'), (20.86454486846924, 'XCEncQuitState'), (20.864677906036377, 'FinalState')]
44:[(1.188349962234497, 'XCEncSettingsState'), (2.4570438861846924, 'XCEncLoopState'), (2.45711088180542, 'XCEncPreRunState'), (2.465345859527588, 'XCEncRunState'), (16.69705581665039, 'XCEncDumpState'), (20.452656984329224, 'XCEncLoopState'), (20.452826976776123, 'XCEncFinishState'), (21.691237926483154, 'XCEncQuitState'), (21.691668033599854, 'FinalState')]
48:[(1.1933939456939697, 'XCEncSettingsState'), (2.3719849586486816, 'XCEncLoopState'), (2.372036933898926, 'XCEncPreRunState'), (2.3783748149871826, 'XCEncRunState'), (13.547019004821777, 'XCEncDumpState'), (17.303841829299927, 'XCEncLoopState'), (17.30399203300476, 'XCEncFinishState'), (17.706169843673706, 'XCEncQuitState'), (17.70627498626709, 'FinalState')]
52:[(1.194281816482544, 'XCEncSettingsState'), (3.237013816833496, 'XCEncLoopState'), (3.2371819019317627, 'XCEncPreRunState'), (3.2437078952789307, 'XCEncRunState'), (16.08280301094055, 'XCEncDumpState'), (20.03945302963257, 'XCEncLoopState'), (20.039714813232422, 'XCEncFinishState'), (20.462390899658203, 'XCEncQuitState'), (20.462589025497437, 'FinalState')]
56:[(1.194931983947754, 'XCEncSettingsState'), (2.385478973388672, 'XCEncLoopState'), (2.3855299949645996, 'XCEncPreRunState'), (2.398505926132202, 'XCEncRunState'), (9.833321809768677, 'XCEncDumpState'), (12.388666868209839, 'XCEncLoopState'), (12.388813972473145, 'XCEncFinishState'), (12.716022968292236, 'XCEncQuitState'), (12.716150999069214, 'FinalState')]
60:[(1.1957039833068848, 'XCEncSettingsState'), (3.270108938217163, 'XCEncLoopState'), (3.2702178955078125, 'XCEncPreRunState'), (3.2763659954071045, 'XCEncRunState'), (16.80037498474121, 'XCEncDumpState'), (20.00027585029602, 'XCEncLoopState'), (20.000496864318848, 'XCEncFinishState'), (20.325997829437256, 'XCEncQuitState'), (20.3263099193573, 'FinalState')]
64:[(1.196396827697754, 'XCEncSettingsState'), (2.442286968231201, 'XCEncLoopState'), (2.4423458576202393, 'XCEncPreRunState'), (2.451927900314331, 'XCEncRunState'), (17.892778873443604, 'XCEncDumpState'), (21.455503940582275, 'XCEncLoopState'), (21.455776929855347, 'XCEncFinishState'), (21.71651601791382, 'XCEncQuitState'), (21.71683382987976, 'FinalState')]
68:[(1.1970579624176025, 'XCEncSettingsState'), (2.4057400226593018, 'XCEncLoopState'), (2.40579891204834, 'XCEncPreRunState'), (2.4175519943237305, 'XCEncRunState'), (11.826404809951782, 'XCEncDumpState'), (14.54026484489441, 'XCEncLoopState'), (14.540376901626587, 'XCEncFinishState'), (14.80314302444458, 'XCEncQuitState'), (14.803257942199707, 'FinalState')]
72:[(1.1976549625396729, 'XCEncSettingsState'), (2.3617048263549805, 'XCEncLoopState'), (2.3617568016052246, 'XCEncPreRunState'), (2.3699748516082764, 'XCEncRunState'), (11.287184953689575, 'XCEncDumpState'), (14.065215826034546, 'XCEncLoopState'), (14.065377950668335, 'XCEncFinishState'), (15.154271841049194, 'XCEncQuitState'), (15.154366970062256, 'FinalState')]
