0:[(0.0197298526763916, 'XCEncSettingsState'), (6.076185941696167, 'XCEncLoopState'), (6.076324939727783, 'XCEncPreRunState'), (6.105065822601318, 'XCEncRunState'), (45.42229199409485, 'XCEncDumpState'), (53.427626848220825, 'XCEncLoopState'), (53.42777681350708, 'XCEncFinishState'), (53.69311785697937, 'XCEncQuitState'), (53.69324278831482, 'FinalState')]
1:[(0.23660588264465332, 'XCEncSettingsState'), (7.501977920532227, 'XCEncLoopState'), (7.502107858657837, 'XCEncPreRunState'), (7.50621485710144, 'XCEncRunState'), (25.112497806549072, 'XCEncDumpState'), (29.159101963043213, 'XCEncLoopState'), (29.159245014190674, 'XCEncFinishState'), (29.3609139919281, 'XCEncQuitState'), (29.361064910888672, 'FinalState')]
2:[(0.36565399169921875, 'XCEncSettingsState'), (6.61323094367981, 'XCEncLoopState'), (6.613384962081909, 'XCEncPreRunState'), (6.62333083152771, 'XCEncRunState'), (24.625525951385498, 'XCEncDumpState'), (28.65461277961731, 'XCEncLoopState'), (28.65475296974182, 'XCEncFinishState'), (28.92928385734558, 'XCEncQuitState'), (28.929430961608887, 'FinalState')]
3:[(0.592397928237915, 'XCEncSettingsState'), (6.486576795578003, 'XCEncLoopState'), (6.486701965332031, 'XCEncPreRunState'), (6.495617866516113, 'XCEncRunState'), (24.861926794052124, 'XCEncDumpState'), (29.13216280937195, 'XCEncLoopState'), (29.132314920425415, 'XCEncFinishState'), (29.30007791519165, 'XCEncQuitState'), (29.300229787826538, 'FinalState')]
4:[(1.1594529151916504, 'XCEncSettingsState'), (8.459263801574707, 'XCEncLoopState'), (8.459353923797607, 'XCEncPreRunState'), (8.463992834091187, 'XCEncRunState'), (26.071918964385986, 'XCEncDumpState'), (30.347875833511353, 'XCEncLoopState'), (30.348033905029297, 'XCEncFinishState'), (30.52970600128174, 'XCEncQuitState'), (30.52985978126526, 'FinalState')]
5:[(1.2041218280792236, 'XCEncSettingsState'), (8.834374904632568, 'XCEncLoopState'), (8.834450006484985, 'XCEncPreRunState'), (8.839748859405518, 'XCEncRunState'), (26.92838978767395, 'XCEncDumpState'), (31.122440814971924, 'XCEncLoopState'), (31.122609853744507, 'XCEncFinishState'), (31.34161901473999, 'XCEncQuitState'), (31.3417809009552, 'FinalState')]
6:[(1.2044239044189453, 'XCEncSettingsState'), (8.507489919662476, 'XCEncLoopState'), (8.507600784301758, 'XCEncPreRunState'), (8.511579990386963, 'XCEncRunState'), (26.3691828250885, 'XCEncDumpState'), (30.590590953826904, 'XCEncLoopState'), (30.59074878692627, 'XCEncFinishState'), (30.753264904022217, 'XCEncQuitState'), (30.753408908843994, 'FinalState')]
7:[(1.2046918869018555, 'XCEncSettingsState'), (7.383854866027832, 'XCEncLoopState'), (7.384009838104248, 'XCEncPreRunState'), (7.391250848770142, 'XCEncRunState'), (26.50505781173706, 'XCEncDumpState'), (31.11559796333313, 'XCEncLoopState'), (31.115747928619385, 'XCEncFinishState'), (31.282566785812378, 'XCEncQuitState'), (31.282708883285522, 'FinalState')]
8:[(1.2065730094909668, 'XCEncSettingsState'), (8.271537780761719, 'XCEncLoopState'), (8.271665811538696, 'XCEncPreRunState'), (8.278411865234375, 'XCEncRunState'), (28.751033782958984, 'XCEncDumpState'), (32.913033962249756, 'XCEncLoopState'), (32.91316485404968, 'XCEncFinishState'), (33.378750801086426, 'XCEncQuitState'), (33.378901958465576, 'FinalState')]
9:[(1.2069768905639648, 'XCEncSettingsState'), (8.358207941055298, 'XCEncLoopState'), (8.358316898345947, 'XCEncPreRunState'), (8.364796876907349, 'XCEncRunState'), (88.49915385246277, 'XCEncDumpState'), (93.60678195953369, 'XCEncLoopState'), (93.60694193840027, 'XCEncFinishState'), (94.31502294540405, 'XCEncQuitState'), (94.31516599655151, 'FinalState')]
10:[(1.207425832748413, 'XCEncSettingsState'), (8.730889797210693, 'XCEncLoopState'), (8.730986833572388, 'XCEncPreRunState'), (8.73792290687561, 'XCEncRunState'), (87.55217981338501, 'XCEncDumpState'), (93.39894986152649, 'XCEncLoopState'), (93.39911198616028, 'XCEncFinishState'), (93.60956001281738, 'XCEncQuitState'), (93.60970282554626, 'FinalState')]
