21:[(0.41646599769592285, 'XCEncSettingsState'), (1.5921761989593506, 'XCEncLoopState'), (1.5923070907592773, 'XCEncPreRunState'), (1.6131970882415771, 'XCEncRunState'), (9.996631145477295, 'XCEncFinishState'), (10.175549030303955, 'XCEncQuitState'), (10.17565107345581, 'FinalState')]
22:[(0.49472808837890625, 'XCEncSettingsState'), (1.6856670379638672, 'XCEncLoopState'), (1.6857471466064453, 'XCEncPreRunState'), (1.6925380229949951, 'XCEncRunState'), (13.675624132156372, 'XCEncFinishState'), (13.89069414138794, 'XCEncQuitState'), (13.890806198120117, 'FinalState')]
23:[(0.6387150287628174, 'XCEncSettingsState'), (2.781851053237915, 'XCEncLoopState'), (2.781905174255371, 'XCEncPreRunState'), (2.789163112640381, 'XCEncRunState'), (13.109085083007812, 'XCEncFinishState'), (13.287779092788696, 'XCEncQuitState'), (13.287895202636719, 'FinalState')]
24:[(0.6614940166473389, 'XCEncSettingsState'), (1.8578410148620605, 'XCEncLoopState'), (1.8579041957855225, 'XCEncPreRunState'), (1.8713099956512451, 'XCEncRunState'), (12.346638202667236, 'XCEncFinishState'), (12.528914213180542, 'XCEncQuitState'), (12.529043197631836, 'FinalState')]
25:[(0.848729133605957, 'XCEncSettingsState'), (2.01322603225708, 'XCEncLoopState'), (2.0132951736450195, 'XCEncPreRunState'), (2.0208611488342285, 'XCEncRunState'), (12.448669195175171, 'XCEncFinishState'), (12.713137149810791, 'XCEncQuitState'), (12.71328616142273, 'FinalState')]
26:[(0.9978961944580078, 'XCEncSettingsState'), (2.1885290145874023, 'XCEncLoopState'), (2.188585042953491, 'XCEncPreRunState'), (2.194016218185425, 'XCEncRunState'), (9.569661140441895, 'XCEncFinishState'), (9.751276016235352, 'XCEncQuitState'), (9.75143814086914, 'FinalState')]
27:[(1.0163922309875488, 'XCEncSettingsState'), (2.150365114212036, 'XCEncLoopState'), (2.150421142578125, 'XCEncPreRunState'), (2.1571240425109863, 'XCEncRunState'), (12.004369020462036, 'XCEncFinishState'), (12.155630111694336, 'XCEncQuitState'), (12.15573000907898, 'FinalState')]
28:[(1.0245862007141113, 'XCEncSettingsState'), (2.321702003479004, 'XCEncLoopState'), (2.3217580318450928, 'XCEncPreRunState'), (2.3272950649261475, 'XCEncRunState'), (13.170773029327393, 'XCEncFinishState'), (13.33069109916687, 'XCEncQuitState'), (13.330833196640015, 'FinalState')]
29:[(1.0261800289154053, 'XCEncSettingsState'), (2.214759111404419, 'XCEncLoopState'), (2.2148170471191406, 'XCEncPreRunState'), (2.227595090866089, 'XCEncRunState'), (15.718043088912964, 'XCEncFinishState'), (15.87559700012207, 'XCEncQuitState'), (15.875752210617065, 'FinalState')]
30:[(1.065657138824463, 'XCEncSettingsState'), (2.2455921173095703, 'XCEncLoopState'), (2.2456490993499756, 'XCEncPreRunState'), (2.2512152194976807, 'XCEncRunState'), (14.94572901725769, 'XCEncFinishState'), (15.202516078948975, 'XCEncQuitState'), (15.20267915725708, 'FinalState')]
31:[(1.0663130283355713, 'XCEncSettingsState'), (2.538649082183838, 'XCEncLoopState'), (2.5387070178985596, 'XCEncPreRunState'), (2.5500152111053467, 'XCEncRunState'), (14.388175010681152, 'XCEncFinishState'), (14.588877201080322, 'XCEncQuitState'), (14.588990211486816, 'FinalState')]
32:[(1.069993019104004, 'XCEncSettingsState'), (2.363399028778076, 'XCEncLoopState'), (2.363455057144165, 'XCEncPreRunState'), (2.3747642040252686, 'XCEncRunState'), (12.947899103164673, 'XCEncFinishState'), (13.195072174072266, 'XCEncQuitState'), (13.195184230804443, 'FinalState')]
33:[(1.0704050064086914, 'XCEncSettingsState'), (3.0605080127716064, 'XCEncLoopState'), (3.060575008392334, 'XCEncPreRunState'), (3.0707321166992188, 'XCEncRunState'), (13.480906009674072, 'XCEncFinishState'), (13.681722164154053, 'XCEncQuitState'), (13.68185806274414, 'FinalState')]
34:[(1.073761224746704, 'XCEncSettingsState'), (2.231232166290283, 'XCEncLoopState'), (2.231288194656372, 'XCEncPreRunState'), (2.2382001876831055, 'XCEncRunState'), (15.486255168914795, 'XCEncFinishState'), (15.685084104537964, 'XCEncQuitState'), (15.685244083404541, 'FinalState')]
35:[(1.0774891376495361, 'XCEncSettingsState'), (2.5723400115966797, 'XCEncLoopState'), (2.572395086288452, 'XCEncPreRunState'), (2.5832581520080566, 'XCEncRunState'), (15.23839521408081, 'XCEncFinishState'), (15.452949047088623, 'XCEncQuitState'), (15.453103065490723, 'FinalState')]
36:[(1.0781800746917725, 'XCEncSettingsState'), (3.899780035018921, 'XCEncLoopState'), (3.899832010269165, 'XCEncPreRunState'), (3.9052541255950928, 'XCEncRunState'), (15.46581506729126, 'XCEncFinishState'), (15.618703126907349, 'XCEncQuitState'), (15.618833065032959, 'FinalState')]
37:[(1.0820040702819824, 'XCEncSettingsState'), (2.227647066116333, 'XCEncLoopState'), (2.227703094482422, 'XCEncPreRunState'), (2.235889196395874, 'XCEncRunState'), (14.618149042129517, 'XCEncFinishState'), (14.833965063095093, 'XCEncQuitState'), (14.834074020385742, 'FinalState')]
38:[(1.0862631797790527, 'XCEncSettingsState'), (2.287065029144287, 'XCEncLoopState'), (2.287121057510376, 'XCEncPreRunState'), (2.2939281463623047, 'XCEncRunState'), (10.488574028015137, 'XCEncFinishState'), (10.687044143676758, 'XCEncQuitState'), (10.687189102172852, 'FinalState')]
39:[(1.094412088394165, 'XCEncSettingsState'), (2.2056782245635986, 'XCEncLoopState'), (2.2057340145111084, 'XCEncPreRunState'), (2.2091431617736816, 'XCEncRunState'), (11.900520086288452, 'XCEncFinishState'), (12.09998106956482, 'XCEncQuitState'), (12.10010814666748, 'FinalState')]
40:[(1.0997090339660645, 'XCEncSettingsState'), (3.135176181793213, 'XCEncLoopState'), (3.1352291107177734, 'XCEncPreRunState'), (3.1445260047912598, 'XCEncRunState'), (13.459360122680664, 'XCEncFinishState'), (13.608219146728516, 'XCEncQuitState'), (13.60836911201477, 'FinalState')]
41:[(1.1029870510101318, 'XCEncSettingsState'), (4.271594047546387, 'XCEncLoopState'), (4.271646022796631, 'XCEncPreRunState'), (4.297554016113281, 'XCEncRunState'), (15.20429801940918, 'XCEncFinishState'), (15.357363224029541, 'XCEncQuitState'), (15.357517004013062, 'FinalState')]
42:[(1.103769063949585, 'XCEncSettingsState'), (2.2488701343536377, 'XCEncLoopState'), (2.2489280700683594, 'XCEncPreRunState'), (2.25844407081604, 'XCEncRunState'), (10.196362018585205, 'XCEncFinishState'), (10.359157085418701, 'XCEncQuitState'), (10.359300136566162, 'FinalState')]
43:[(1.1044161319732666, 'XCEncSettingsState'), (2.9352610111236572, 'XCEncLoopState'), (2.93534517288208, 'XCEncPreRunState'), (2.94291615486145, 'XCEncRunState'), (10.718329191207886, 'XCEncFinishState'), (10.881540060043335, 'XCEncQuitState'), (10.881646156311035, 'FinalState')]
44:[(1.1051762104034424, 'XCEncSettingsState'), (2.2512922286987305, 'XCEncLoopState'), (2.2513492107391357, 'XCEncPreRunState'), (2.2606360912323, 'XCEncRunState'), (9.865673065185547, 'XCEncFinishState'), (10.07905912399292, 'XCEncQuitState'), (10.07919716835022, 'FinalState')]
45:[(1.1084752082824707, 'XCEncSettingsState'), (3.0787880420684814, 'XCEncLoopState'), (3.0788421630859375, 'XCEncPreRunState'), (3.0860960483551025, 'XCEncRunState'), (10.613195180892944, 'XCEncFinishState'), (10.776691198348999, 'XCEncQuitState'), (10.77681303024292, 'FinalState')]
46:[(1.2159950733184814, 'XCEncSettingsState'), (2.5183911323547363, 'XCEncLoopState'), (2.51845121383667, 'XCEncPreRunState'), (2.529114007949829, 'XCEncRunState'), (10.403761148452759, 'XCEncFinishState'), (10.557996034622192, 'XCEncQuitState'), (10.55810809135437, 'FinalState')]
47:[(1.217560052871704, 'XCEncSettingsState'), (2.9429821968078613, 'XCEncLoopState'), (2.9430370330810547, 'XCEncPreRunState'), (2.9522922039031982, 'XCEncRunState'), (10.24834418296814, 'XCEncFinishState'), (10.407867193222046, 'XCEncQuitState'), (10.407978057861328, 'FinalState')]
48:[(1.2887721061706543, 'XCEncSettingsState'), (2.4656050205230713, 'XCEncLoopState'), (2.4656620025634766, 'XCEncPreRunState'), (2.4739980697631836, 'XCEncRunState'), (10.295027017593384, 'XCEncFinishState'), (10.45533013343811, 'XCEncQuitState'), (10.455475091934204, 'FinalState')]
49:[(1.3647692203521729, 'XCEncSettingsState'), (2.5784811973571777, 'XCEncLoopState'), (2.5785391330718994, 'XCEncPreRunState'), (2.585681200027466, 'XCEncRunState'), (12.326136112213135, 'XCEncFinishState'), (12.475833177566528, 'XCEncQuitState'), (12.476215124130249, 'FinalState')]
50:[(1.414067029953003, 'XCEncSettingsState'), (2.6231651306152344, 'XCEncLoopState'), (2.623220205307007, 'XCEncPreRunState'), (2.631784200668335, 'XCEncRunState'), (9.429689168930054, 'XCEncFinishState'), (9.630324125289917, 'XCEncQuitState'), (9.63046407699585, 'FinalState')]
51:[(1.417457103729248, 'XCEncSettingsState'), (2.6305792331695557, 'XCEncLoopState'), (2.630634069442749, 'XCEncPreRunState'), (2.6340081691741943, 'XCEncRunState'), (12.810224056243896, 'XCEncFinishState'), (12.962785005569458, 'XCEncQuitState'), (12.96289610862732, 'FinalState')]
52:[(1.4178030490875244, 'XCEncSettingsState'), (2.6779541969299316, 'XCEncLoopState'), (2.678025007247925, 'XCEncPreRunState'), (2.686641216278076, 'XCEncRunState'), (15.25747799873352, 'XCEncFinishState'), (15.422035217285156, 'XCEncQuitState'), (15.422174215316772, 'FinalState')]
53:[(1.4185550212860107, 'XCEncSettingsState'), (3.443026065826416, 'XCEncLoopState'), (3.44307804107666, 'XCEncPreRunState'), (3.4655160903930664, 'XCEncRunState'), (15.732808113098145, 'XCEncFinishState'), (15.88853907585144, 'XCEncQuitState'), (15.888668060302734, 'FinalState')]
54:[(1.4197320938110352, 'XCEncSettingsState'), (2.6985111236572266, 'XCEncLoopState'), (2.6985671520233154, 'XCEncPreRunState'), (2.709928035736084, 'XCEncRunState'), (13.564268112182617, 'XCEncFinishState'), (13.759716033935547, 'XCEncQuitState'), (13.75982117652893, 'FinalState')]
55:[(1.4202392101287842, 'XCEncSettingsState'), (2.7387142181396484, 'XCEncLoopState'), (2.738770008087158, 'XCEncPreRunState'), (2.746016025543213, 'XCEncRunState'), (13.188713073730469, 'XCEncFinishState'), (13.4530770778656, 'XCEncQuitState'), (13.453196048736572, 'FinalState')]
56:[(1.4211900234222412, 'XCEncSettingsState'), (3.2554781436920166, 'XCEncLoopState'), (3.255535125732422, 'XCEncPreRunState'), (3.2612709999084473, 'XCEncRunState'), (11.35588812828064, 'XCEncFinishState'), (11.57616901397705, 'XCEncQuitState'), (11.576275110244751, 'FinalState')]
57:[(1.42252516746521, 'XCEncSettingsState'), (3.4655652046203613, 'XCEncLoopState'), (3.465630054473877, 'XCEncPreRunState'), (3.469358205795288, 'XCEncRunState'), (10.849163055419922, 'XCEncFinishState'), (11.112253189086914, 'XCEncQuitState'), (11.112362146377563, 'FinalState')]
58:[(1.4272541999816895, 'XCEncSettingsState'), (3.492232084274292, 'XCEncLoopState'), (3.492341995239258, 'XCEncPreRunState'), (3.497225046157837, 'XCEncRunState'), (10.809928178787231, 'XCEncFinishState'), (11.16929006576538, 'XCEncQuitState'), (11.169433116912842, 'FinalState')]
59:[(1.4407570362091064, 'XCEncSettingsState'), (2.750852108001709, 'XCEncLoopState'), (2.7509071826934814, 'XCEncPreRunState'), (2.75783109664917, 'XCEncRunState'), (10.324443101882935, 'XCEncFinishState'), (10.531524181365967, 'XCEncQuitState'), (10.531643152236938, 'FinalState')]
60:[(1.4559290409088135, 'XCEncSettingsState'), (2.691298007965088, 'XCEncLoopState'), (2.6913540363311768, 'XCEncPreRunState'), (2.6987040042877197, 'XCEncRunState'), (10.276055097579956, 'XCEncFinishState'), (10.466480016708374, 'XCEncQuitState'), (10.466604232788086, 'FinalState')]
61:[(1.4701662063598633, 'XCEncSettingsState'), (2.636284112930298, 'XCEncLoopState'), (2.6363391876220703, 'XCEncPreRunState'), (2.6468682289123535, 'XCEncRunState'), (10.043286085128784, 'XCEncFinishState'), (10.192718029022217, 'XCEncQuitState'), (10.192819118499756, 'FinalState')]
62:[(1.4777450561523438, 'XCEncSettingsState'), (2.6400210857391357, 'XCEncLoopState'), (2.6400771141052246, 'XCEncPreRunState'), (2.64803409576416, 'XCEncRunState'), (10.018273115158081, 'XCEncFinishState'), (10.188696146011353, 'XCEncQuitState'), (10.188799142837524, 'FinalState')]
63:[(1.4817230701446533, 'XCEncSettingsState'), (2.591527223587036, 'XCEncLoopState'), (2.5915820598602295, 'XCEncPreRunState'), (2.5999631881713867, 'XCEncRunState'), (10.003518104553223, 'XCEncFinishState'), (10.162877082824707, 'XCEncQuitState'), (10.162972211837769, 'FinalState')]
64:[(1.482410192489624, 'XCEncSettingsState'), (3.353358030319214, 'XCEncLoopState'), (3.35341215133667, 'XCEncPreRunState'), (3.3622171878814697, 'XCEncRunState'), (10.225502014160156, 'XCEncFinishState'), (10.380465030670166, 'XCEncQuitState'), (10.380582094192505, 'FinalState')]
