0:[(0.028094768524169922, 'XCEncSettingsState'), (1.1310679912567139, 'XCEncLoopState'), (1.1312158107757568, 'XCEncPreRunState'), (1.1368699073791504, 'XCEncRunState'), (13.002667903900146, 'XCEncFinishState'), (13.224743843078613, 'XCEncQuitState'), (13.22489595413208, 'FinalState')]
1:[(0.04552197456359863, 'XCEncSettingsState'), (2.054067850112915, 'XCEncLoopState'), (2.054144859313965, 'XCEncPreRunState'), (2.0620408058166504, 'XCEncRunState'), (12.160899877548218, 'XCEncFinishState'), (12.370728969573975, 'XCEncQuitState'), (12.370869874954224, 'FinalState')]
2:[(0.06655693054199219, 'XCEncSettingsState'), (1.318833827972412, 'XCEncLoopState'), (1.319025993347168, 'XCEncPreRunState'), (1.3243579864501953, 'XCEncRunState'), (10.936485767364502, 'XCEncFinishState'), (11.133824825286865, 'XCEncQuitState'), (11.133959770202637, 'FinalState')]
3:[(0.08308291435241699, 'XCEncSettingsState'), (2.0891969203948975, 'XCEncLoopState'), (2.0892508029937744, 'XCEncPreRunState'), (2.1048197746276855, 'XCEncRunState'), (11.260940790176392, 'XCEncFinishState'), (11.482553958892822, 'XCEncQuitState'), (11.482690811157227, 'FinalState')]
4:[(0.08366584777832031, 'XCEncSettingsState'), (2.027958869934082, 'XCEncLoopState'), (2.0280168056488037, 'XCEncPreRunState'), (2.0341989994049072, 'XCEncRunState'), (10.563331842422485, 'XCEncFinishState'), (10.7653968334198, 'XCEncQuitState'), (10.7655189037323, 'FinalState')]
5:[(0.10409092903137207, 'XCEncSettingsState'), (1.262596845626831, 'XCEncLoopState'), (1.2626969814300537, 'XCEncPreRunState'), (1.2655029296875, 'XCEncRunState'), (10.46313190460205, 'XCEncFinishState'), (10.631164789199829, 'XCEncQuitState'), (10.631263971328735, 'FinalState')]
6:[(0.1058199405670166, 'XCEncSettingsState'), (1.2034709453582764, 'XCEncLoopState'), (1.2036118507385254, 'XCEncPreRunState'), (1.2056307792663574, 'XCEncRunState'), (9.792921781539917, 'XCEncFinishState'), (9.997992992401123, 'XCEncQuitState'), (9.998122930526733, 'FinalState')]
7:[(0.12199282646179199, 'XCEncSettingsState'), (2.150702953338623, 'XCEncLoopState'), (2.1507599353790283, 'XCEncPreRunState'), (2.1587789058685303, 'XCEncRunState'), (11.215142965316772, 'XCEncFinishState'), (11.387683868408203, 'XCEncQuitState'), (11.38781189918518, 'FinalState')]
8:[(0.12315678596496582, 'XCEncSettingsState'), (1.2573378086090088, 'XCEncLoopState'), (1.2574539184570312, 'XCEncPreRunState'), (1.2599458694458008, 'XCEncRunState'), (10.760547876358032, 'XCEncFinishState'), (11.0326988697052, 'XCEncQuitState'), (11.032834768295288, 'FinalState')]
9:[(0.12974286079406738, 'XCEncSettingsState'), (1.2620859146118164, 'XCEncLoopState'), (1.2622098922729492, 'XCEncPreRunState'), (1.268563985824585, 'XCEncRunState'), (10.229121923446655, 'XCEncFinishState'), (10.3781898021698, 'XCEncQuitState'), (10.378322839736938, 'FinalState')]
10:[(0.13480377197265625, 'XCEncSettingsState'), (1.265625, 'XCEncLoopState'), (1.2657749652862549, 'XCEncPreRunState'), (1.2713279724121094, 'XCEncRunState'), (10.438440799713135, 'XCEncFinishState'), (10.700751781463623, 'XCEncQuitState'), (10.700847864151001, 'FinalState')]
11:[(0.1539778709411621, 'XCEncSettingsState'), (2.012267827987671, 'XCEncLoopState'), (2.0123260021209717, 'XCEncPreRunState'), (2.019573926925659, 'XCEncRunState'), (11.43654489517212, 'XCEncFinishState'), (11.64012885093689, 'XCEncQuitState'), (11.6402587890625, 'FinalState')]
12:[(0.15576577186584473, 'XCEncSettingsState'), (1.259382963180542, 'XCEncLoopState'), (1.2594947814941406, 'XCEncPreRunState'), (1.2629168033599854, 'XCEncRunState'), (8.150757789611816, 'XCEncFinishState'), (8.313336849212646, 'XCEncQuitState'), (8.313483953475952, 'FinalState')]
13:[(0.1702868938446045, 'XCEncSettingsState'), (2.1975488662719727, 'XCEncLoopState'), (2.1976068019866943, 'XCEncPreRunState'), (2.2169878482818604, 'XCEncRunState'), (12.132535934448242, 'XCEncFinishState'), (12.297979831695557, 'XCEncQuitState'), (12.298091888427734, 'FinalState')]
14:[(0.1777629852294922, 'XCEncSettingsState'), (1.3541228771209717, 'XCEncLoopState'), (1.3543519973754883, 'XCEncPreRunState'), (1.3818049430847168, 'XCEncRunState'), (10.940885782241821, 'XCEncFinishState'), (11.153233766555786, 'XCEncQuitState'), (11.15335488319397, 'FinalState')]
15:[(0.18530488014221191, 'XCEncSettingsState'), (1.6200039386749268, 'XCEncLoopState'), (1.6200628280639648, 'XCEncPreRunState'), (1.630112886428833, 'XCEncRunState'), (10.094263792037964, 'XCEncFinishState'), (10.264250993728638, 'XCEncQuitState'), (10.264370918273926, 'FinalState')]
16:[(0.20231986045837402, 'XCEncSettingsState'), (2.1771159172058105, 'XCEncLoopState'), (2.177170991897583, 'XCEncPreRunState'), (2.1876888275146484, 'XCEncRunState'), (10.307141780853271, 'XCEncFinishState'), (10.52770185470581, 'XCEncQuitState'), (10.527835845947266, 'FinalState')]
17:[(0.21221494674682617, 'XCEncSettingsState'), (1.2914478778839111, 'XCEncLoopState'), (1.2915959358215332, 'XCEncPreRunState'), (1.2932748794555664, 'XCEncRunState'), (9.79007887840271, 'XCEncFinishState'), (10.010258913040161, 'XCEncQuitState'), (10.010368824005127, 'FinalState')]
18:[(0.2163867950439453, 'XCEncSettingsState'), (1.3349988460540771, 'XCEncLoopState'), (1.3351669311523438, 'XCEncPreRunState'), (1.3548247814178467, 'XCEncRunState'), (10.033459901809692, 'XCEncFinishState'), (10.244396924972534, 'XCEncQuitState'), (10.2445228099823, 'FinalState')]
19:[(0.22432494163513184, 'XCEncSettingsState'), (1.3037729263305664, 'XCEncLoopState'), (1.303900957107544, 'XCEncPreRunState'), (1.3060448169708252, 'XCEncRunState'), (9.808610916137695, 'XCEncFinishState'), (10.020874977111816, 'XCEncQuitState'), (10.020981788635254, 'FinalState')]
20:[(0.23805785179138184, 'XCEncSettingsState'), (1.417442798614502, 'XCEncLoopState'), (1.4176068305969238, 'XCEncPreRunState'), (1.4229209423065186, 'XCEncRunState'), (10.332226991653442, 'XCEncFinishState'), (10.543267965316772, 'XCEncQuitState'), (10.543414831161499, 'FinalState')]
21:[(0.2718379497528076, 'XCEncSettingsState'), (1.4400138854980469, 'XCEncLoopState'), (1.4400959014892578, 'XCEncPreRunState'), (1.4539868831634521, 'XCEncRunState'), (9.771443843841553, 'XCEncFinishState'), (9.981078863143921, 'XCEncQuitState'), (9.981204986572266, 'FinalState')]
22:[(0.28672289848327637, 'XCEncSettingsState'), (1.412531852722168, 'XCEncLoopState'), (1.4126849174499512, 'XCEncPreRunState'), (1.423003911972046, 'XCEncRunState'), (9.263745784759521, 'XCEncFinishState'), (9.421018838882446, 'XCEncQuitState'), (9.421128988265991, 'FinalState')]
23:[(0.29274797439575195, 'XCEncSettingsState'), (1.454054832458496, 'XCEncLoopState'), (1.4541339874267578, 'XCEncPreRunState'), (1.4641718864440918, 'XCEncRunState'), (9.550516843795776, 'XCEncFinishState'), (9.729370832443237, 'XCEncQuitState'), (9.729488849639893, 'FinalState')]
24:[(0.3133058547973633, 'XCEncSettingsState'), (1.5017328262329102, 'XCEncLoopState'), (1.501842975616455, 'XCEncPreRunState'), (1.5179858207702637, 'XCEncRunState'), (10.13524079322815, 'XCEncFinishState'), (10.373023986816406, 'XCEncQuitState'), (10.373150825500488, 'FinalState')]
25:[(0.3289308547973633, 'XCEncSettingsState'), (2.2133429050445557, 'XCEncLoopState'), (2.2133939266204834, 'XCEncPreRunState'), (2.219904899597168, 'XCEncRunState'), (10.41537094116211, 'XCEncFinishState'), (10.573208808898926, 'XCEncQuitState'), (10.573309898376465, 'FinalState')]
26:[(0.33719396591186523, 'XCEncSettingsState'), (1.5557239055633545, 'XCEncLoopState'), (1.5557818412780762, 'XCEncPreRunState'), (1.562410831451416, 'XCEncRunState'), (10.07924485206604, 'XCEncFinishState'), (10.286003828048706, 'XCEncQuitState'), (10.28610897064209, 'FinalState')]
27:[(0.36832594871520996, 'XCEncSettingsState'), (1.5218698978424072, 'XCEncLoopState'), (1.521927833557129, 'XCEncPreRunState'), (1.531944990158081, 'XCEncRunState'), (11.367447853088379, 'XCEncFinishState'), (11.527456998825073, 'XCEncQuitState'), (11.527585983276367, 'FinalState')]
28:[(0.4428439140319824, 'XCEncSettingsState'), (2.254671812057495, 'XCEncLoopState'), (2.254729986190796, 'XCEncPreRunState'), (2.2616848945617676, 'XCEncRunState'), (10.86804485321045, 'XCEncFinishState'), (11.090330839157104, 'XCEncQuitState'), (11.09048080444336, 'FinalState')]
29:[(0.4449467658996582, 'XCEncSettingsState'), (1.664970874786377, 'XCEncLoopState'), (1.665036916732788, 'XCEncPreRunState'), (1.6691808700561523, 'XCEncRunState'), (10.454821825027466, 'XCEncFinishState'), (10.6197988986969, 'XCEncQuitState'), (10.61992597579956, 'FinalState')]
30:[(0.4453568458557129, 'XCEncSettingsState'), (1.645310878753662, 'XCEncLoopState'), (1.6453688144683838, 'XCEncPreRunState'), (1.6500608921051025, 'XCEncRunState'), (10.538968801498413, 'XCEncFinishState'), (10.715211868286133, 'XCEncQuitState'), (10.715304851531982, 'FinalState')]
31:[(0.4798858165740967, 'XCEncSettingsState'), (1.6692299842834473, 'XCEncLoopState'), (1.6693229675292969, 'XCEncPreRunState'), (1.684851884841919, 'XCEncRunState'), (9.320904970169067, 'XCEncFinishState'), (9.49706482887268, 'XCEncQuitState'), (9.497208833694458, 'FinalState')]
32:[(0.5128967761993408, 'XCEncSettingsState'), (2.1597259044647217, 'XCEncLoopState'), (2.159799814224243, 'XCEncPreRunState'), (2.166550874710083, 'XCEncRunState'), (9.482855796813965, 'XCEncFinishState'), (9.698070764541626, 'XCEncQuitState'), (9.698179960250854, 'FinalState')]
33:[(0.5699589252471924, 'XCEncSettingsState'), (1.6965289115905762, 'XCEncLoopState'), (1.6965878009796143, 'XCEncPreRunState'), (1.7060389518737793, 'XCEncRunState'), (9.255565881729126, 'XCEncFinishState'), (9.438074827194214, 'XCEncQuitState'), (9.438206911087036, 'FinalState')]
