0:[(0.13909602165222168, 'XCEncSettingsState'), (1.2676870822906494, 'XCEncLoopState'), (1.2678499221801758, 'XCEncPreRunState'), (1.2705419063568115, 'XCEncRunState'), (12.599200010299683, 'XCEncFinishState'), (12.869688034057617, 'XCEncQuitState'), (12.869822025299072, 'FinalState')]
1:[(0.15313196182250977, 'XCEncSettingsState'), (1.9541480541229248, 'XCEncLoopState'), (1.9542169570922852, 'XCEncPreRunState'), (1.961683988571167, 'XCEncRunState'), (11.501843929290771, 'XCEncFinishState'), (11.66144585609436, 'XCEncQuitState'), (11.661577939987183, 'FinalState')]
2:[(0.154541015625, 'XCEncSettingsState'), (1.260869026184082, 'XCEncLoopState'), (1.261051893234253, 'XCEncPreRunState'), (1.2631409168243408, 'XCEncRunState'), (10.681648015975952, 'XCEncFinishState'), (10.88832402229309, 'XCEncQuitState'), (10.888442993164062, 'FinalState')]
3:[(0.34874606132507324, 'XCEncSettingsState'), (1.536057949066162, 'XCEncLoopState'), (1.5361628532409668, 'XCEncPreRunState'), (1.544734001159668, 'XCEncRunState'), (10.60136103630066, 'XCEncFinishState'), (10.810296058654785, 'XCEncQuitState'), (10.810425043106079, 'FinalState')]
4:[(0.4212779998779297, 'XCEncSettingsState'), (1.541895866394043, 'XCEncLoopState'), (1.5419559478759766, 'XCEncPreRunState'), (1.5485329627990723, 'XCEncRunState'), (10.436765909194946, 'XCEncFinishState'), (10.604052066802979, 'XCEncQuitState'), (10.604181051254272, 'FinalState')]
5:[(0.5359859466552734, 'XCEncSettingsState'), (1.7718219757080078, 'XCEncLoopState'), (1.7719089984893799, 'XCEncPreRunState'), (1.7774279117584229, 'XCEncRunState'), (10.184165000915527, 'XCEncFinishState'), (10.44497299194336, 'XCEncQuitState'), (10.445106983184814, 'FinalState')]
6:[(0.5398080348968506, 'XCEncSettingsState'), (2.6072170734405518, 'XCEncLoopState'), (2.607269048690796, 'XCEncPreRunState'), (2.6132359504699707, 'XCEncRunState'), (11.293714046478271, 'XCEncFinishState'), (11.499237060546875, 'XCEncQuitState'), (11.499403953552246, 'FinalState')]
7:[(0.5648360252380371, 'XCEncSettingsState'), (1.6810948848724365, 'XCEncLoopState'), (1.6811559200286865, 'XCEncPreRunState'), (1.6875789165496826, 'XCEncRunState'), (10.536148071289062, 'XCEncFinishState'), (10.817508935928345, 'XCEncQuitState'), (10.817632913589478, 'FinalState')]
8:[(0.5661070346832275, 'XCEncSettingsState'), (1.7492780685424805, 'XCEncLoopState'), (1.7493350505828857, 'XCEncPreRunState'), (1.7540640830993652, 'XCEncRunState'), (10.123450994491577, 'XCEncFinishState'), (10.325692892074585, 'XCEncQuitState'), (10.325814962387085, 'FinalState')]
9:[(0.5800399780273438, 'XCEncSettingsState'), (2.582448959350586, 'XCEncLoopState'), (2.582503080368042, 'XCEncPreRunState'), (2.5915749073028564, 'XCEncRunState'), (12.022709846496582, 'XCEncFinishState'), (12.225380897521973, 'XCEncQuitState'), (12.225535869598389, 'FinalState')]
10:[(0.5834610462188721, 'XCEncSettingsState'), (1.769562005996704, 'XCEncLoopState'), (1.7696218490600586, 'XCEncPreRunState'), (1.7767040729522705, 'XCEncRunState'), (10.490752935409546, 'XCEncFinishState'), (10.691420078277588, 'XCEncQuitState'), (10.691550016403198, 'FinalState')]
