0:[(0.026983976364135742, 'XCEncSettingsState'), (3.017476797103882, 'XCEncLoopState'), (3.0175328254699707, 'XCEncPreRunState'), (3.024732828140259, 'XCEncRunState'), (8.249032974243164, 'XCEncFinishState'), (8.409471988677979, 'XCEncQuitState'), (8.409613847732544, 'FinalState')]
1:[(0.0365300178527832, 'XCEncSettingsState'), (1.153782844543457, 'XCEncLoopState'), (1.153980016708374, 'XCEncPreRunState'), (1.1615979671478271, 'XCEncRunState'), (6.331322908401489, 'XCEncFinishState'), (6.596113920211792, 'XCEncQuitState'), (6.596266984939575, 'FinalState')]
2:[(0.04464602470397949, 'XCEncSettingsState'), (2.8892898559570312, 'XCEncLoopState'), (2.8893468379974365, 'XCEncPreRunState'), (2.8962748050689697, 'XCEncRunState'), (8.149709939956665, 'XCEncFinishState'), (8.344969987869263, 'XCEncQuitState'), (8.345115900039673, 'FinalState')]
3:[(0.11056780815124512, 'XCEncSettingsState'), (1.3237149715423584, 'XCEncLoopState'), (1.323843002319336, 'XCEncPreRunState'), (1.3279259204864502, 'XCEncRunState'), (6.615093946456909, 'XCEncFinishState'), (6.822013854980469, 'XCEncQuitState'), (6.822165012359619, 'FinalState')]
4:[(0.11230301856994629, 'XCEncSettingsState'), (2.1492319107055664, 'XCEncLoopState'), (2.1493120193481445, 'XCEncPreRunState'), (2.1641688346862793, 'XCEncRunState'), (7.4995269775390625, 'XCEncFinishState'), (7.697829961776733, 'XCEncQuitState'), (7.6979899406433105, 'FinalState')]
5:[(0.1489119529724121, 'XCEncSettingsState'), (2.1263058185577393, 'XCEncLoopState'), (2.126372814178467, 'XCEncPreRunState'), (2.132664918899536, 'XCEncRunState'), (7.4842939376831055, 'XCEncFinishState'), (7.633839845657349, 'XCEncQuitState'), (7.633986949920654, 'FinalState')]
6:[(0.15450692176818848, 'XCEncSettingsState'), (1.3212368488311768, 'XCEncLoopState'), (1.3214149475097656, 'XCEncPreRunState'), (1.3254740238189697, 'XCEncRunState'), (6.484364986419678, 'XCEncFinishState'), (6.644101858139038, 'XCEncQuitState'), (6.644246816635132, 'FinalState')]
7:[(0.1893470287322998, 'XCEncSettingsState'), (2.5018858909606934, 'XCEncLoopState'), (2.501964807510376, 'XCEncPreRunState'), (2.513852834701538, 'XCEncRunState'), (16.293771028518677, 'XCEncFinishState'), (16.548345804214478, 'XCEncQuitState'), (16.54851484298706, 'FinalState')]
8:[(0.20359587669372559, 'XCEncSettingsState'), (1.3700528144836426, 'XCEncLoopState'), (1.370229959487915, 'XCEncPreRunState'), (1.3744289875030518, 'XCEncRunState'), (6.336984872817993, 'XCEncFinishState'), (6.546339988708496, 'XCEncQuitState'), (6.546520948410034, 'FinalState')]
9:[(0.23098087310791016, 'XCEncSettingsState'), (2.5089828968048096, 'XCEncLoopState'), (2.50903582572937, 'XCEncPreRunState'), (2.5184779167175293, 'XCEncRunState'), (16.253098011016846, 'XCEncFinishState'), (16.46844482421875, 'XCEncQuitState'), (16.46860098838806, 'FinalState')]
10:[(0.25649189949035645, 'XCEncSettingsState'), (1.6230278015136719, 'XCEncLoopState'), (1.6231229305267334, 'XCEncPreRunState'), (1.6444728374481201, 'XCEncRunState'), (6.946039915084839, 'XCEncFinishState'), (7.157797813415527, 'XCEncQuitState'), (7.157954931259155, 'FinalState')]
