0:[(0.038472890853881836, 'XCEncSettingsState'), (2.66178297996521, 'XCEncLoopState'), (2.6618409156799316, 'XCEncPreRunState'), (2.6707568168640137, 'XCEncRunState'), (12.665915966033936, 'XCEncFinishState'), (12.886038780212402, 'XCEncQuitState'), (12.886196851730347, 'FinalState')]
1:[(0.09969782829284668, 'XCEncSettingsState'), (2.102306842803955, 'XCEncLoopState'), (2.102388858795166, 'XCEncPreRunState'), (2.110797882080078, 'XCEncRunState'), (8.099900960922241, 'XCEncFinishState'), (8.310540914535522, 'XCEncQuitState'), (8.310714960098267, 'FinalState')]
2:[(0.16314983367919922, 'XCEncSettingsState'), (2.230707883834839, 'XCEncLoopState'), (2.230768918991089, 'XCEncPreRunState'), (2.23881196975708, 'XCEncRunState'), (11.376405000686646, 'XCEncFinishState'), (11.53551197052002, 'XCEncQuitState'), (11.535666942596436, 'FinalState')]
3:[(0.18543481826782227, 'XCEncSettingsState'), (4.166100978851318, 'XCEncLoopState'), (4.166233777999878, 'XCEncPreRunState'), (4.1714768409729, 'XCEncRunState'), (13.241517782211304, 'XCEncFinishState'), (13.396414995193481, 'XCEncQuitState'), (13.396565914154053, 'FinalState')]
4:[(0.1968538761138916, 'XCEncSettingsState'), (4.097070932388306, 'XCEncLoopState'), (4.097213983535767, 'XCEncPreRunState'), (4.104404926300049, 'XCEncRunState'), (13.683782815933228, 'XCEncFinishState'), (13.852967977523804, 'XCEncQuitState'), (13.853152990341187, 'FinalState')]
5:[(0.2270219326019287, 'XCEncSettingsState'), (2.3914458751678467, 'XCEncLoopState'), (2.3915328979492188, 'XCEncPreRunState'), (2.3999338150024414, 'XCEncRunState'), (12.219159841537476, 'XCEncFinishState'), (12.327387809753418, 'XCEncQuitState'), (12.327537775039673, 'FinalState')]
6:[(0.30069398880004883, 'XCEncSettingsState'), (4.014352798461914, 'XCEncLoopState'), (4.0144829750061035, 'XCEncPreRunState'), (4.019293785095215, 'XCEncRunState'), (13.094616889953613, 'XCEncFinishState'), (13.26186490058899, 'XCEncQuitState'), (13.262006998062134, 'FinalState')]
7:[(0.5160098075866699, 'XCEncSettingsState'), (2.564579963684082, 'XCEncLoopState'), (2.564642906188965, 'XCEncPreRunState'), (2.570389986038208, 'XCEncRunState'), (12.060834884643555, 'XCEncFinishState'), (12.281251907348633, 'XCEncQuitState'), (12.281406879425049, 'FinalState')]
8:[(0.7733039855957031, 'XCEncSettingsState'), (4.467453956604004, 'XCEncLoopState'), (4.467601776123047, 'XCEncPreRunState'), (4.472038984298706, 'XCEncRunState'), (13.769253969192505, 'XCEncFinishState'), (13.942185878753662, 'XCEncQuitState'), (13.942344903945923, 'FinalState')]
9:[(0.7787919044494629, 'XCEncSettingsState'), (4.671915769577026, 'XCEncLoopState'), (4.672128915786743, 'XCEncPreRunState'), (4.676989793777466, 'XCEncRunState'), (13.89324688911438, 'XCEncFinishState'), (14.105894804000854, 'XCEncQuitState'), (14.10604977607727, 'FinalState')]
10:[(0.7957518100738525, 'XCEncSettingsState'), (4.041827917098999, 'XCEncLoopState'), (4.041981935501099, 'XCEncPreRunState'), (4.048832893371582, 'XCEncRunState'), (14.031030893325806, 'XCEncFinishState'), (14.192814826965332, 'XCEncQuitState'), (14.192966938018799, 'FinalState')]
11:[(0.828488826751709, 'XCEncSettingsState'), (3.889880895614624, 'XCEncLoopState'), (3.8900249004364014, 'XCEncPreRunState'), (3.8967227935791016, 'XCEncRunState'), (13.29082989692688, 'XCEncFinishState'), (13.511753797531128, 'XCEncQuitState'), (13.511907815933228, 'FinalState')]
12:[(0.850273847579956, 'XCEncSettingsState'), (3.5764319896698, 'XCEncLoopState'), (3.576580762863159, 'XCEncPreRunState'), (3.58536696434021, 'XCEncRunState'), (13.288561820983887, 'XCEncFinishState'), (13.456486940383911, 'XCEncQuitState'), (13.45665192604065, 'FinalState')]
13:[(0.9141159057617188, 'XCEncSettingsState'), (4.649317979812622, 'XCEncLoopState'), (4.649443864822388, 'XCEncPreRunState'), (4.654730796813965, 'XCEncRunState'), (14.036854982376099, 'XCEncFinishState'), (14.203017950057983, 'XCEncQuitState'), (14.203154802322388, 'FinalState')]
14:[(0.9783179759979248, 'XCEncSettingsState'), (4.505990982055664, 'XCEncLoopState'), (4.506140947341919, 'XCEncPreRunState'), (4.513659954071045, 'XCEncRunState'), (13.619359970092773, 'XCEncFinishState'), (13.838184833526611, 'XCEncQuitState'), (13.838338851928711, 'FinalState')]
15:[(1.0520269870758057, 'XCEncSettingsState'), (4.106378793716431, 'XCEncLoopState'), (4.106513977050781, 'XCEncPreRunState'), (4.111997842788696, 'XCEncRunState'), (13.57340693473816, 'XCEncFinishState'), (13.73481297492981, 'XCEncQuitState'), (13.734970808029175, 'FinalState')]
16:[(1.137692928314209, 'XCEncSettingsState'), (4.18330979347229, 'XCEncLoopState'), (4.18346095085144, 'XCEncPreRunState'), (4.1906538009643555, 'XCEncRunState'), (13.466594934463501, 'XCEncFinishState'), (13.621840000152588, 'XCEncQuitState'), (13.621981859207153, 'FinalState')]
17:[(1.1962299346923828, 'XCEncSettingsState'), (5.084772825241089, 'XCEncLoopState'), (5.084895849227905, 'XCEncPreRunState'), (5.092265844345093, 'XCEncRunState'), (18.24547791481018, 'XCEncFinishState'), (18.455996990203857, 'XCEncQuitState'), (18.456191778182983, 'FinalState')]
18:[(1.1983468532562256, 'XCEncSettingsState'), (5.015594959259033, 'XCEncLoopState'), (5.015706777572632, 'XCEncPreRunState'), (5.022051811218262, 'XCEncRunState'), (41.34926891326904, 'XCEncFinishState'), (41.61354899406433, 'XCEncQuitState'), (41.613698959350586, 'FinalState')]
19:[(1.208739995956421, 'XCEncSettingsState'), (4.9824159145355225, 'XCEncLoopState'), (4.982533931732178, 'XCEncPreRunState'), (4.988890886306763, 'XCEncRunState'), (36.59119391441345, 'XCEncFinishState'), (36.89622092247009, 'XCEncQuitState'), (36.89637279510498, 'FinalState')]
20:[(1.3389649391174316, 'XCEncSettingsState'), (5.282077789306641, 'XCEncLoopState'), (5.282212972640991, 'XCEncPreRunState'), (5.29859185218811, 'XCEncRunState'), (40.1603147983551, 'XCEncFinishState'), (40.41189789772034, 'XCEncQuitState'), (40.41210699081421, 'FinalState')]
21:[(1.3402519226074219, 'XCEncSettingsState'), (5.22779393196106, 'XCEncLoopState'), (5.227900981903076, 'XCEncPreRunState'), (5.237691879272461, 'XCEncRunState'), (48.20294690132141, 'XCEncFinishState'), (48.40523386001587, 'XCEncQuitState'), (48.405388832092285, 'FinalState')]
22:[(1.3406977653503418, 'XCEncSettingsState'), (5.167704820632935, 'XCEncLoopState'), (5.167832851409912, 'XCEncPreRunState'), (5.174130916595459, 'XCEncRunState'), (43.82838177680969, 'XCEncFinishState'), (44.18353796005249, 'XCEncQuitState'), (44.183687925338745, 'FinalState')]
