0:[(0.012807130813598633, 'XCEncSettingsState'), (1.2718989849090576, 'XCEncLoopState'), (1.2720880508422852, 'XCEncPreRunState'), (1.2745110988616943, 'XCEncRunState'), (4.587810039520264, 'XCEncDumpState'), (6.444534063339233, 'XCEncLoopState'), (6.444782018661499, 'XCEncFinishState'), (6.604879140853882, 'XCEncQuitState'), (6.605051040649414, 'FinalState')]
4:[(0.03840208053588867, 'XCEncSettingsState'), (1.4557161331176758, 'XCEncLoopState'), (1.4558231830596924, 'XCEncPreRunState'), (1.466123104095459, 'XCEncRunState'), (6.723369121551514, 'XCEncDumpState'), (9.402949094772339, 'XCEncLoopState'), (9.40304708480835, 'XCEncFinishState'), (9.641103029251099, 'XCEncQuitState'), (9.641178131103516, 'FinalState')]
8:[(0.19490814208984375, 'XCEncSettingsState'), (1.8081250190734863, 'XCEncLoopState'), (1.808218002319336, 'XCEncPreRunState'), (1.8166921138763428, 'XCEncRunState'), (13.495062112808228, 'XCEncDumpState'), (21.757939100265503, 'XCEncLoopState'), (21.758018016815186, 'XCEncFinishState'), (22.09421420097351, 'XCEncQuitState'), (22.094369173049927, 'FinalState')]
12:[(0.2810840606689453, 'XCEncSettingsState'), (1.5058400630950928, 'XCEncLoopState'), (1.5059051513671875, 'XCEncPreRunState'), (1.5119130611419678, 'XCEncRunState'), (7.597519159317017, 'XCEncDumpState'), (11.141968011856079, 'XCEncLoopState'), (11.14208197593689, 'XCEncFinishState'), (11.368654012680054, 'XCEncQuitState'), (11.368774175643921, 'FinalState')]
16:[(0.2877211570739746, 'XCEncSettingsState'), (1.4750311374664307, 'XCEncLoopState'), (1.4751441478729248, 'XCEncPreRunState'), (1.4856300354003906, 'XCEncRunState'), (8.325857162475586, 'XCEncDumpState'), (11.615207195281982, 'XCEncLoopState'), (11.615296125411987, 'XCEncFinishState'), (11.892906188964844, 'XCEncQuitState'), (11.89300799369812, 'FinalState')]
20:[(0.38823509216308594, 'XCEncSettingsState'), (1.5938429832458496, 'XCEncLoopState'), (1.5939011573791504, 'XCEncPreRunState'), (1.6043791770935059, 'XCEncRunState'), (8.537806987762451, 'XCEncDumpState'), (11.915832996368408, 'XCEncLoopState'), (11.915940046310425, 'XCEncFinishState'), (12.139899969100952, 'XCEncQuitState'), (12.140040159225464, 'FinalState')]
24:[(0.5201771259307861, 'XCEncSettingsState'), (1.8292500972747803, 'XCEncLoopState'), (1.8293659687042236, 'XCEncPreRunState'), (1.837954044342041, 'XCEncRunState'), (10.785016059875488, 'XCEncDumpState'), (14.231290102005005, 'XCEncLoopState'), (14.231362104415894, 'XCEncFinishState'), (14.479170083999634, 'XCEncQuitState'), (14.479288101196289, 'FinalState')]
28:[(0.8051431179046631, 'XCEncSettingsState'), (2.9261441230773926, 'XCEncLoopState'), (2.9262280464172363, 'XCEncPreRunState'), (2.9464900493621826, 'XCEncRunState'), (12.106263160705566, 'XCEncDumpState'), (15.763743162155151, 'XCEncLoopState'), (15.76382303237915, 'XCEncFinishState'), (16.11625909805298, 'XCEncQuitState'), (16.1163489818573, 'FinalState')]
32:[(0.9464750289916992, 'XCEncSettingsState'), (3.071202039718628, 'XCEncLoopState'), (3.071256160736084, 'XCEncPreRunState'), (3.0804381370544434, 'XCEncRunState'), (12.508738994598389, 'XCEncDumpState'), (16.061071157455444, 'XCEncLoopState'), (16.061182022094727, 'XCEncFinishState'), (16.329240083694458, 'XCEncQuitState'), (16.32937717437744, 'FinalState')]
36:[(0.9582421779632568, 'XCEncSettingsState'), (2.1945581436157227, 'XCEncLoopState'), (2.1946310997009277, 'XCEncPreRunState'), (2.205766201019287, 'XCEncRunState'), (10.616167068481445, 'XCEncDumpState'), (13.927926063537598, 'XCEncLoopState'), (13.927991151809692, 'XCEncFinishState'), (14.204158067703247, 'XCEncQuitState'), (14.20424199104309, 'FinalState')]
40:[(0.9657790660858154, 'XCEncSettingsState'), (2.3120391368865967, 'XCEncLoopState'), (2.3121140003204346, 'XCEncPreRunState'), (2.321542978286743, 'XCEncRunState'), (10.922958135604858, 'XCEncDumpState'), (14.174368143081665, 'XCEncLoopState'), (14.174499988555908, 'XCEncFinishState'), (14.488157987594604, 'XCEncQuitState'), (14.488274097442627, 'FinalState')]
