0:[(0.2807462215423584, 'XCEncSettingsState'), (1.4317920207977295, 'XCEncLoopState'), (1.4319090843200684, 'XCEncPreRunState'), (1.4492380619049072, 'XCEncRunState'), (16.113975048065186, 'XCEncDumpState'), (19.81906509399414, 'XCEncLoopState'), (19.81977915763855, 'XCEncFinishState'), (20.335968017578125, 'XCEncQuitState'), (20.33616304397583, 'FinalState')]
4:[(0.28228020668029785, 'XCEncSettingsState'), (1.4111671447753906, 'XCEncLoopState'), (1.411309003829956, 'XCEncPreRunState'), (1.4249420166015625, 'XCEncRunState'), (12.89393401145935, 'XCEncDumpState'), (16.546613216400146, 'XCEncLoopState'), (16.54679012298584, 'XCEncFinishState'), (16.845675230026245, 'XCEncQuitState'), (16.846089124679565, 'FinalState')]
8:[(0.28388118743896484, 'XCEncSettingsState'), (1.450256109237671, 'XCEncLoopState'), (1.4503600597381592, 'XCEncPreRunState'), (1.454470157623291, 'XCEncRunState'), (12.449453115463257, 'XCEncDumpState'), (15.533896207809448, 'XCEncLoopState'), (15.534105062484741, 'XCEncFinishState'), (15.78371810913086, 'XCEncQuitState'), (15.78411602973938, 'FinalState')]
12:[(0.2920680046081543, 'XCEncSettingsState'), (1.4797332286834717, 'XCEncLoopState'), (1.4798071384429932, 'XCEncPreRunState'), (1.485030174255371, 'XCEncRunState'), (14.141765117645264, 'XCEncDumpState'), (17.329145193099976, 'XCEncLoopState'), (17.329235076904297, 'XCEncFinishState'), (17.660837173461914, 'XCEncQuitState'), (17.661426067352295, 'FinalState')]
16:[(0.2998631000518799, 'XCEncSettingsState'), (1.4460151195526123, 'XCEncLoopState'), (1.446162223815918, 'XCEncPreRunState'), (1.452820062637329, 'XCEncRunState'), (10.687626123428345, 'XCEncDumpState'), (14.267702102661133, 'XCEncLoopState'), (14.267867088317871, 'XCEncFinishState'), (14.603984117507935, 'XCEncQuitState'), (14.60410213470459, 'FinalState')]
20:[(0.3015711307525635, 'XCEncSettingsState'), (1.476919174194336, 'XCEncLoopState'), (1.477018117904663, 'XCEncPreRunState'), (1.482729196548462, 'XCEncRunState'), (12.054103136062622, 'XCEncDumpState'), (14.854389190673828, 'XCEncLoopState'), (14.854559183120728, 'XCEncFinishState'), (15.051681995391846, 'XCEncQuitState'), (15.051899194717407, 'FinalState')]
24:[(0.306124210357666, 'XCEncSettingsState'), (1.4976170063018799, 'XCEncLoopState'), (1.4976880550384521, 'XCEncPreRunState'), (1.5112380981445312, 'XCEncRunState'), (11.317253112792969, 'XCEncDumpState'), (14.865557193756104, 'XCEncLoopState'), (14.865825176239014, 'XCEncFinishState'), (15.08208417892456, 'XCEncQuitState'), (15.082284212112427, 'FinalState')]
28:[(0.3827810287475586, 'XCEncSettingsState'), (1.5425310134887695, 'XCEncLoopState'), (1.5426170825958252, 'XCEncPreRunState'), (1.5454840660095215, 'XCEncRunState'), (12.204811096191406, 'XCEncDumpState'), (15.092042207717896, 'XCEncLoopState'), (15.092332124710083, 'XCEncFinishState'), (15.309437036514282, 'XCEncQuitState'), (15.30969500541687, 'FinalState')]
32:[(0.4661121368408203, 'XCEncSettingsState'), (1.6668322086334229, 'XCEncLoopState'), (1.6668901443481445, 'XCEncPreRunState'), (1.6834111213684082, 'XCEncRunState'), (10.049915075302124, 'XCEncDumpState'), (13.173938035964966, 'XCEncLoopState'), (13.174052000045776, 'XCEncFinishState'), (13.362917184829712, 'XCEncQuitState'), (13.363035202026367, 'FinalState')]
36:[(0.6012392044067383, 'XCEncSettingsState'), (1.7874610424041748, 'XCEncLoopState'), (1.787520170211792, 'XCEncPreRunState'), (1.792107105255127, 'XCEncRunState'), (11.168239116668701, 'XCEncDumpState'), (14.038835048675537, 'XCEncLoopState'), (14.03903603553772, 'XCEncFinishState'), (14.215410232543945, 'XCEncQuitState'), (14.21556806564331, 'FinalState')]
40:[(1.2785770893096924, 'XCEncSettingsState'), (2.4999570846557617, 'XCEncLoopState'), (2.5000250339508057, 'XCEncPreRunState'), (2.5066311359405518, 'XCEncRunState'), (14.189557075500488, 'XCEncDumpState'), (17.607214212417603, 'XCEncLoopState'), (17.607523202896118, 'XCEncFinishState'), (17.800003051757812, 'XCEncQuitState'), (17.800294160842896, 'FinalState')]
44:[(1.2789201736450195, 'XCEncSettingsState'), (2.6644182205200195, 'XCEncLoopState'), (2.664473056793213, 'XCEncPreRunState'), (2.6745340824127197, 'XCEncRunState'), (18.212745189666748, 'XCEncDumpState'), (22.083073139190674, 'XCEncLoopState'), (22.0835440158844, 'XCEncFinishState'), (22.58506202697754, 'XCEncQuitState'), (22.585451126098633, 'FinalState')]
48:[(1.279250144958496, 'XCEncSettingsState'), (2.450813055038452, 'XCEncLoopState'), (2.4508771896362305, 'XCEncPreRunState'), (2.4553380012512207, 'XCEncRunState'), (12.744451999664307, 'XCEncDumpState'), (15.17166519165039, 'XCEncLoopState'), (15.171894073486328, 'XCEncFinishState'), (15.476030111312866, 'XCEncQuitState'), (15.47628402709961, 'FinalState')]
52:[(1.2909631729125977, 'XCEncSettingsState'), (3.2357490062713623, 'XCEncLoopState'), (3.2358062267303467, 'XCEncPreRunState'), (3.2463080883026123, 'XCEncRunState'), (8.657857179641724, 'XCEncDumpState'), (11.355327129364014, 'XCEncLoopState'), (11.355461120605469, 'XCEncFinishState'), (11.528881072998047, 'XCEncQuitState'), (11.528962135314941, 'FinalState')]
56:[(1.3020460605621338, 'XCEncSettingsState'), (3.351335048675537, 'XCEncLoopState'), (3.3513920307159424, 'XCEncPreRunState'), (3.3637030124664307, 'XCEncRunState'), (8.58987808227539, 'XCEncDumpState'), (11.200797080993652, 'XCEncLoopState'), (11.200914144515991, 'XCEncFinishState'), (11.405241012573242, 'XCEncQuitState'), (11.405347108840942, 'FinalState')]
60:[(1.3133602142333984, 'XCEncSettingsState'), (2.500148057937622, 'XCEncLoopState'), (2.50019907951355, 'XCEncPreRunState'), (2.506686210632324, 'XCEncRunState'), (8.07732105255127, 'XCEncDumpState'), (10.838090181350708, 'XCEncLoopState'), (10.838224172592163, 'XCEncFinishState'), (11.029198169708252, 'XCEncQuitState'), (11.029321193695068, 'FinalState')]
64:[(1.3145501613616943, 'XCEncSettingsState'), (3.2927730083465576, 'XCEncLoopState'), (3.2928240299224854, 'XCEncPreRunState'), (3.302093029022217, 'XCEncRunState'), (9.073577165603638, 'XCEncDumpState'), (12.25459599494934, 'XCEncLoopState'), (12.254719018936157, 'XCEncFinishState'), (12.442699193954468, 'XCEncQuitState'), (12.442833185195923, 'FinalState')]
