0:[(0.04444003105163574, 'XCEncSettingsState'), (1.1819379329681396, 'XCEncLoopState'), (1.1821348667144775, 'XCEncPreRunState'), (1.1873178482055664, 'XCEncRunState'), (8.521328926086426, 'XCEncFinishState'), (8.735239028930664, 'XCEncQuitState'), (8.735393047332764, 'FinalState')]
1:[(0.04684185981750488, 'XCEncSettingsState'), (1.668900966644287, 'XCEncLoopState'), (1.6690030097961426, 'XCEncPreRunState'), (1.6781859397888184, 'XCEncRunState'), (8.981271982192993, 'XCEncFinishState'), (9.207450866699219, 'XCEncQuitState'), (9.207602977752686, 'FinalState')]
2:[(0.18827104568481445, 'XCEncSettingsState'), (2.231168031692505, 'XCEncLoopState'), (2.23122501373291, 'XCEncPreRunState'), (2.2367138862609863, 'XCEncRunState'), (9.756887912750244, 'XCEncFinishState'), (9.973314046859741, 'XCEncQuitState'), (9.973473072052002, 'FinalState')]
3:[(0.23145794868469238, 'XCEncSettingsState'), (1.4374339580535889, 'XCEncLoopState'), (1.437492847442627, 'XCEncPreRunState'), (1.4414918422698975, 'XCEncRunState'), (8.99522590637207, 'XCEncFinishState'), (9.151303052902222, 'XCEncQuitState'), (9.151434898376465, 'FinalState')]
4:[(0.2711009979248047, 'XCEncSettingsState'), (1.4367320537567139, 'XCEncLoopState'), (1.436795949935913, 'XCEncPreRunState'), (1.441572904586792, 'XCEncRunState'), (10.00817584991455, 'XCEncFinishState'), (10.218276023864746, 'XCEncQuitState'), (10.218425035476685, 'FinalState')]
5:[(0.2716989517211914, 'XCEncSettingsState'), (2.3241689205169678, 'XCEncLoopState'), (2.3242249488830566, 'XCEncPreRunState'), (2.332671880722046, 'XCEncRunState'), (10.660867929458618, 'XCEncFinishState'), (10.82945704460144, 'XCEncQuitState'), (10.829614877700806, 'FinalState')]
6:[(0.2722818851470947, 'XCEncSettingsState'), (2.2757439613342285, 'XCEncLoopState'), (2.27580189704895, 'XCEncPreRunState'), (2.2836999893188477, 'XCEncRunState'), (13.685389995574951, 'XCEncFinishState'), (13.845255851745605, 'XCEncQuitState'), (13.845383882522583, 'FinalState')]
7:[(0.28727197647094727, 'XCEncSettingsState'), (1.53187894821167, 'XCEncLoopState'), (1.5319359302520752, 'XCEncPreRunState'), (1.54032301902771, 'XCEncRunState'), (13.301995992660522, 'XCEncFinishState'), (13.455314874649048, 'XCEncQuitState'), (13.455415964126587, 'FinalState')]
8:[(0.2877230644226074, 'XCEncSettingsState'), (1.4540128707885742, 'XCEncLoopState'), (1.4540698528289795, 'XCEncPreRunState'), (1.4591748714447021, 'XCEncRunState'), (13.477113008499146, 'XCEncFinishState'), (13.645212888717651, 'XCEncQuitState'), (13.64534592628479, 'FinalState')]
9:[(0.2887279987335205, 'XCEncSettingsState'), (1.4770240783691406, 'XCEncLoopState'), (1.4770848751068115, 'XCEncPreRunState'), (1.4835090637207031, 'XCEncRunState'), (14.073660850524902, 'XCEncFinishState'), (14.250148057937622, 'XCEncQuitState'), (14.250274896621704, 'FinalState')]
10:[(0.28996706008911133, 'XCEncSettingsState'), (2.256622076034546, 'XCEncLoopState'), (2.2566769123077393, 'XCEncPreRunState'), (2.262531042098999, 'XCEncRunState'), (14.441356897354126, 'XCEncFinishState'), (14.645169973373413, 'XCEncQuitState'), (14.6453218460083, 'FinalState')]
11:[(0.29396605491638184, 'XCEncSettingsState'), (1.495513916015625, 'XCEncLoopState'), (1.4955699443817139, 'XCEncPreRunState'), (1.5057730674743652, 'XCEncRunState'), (14.461041927337646, 'XCEncFinishState'), (14.611029863357544, 'XCEncQuitState'), (14.611185073852539, 'FinalState')]
12:[(0.29517292976379395, 'XCEncSettingsState'), (1.5077219009399414, 'XCEncLoopState'), (1.5077788829803467, 'XCEncPreRunState'), (1.5111658573150635, 'XCEncRunState'), (14.049767017364502, 'XCEncFinishState'), (14.200078010559082, 'XCEncQuitState'), (14.20021104812622, 'FinalState')]
13:[(0.3007819652557373, 'XCEncSettingsState'), (2.2171359062194824, 'XCEncLoopState'), (2.2171919345855713, 'XCEncPreRunState'), (2.2314109802246094, 'XCEncRunState'), (13.416213035583496, 'XCEncFinishState'), (13.645441055297852, 'XCEncQuitState'), (13.645556926727295, 'FinalState')]
14:[(0.31053590774536133, 'XCEncSettingsState'), (1.5039958953857422, 'XCEncLoopState'), (1.5040509700775146, 'XCEncPreRunState'), (1.5079729557037354, 'XCEncRunState'), (12.96948504447937, 'XCEncFinishState'), (13.143120050430298, 'XCEncQuitState'), (13.143254041671753, 'FinalState')]
15:[(0.3116888999938965, 'XCEncSettingsState'), (1.504227876663208, 'XCEncLoopState'), (1.5042788982391357, 'XCEncPreRunState'), (1.5086429119110107, 'XCEncRunState'), (12.00587797164917, 'XCEncFinishState'), (12.184880018234253, 'XCEncQuitState'), (12.184990882873535, 'FinalState')]
16:[(0.36307191848754883, 'XCEncSettingsState'), (1.619278907775879, 'XCEncLoopState'), (1.6193358898162842, 'XCEncPreRunState'), (1.6312220096588135, 'XCEncRunState'), (11.45376992225647, 'XCEncFinishState'), (11.667901039123535, 'XCEncQuitState'), (11.668041944503784, 'FinalState')]
17:[(0.3650178909301758, 'XCEncSettingsState'), (1.636343002319336, 'XCEncLoopState'), (1.6364350318908691, 'XCEncPreRunState'), (1.6463799476623535, 'XCEncRunState'), (12.538266897201538, 'XCEncFinishState'), (12.773056983947754, 'XCEncQuitState'), (12.773169040679932, 'FinalState')]
18:[(0.36541295051574707, 'XCEncSettingsState'), (1.5104079246520996, 'XCEncLoopState'), (1.5104649066925049, 'XCEncPreRunState'), (1.52081298828125, 'XCEncRunState'), (11.437846899032593, 'XCEncFinishState'), (11.653723955154419, 'XCEncQuitState'), (11.653856039047241, 'FinalState')]
19:[(0.3662140369415283, 'XCEncSettingsState'), (1.5155088901519775, 'XCEncLoopState'), (1.5155658721923828, 'XCEncPreRunState'), (1.5259509086608887, 'XCEncRunState'), (11.991220951080322, 'XCEncFinishState'), (12.156471014022827, 'XCEncQuitState'), (12.156616926193237, 'FinalState')]
20:[(0.3701629638671875, 'XCEncSettingsState'), (2.393113851547241, 'XCEncLoopState'), (2.39316987991333, 'XCEncPreRunState'), (2.4041149616241455, 'XCEncRunState'), (11.867737054824829, 'XCEncFinishState'), (12.09383487701416, 'XCEncQuitState'), (12.093946933746338, 'FinalState')]
21:[(0.3710448741912842, 'XCEncSettingsState'), (1.5863990783691406, 'XCEncLoopState'), (1.586456060409546, 'XCEncPreRunState'), (1.5952789783477783, 'XCEncRunState'), (10.434602975845337, 'XCEncFinishState'), (10.645433902740479, 'XCEncQuitState'), (10.645586967468262, 'FinalState')]
22:[(0.37168407440185547, 'XCEncSettingsState'), (1.5005829334259033, 'XCEncLoopState'), (1.500669002532959, 'XCEncPreRunState'), (1.508051872253418, 'XCEncRunState'), (10.4773428440094, 'XCEncFinishState'), (10.699148893356323, 'XCEncQuitState'), (10.699298858642578, 'FinalState')]
23:[(0.3723890781402588, 'XCEncSettingsState'), (1.5321009159088135, 'XCEncLoopState'), (1.5321519374847412, 'XCEncPreRunState'), (1.5403809547424316, 'XCEncRunState'), (11.040833950042725, 'XCEncFinishState'), (11.253803014755249, 'XCEncQuitState'), (11.253931999206543, 'FinalState')]
24:[(0.37309885025024414, 'XCEncSettingsState'), (2.378519058227539, 'XCEncLoopState'), (2.378574848175049, 'XCEncPreRunState'), (2.387018918991089, 'XCEncRunState'), (12.451180934906006, 'XCEncFinishState'), (12.612156867980957, 'XCEncQuitState'), (12.612271070480347, 'FinalState')]
25:[(0.3740839958190918, 'XCEncSettingsState'), (2.3243420124053955, 'XCEncLoopState'), (2.3243918418884277, 'XCEncPreRunState'), (2.332852840423584, 'XCEncRunState'), (11.604606866836548, 'XCEncFinishState'), (11.77373194694519, 'XCEncQuitState'), (11.773863077163696, 'FinalState')]
26:[(0.39269304275512695, 'XCEncSettingsState'), (1.5376079082489014, 'XCEncLoopState'), (1.5376698970794678, 'XCEncPreRunState'), (1.5416200160980225, 'XCEncRunState'), (10.372588872909546, 'XCEncFinishState'), (10.590378999710083, 'XCEncQuitState'), (10.590564966201782, 'FinalState')]
27:[(0.3966069221496582, 'XCEncSettingsState'), (1.554560899734497, 'XCEncLoopState'), (1.5546269416809082, 'XCEncPreRunState'), (1.5592238903045654, 'XCEncRunState'), (9.98992395401001, 'XCEncFinishState'), (10.210535049438477, 'XCEncQuitState'), (10.210669994354248, 'FinalState')]
28:[(0.40288686752319336, 'XCEncSettingsState'), (1.5354640483856201, 'XCEncLoopState'), (1.5355219841003418, 'XCEncPreRunState'), (1.5409810543060303, 'XCEncRunState'), (9.710645914077759, 'XCEncFinishState'), (9.924211978912354, 'XCEncQuitState'), (9.924371004104614, 'FinalState')]
29:[(0.4035818576812744, 'XCEncSettingsState'), (1.7944159507751465, 'XCEncLoopState'), (1.794482946395874, 'XCEncPreRunState'), (1.8041799068450928, 'XCEncRunState'), (10.95812702178955, 'XCEncFinishState'), (11.14493203163147, 'XCEncQuitState'), (11.145094871520996, 'FinalState')]
30:[(0.404325008392334, 'XCEncSettingsState'), (2.4487600326538086, 'XCEncLoopState'), (2.448837995529175, 'XCEncPreRunState'), (2.4576468467712402, 'XCEncRunState'), (11.32335090637207, 'XCEncFinishState'), (11.487483978271484, 'XCEncQuitState'), (11.487634897232056, 'FinalState')]
31:[(0.4050009250640869, 'XCEncSettingsState'), (2.1631689071655273, 'XCEncLoopState'), (2.1632280349731445, 'XCEncPreRunState'), (2.167564868927002, 'XCEncRunState'), (10.87461805343628, 'XCEncFinishState'), (11.032700061798096, 'XCEncQuitState'), (11.032851934432983, 'FinalState')]
32:[(0.4082980155944824, 'XCEncSettingsState'), (1.5732090473175049, 'XCEncLoopState'), (1.5732669830322266, 'XCEncPreRunState'), (1.5857770442962646, 'XCEncRunState'), (10.748766899108887, 'XCEncFinishState'), (10.926151990890503, 'XCEncQuitState'), (10.92630386352539, 'FinalState')]
33:[(0.4164578914642334, 'XCEncSettingsState'), (1.5547480583190918, 'XCEncLoopState'), (1.5547988414764404, 'XCEncPreRunState'), (1.5592808723449707, 'XCEncRunState'), (11.235343933105469, 'XCEncFinishState'), (11.458914995193481, 'XCEncQuitState'), (11.45905590057373, 'FinalState')]
34:[(0.5356729030609131, 'XCEncSettingsState'), (2.089963912963867, 'XCEncLoopState'), (2.0900259017944336, 'XCEncPreRunState'), (2.094493865966797, 'XCEncRunState'), (10.19379997253418, 'XCEncFinishState'), (10.357101917266846, 'XCEncQuitState'), (10.357244968414307, 'FinalState')]
35:[(0.5677459239959717, 'XCEncSettingsState'), (1.6809089183807373, 'XCEncLoopState'), (1.680966854095459, 'XCEncPreRunState'), (1.6868369579315186, 'XCEncRunState'), (10.220957040786743, 'XCEncFinishState'), (10.436779975891113, 'XCEncQuitState'), (10.436904907226562, 'FinalState')]
36:[(0.5844800472259521, 'XCEncSettingsState'), (1.7160968780517578, 'XCEncLoopState'), (1.7161760330200195, 'XCEncPreRunState'), (1.7267398834228516, 'XCEncRunState'), (11.066503047943115, 'XCEncFinishState'), (11.289026021957397, 'XCEncQuitState'), (11.289182901382446, 'FinalState')]
37:[(0.8220529556274414, 'XCEncSettingsState'), (2.1474668979644775, 'XCEncLoopState'), (2.147526979446411, 'XCEncPreRunState'), (2.1573328971862793, 'XCEncRunState'), (13.829357862472534, 'XCEncFinishState'), (14.047818899154663, 'XCEncQuitState'), (14.047960042953491, 'FinalState')]
38:[(0.8315608501434326, 'XCEncSettingsState'), (1.991628885269165, 'XCEncLoopState'), (1.9917259216308594, 'XCEncPreRunState'), (2.0043270587921143, 'XCEncRunState'), (12.730978012084961, 'XCEncFinishState'), (12.893849849700928, 'XCEncQuitState'), (12.893960952758789, 'FinalState')]
39:[(0.8509619235992432, 'XCEncSettingsState'), (2.206235885620117, 'XCEncLoopState'), (2.206291913986206, 'XCEncPreRunState'), (2.2094008922576904, 'XCEncRunState'), (13.173233032226562, 'XCEncFinishState'), (13.41442584991455, 'XCEncQuitState'), (13.414551973342896, 'FinalState')]
40:[(1.0907549858093262, 'XCEncSettingsState'), (2.2401840686798096, 'XCEncLoopState'), (2.2402429580688477, 'XCEncPreRunState'), (2.2527358531951904, 'XCEncRunState'), (12.634666919708252, 'XCEncFinishState'), (12.854621887207031, 'XCEncQuitState'), (12.854729890823364, 'FinalState')]
41:[(1.1777489185333252, 'XCEncSettingsState'), (3.0408098697662354, 'XCEncLoopState'), (3.040915012359619, 'XCEncPreRunState'), (3.0470359325408936, 'XCEncRunState'), (14.161668062210083, 'XCEncFinishState'), (14.330936908721924, 'XCEncQuitState'), (14.331086874008179, 'FinalState')]
42:[(1.1803710460662842, 'XCEncSettingsState'), (2.395798921585083, 'XCEncLoopState'), (2.395854949951172, 'XCEncPreRunState'), (2.404170036315918, 'XCEncRunState'), (12.861773014068604, 'XCEncFinishState'), (13.020493984222412, 'XCEncQuitState'), (13.0206458568573, 'FinalState')]
43:[(1.1808440685272217, 'XCEncSettingsState'), (3.2583389282226562, 'XCEncLoopState'), (3.2584228515625, 'XCEncPreRunState'), (3.2642478942871094, 'XCEncRunState'), (13.880244970321655, 'XCEncFinishState'), (14.028230905532837, 'XCEncQuitState'), (14.02839207649231, 'FinalState')]
44:[(1.1815030574798584, 'XCEncSettingsState'), (2.3870699405670166, 'XCEncLoopState'), (2.3871240615844727, 'XCEncPreRunState'), (2.3959779739379883, 'XCEncRunState'), (12.353595972061157, 'XCEncFinishState'), (12.592215061187744, 'XCEncQuitState'), (12.59232497215271, 'FinalState')]
45:[(1.1826848983764648, 'XCEncSettingsState'), (2.8876750469207764, 'XCEncLoopState'), (2.8878040313720703, 'XCEncPreRunState'), (2.8971750736236572, 'XCEncRunState'), (12.234824895858765, 'XCEncFinishState'), (12.446696996688843, 'XCEncQuitState'), (12.446822881698608, 'FinalState')]
46:[(1.183229923248291, 'XCEncSettingsState'), (3.052150011062622, 'XCEncLoopState'), (3.0522499084472656, 'XCEncPreRunState'), (3.0576329231262207, 'XCEncRunState'), (12.671876907348633, 'XCEncFinishState'), (12.894039869308472, 'XCEncQuitState'), (12.894130945205688, 'FinalState')]
47:[(1.1837968826293945, 'XCEncSettingsState'), (3.122196912765503, 'XCEncLoopState'), (3.122298002243042, 'XCEncPreRunState'), (3.1303298473358154, 'XCEncRunState'), (12.987060070037842, 'XCEncFinishState'), (13.210806846618652, 'XCEncQuitState'), (13.210916996002197, 'FinalState')]
48:[(1.1843349933624268, 'XCEncSettingsState'), (2.3441429138183594, 'XCEncLoopState'), (2.3441989421844482, 'XCEncPreRunState'), (2.3526370525360107, 'XCEncRunState'), (10.712707042694092, 'XCEncFinishState'), (10.980969905853271, 'XCEncQuitState'), (10.981121063232422, 'FinalState')]
49:[(1.185046911239624, 'XCEncSettingsState'), (2.85636305809021, 'XCEncLoopState'), (2.8564908504486084, 'XCEncPreRunState'), (2.8630049228668213, 'XCEncRunState'), (12.211493968963623, 'XCEncFinishState'), (12.416451930999756, 'XCEncQuitState'), (12.41660189628601, 'FinalState')]
50:[(1.1856849193572998, 'XCEncSettingsState'), (3.2918970584869385, 'XCEncLoopState'), (3.2919719219207764, 'XCEncPreRunState'), (3.2974488735198975, 'XCEncRunState'), (12.851160049438477, 'XCEncFinishState'), (13.084357023239136, 'XCEncQuitState'), (13.084473848342896, 'FinalState')]
51:[(1.1862239837646484, 'XCEncSettingsState'), (3.25860595703125, 'XCEncLoopState'), (3.2586910724639893, 'XCEncPreRunState'), (3.264324903488159, 'XCEncRunState'), (12.827961921691895, 'XCEncFinishState'), (13.001796007156372, 'XCEncQuitState'), (13.001901865005493, 'FinalState')]
52:[(1.1867148876190186, 'XCEncSettingsState'), (3.1244969367980957, 'XCEncLoopState'), (3.1246280670166016, 'XCEncPreRunState'), (3.1349239349365234, 'XCEncRunState'), (12.639634847640991, 'XCEncFinishState'), (12.852906942367554, 'XCEncQuitState'), (12.853044033050537, 'FinalState')]
53:[(1.1909048557281494, 'XCEncSettingsState'), (3.106342077255249, 'XCEncLoopState'), (3.1064488887786865, 'XCEncPreRunState'), (3.11216402053833, 'XCEncRunState'), (12.564059019088745, 'XCEncFinishState'), (12.738728046417236, 'XCEncQuitState'), (12.738846063613892, 'FinalState')]
54:[(1.202713966369629, 'XCEncSettingsState'), (3.2334580421447754, 'XCEncLoopState'), (3.2335569858551025, 'XCEncPreRunState'), (3.238402843475342, 'XCEncRunState'), (13.076470851898193, 'XCEncFinishState'), (13.225241899490356, 'XCEncQuitState'), (13.225345849990845, 'FinalState')]
55:[(1.224017858505249, 'XCEncSettingsState'), (3.258859872817993, 'XCEncLoopState'), (3.258939027786255, 'XCEncPreRunState'), (3.264400005340576, 'XCEncRunState'), (12.974298000335693, 'XCEncFinishState'), (13.143338918685913, 'XCEncQuitState'), (13.143440008163452, 'FinalState')]
56:[(1.2259838581085205, 'XCEncSettingsState'), (2.8000268936157227, 'XCEncLoopState'), (2.800152063369751, 'XCEncPreRunState'), (2.8073740005493164, 'XCEncRunState'), (11.771429061889648, 'XCEncFinishState'), (12.0019850730896, 'XCEncQuitState'), (12.00211501121521, 'FinalState')]
