0:[(1.1555290222167969, 'XCEncSettingsState'), (8.626683950424194, 'XCEncLoopState'), (8.626808881759644, 'XCEncPreRunState'), (8.633184909820557, 'XCEncRunState'), (25.67424988746643, 'XCEncFinishState'), (25.826181888580322, 'XCEncQuitState'), (25.826375007629395, 'FinalState')]
1:[(1.1616649627685547, 'XCEncSettingsState'), (8.533751010894775, 'XCEncLoopState'), (8.53384804725647, 'XCEncPreRunState'), (8.539162874221802, 'XCEncRunState'), (26.22071385383606, 'XCEncFinishState'), (26.426434993743896, 'XCEncQuitState'), (26.426591873168945, 'FinalState')]
2:[(1.1645309925079346, 'XCEncSettingsState'), (8.589091062545776, 'XCEncLoopState'), (8.58922791481018, 'XCEncPreRunState'), (8.61476993560791, 'XCEncRunState'), (26.316205978393555, 'XCEncFinishState'), (26.98927903175354, 'XCEncQuitState'), (26.98941683769226, 'FinalState')]
3:[(1.1652278900146484, 'XCEncSettingsState'), (8.429172992706299, 'XCEncLoopState'), (8.429332971572876, 'XCEncPreRunState'), (8.437007904052734, 'XCEncRunState'), (26.248745918273926, 'XCEncFinishState'), (26.472970962524414, 'XCEncQuitState'), (26.473129987716675, 'FinalState')]
4:[(1.166316032409668, 'XCEncSettingsState'), (8.614893913269043, 'XCEncLoopState'), (8.615036964416504, 'XCEncPreRunState'), (8.627086877822876, 'XCEncRunState'), (26.74353003501892, 'XCEncFinishState'), (27.001803874969482, 'XCEncQuitState'), (27.001967906951904, 'FinalState')]
5:[(1.167268991470337, 'XCEncSettingsState'), (7.470671892166138, 'XCEncLoopState'), (7.4707958698272705, 'XCEncPreRunState'), (7.478863954544067, 'XCEncRunState'), (25.66094398498535, 'XCEncFinishState'), (25.921364068984985, 'XCEncQuitState'), (25.92151689529419, 'FinalState')]
6:[(1.167820930480957, 'XCEncSettingsState'), (6.366252899169922, 'XCEncLoopState'), (6.366369962692261, 'XCEncPreRunState'), (6.373049974441528, 'XCEncRunState'), (24.525886058807373, 'XCEncFinishState'), (24.727820873260498, 'XCEncQuitState'), (24.727969884872437, 'FinalState')]
7:[(1.1681418418884277, 'XCEncSettingsState'), (7.766211032867432, 'XCEncLoopState'), (7.7663679122924805, 'XCEncPreRunState'), (7.774271011352539, 'XCEncRunState'), (25.503411054611206, 'XCEncFinishState'), (25.70864486694336, 'XCEncQuitState'), (25.708804845809937, 'FinalState')]
8:[(1.1684150695800781, 'XCEncSettingsState'), (8.464905977249146, 'XCEncLoopState'), (8.465021848678589, 'XCEncPreRunState'), (8.471192836761475, 'XCEncRunState'), (28.21821904182434, 'XCEncFinishState'), (28.452908039093018, 'XCEncQuitState'), (28.453064918518066, 'FinalState')]
9:[(1.169079065322876, 'XCEncSettingsState'), (8.629869937896729, 'XCEncLoopState'), (8.629996061325073, 'XCEncPreRunState'), (8.63914704322815, 'XCEncRunState'), (84.55581402778625, 'XCEncFinishState'), (84.76297092437744, 'XCEncQuitState'), (84.76312589645386, 'FinalState')]
10:[(1.169692039489746, 'XCEncSettingsState'), (8.47314190864563, 'XCEncLoopState'), (8.473260879516602, 'XCEncPreRunState'), (8.4773850440979, 'XCEncRunState'), (77.35648393630981, 'XCEncFinishState'), (77.661691904068, 'XCEncQuitState'), (77.66184091567993, 'FinalState')]
