run_4k_q4_r0_n1 4 0 1 21.9982 22.1106 21.4359 22.1574 3153235 31957721 35556900 35123612 174840 7280052282 21312
run_4k_q4_r1_n1 4 1 1 21.9982 22.1106 21.4359 22.1574 3265859 32194059 35905785 35470628 204528 7280052282 21312
run_4k_q4_r2_n1 4 2 1 21.9982 22.1106 21.4359 22.1574 3162185 31992657 35585540 35167532 166132 7280052282 21312
run_4k_q7_r0_n1 7 0 1 21.3289 21.3869 20.9555 21.4915 3178493 27132361 30730008 30321996 159276 4867354751 21312
run_4k_q7_r1_n1 7 1 1 21.3289 21.3869 20.9555 21.4915 3270046 27321343 31011150 30601860 194644 4867354751 21312
run_4k_q7_r2_n1 7 2 1 21.3289 21.3869 20.9555 21.4915 3205442 27253258 30886146 30470884 171936 4867354751 21312
run_4k_q11_r0_n1 11 0 1 20.6436 20.6703 20.4379 20.7494 3155075 24221691 27794733 27388608 156804 3149874844 21312
run_4k_q11_r1_n1 11 1 1 20.6436 20.6703 20.4379 20.7494 3268687 24415566 28102983 27694440 198432 3149874844 21312
run_4k_q11_r2_n1 11 2 1 20.6436 20.6703 20.4379 20.7494 3183345 24365611 27976995 27562160 170516 3149874844 21312
run_4k_q14_r0_n1 14 0 1 19.9912 19.9698 19.9559 20.1141 3154370 23476297 27009922 26643040 157704 2431086914 21312
run_4k_q14_r1_n1 14 1 1 19.9912 19.9698 19.9559 20.1141 3271120 23681770 27370447 26963068 191580 2431086914 21312
run_4k_q14_r2_n1 14 2 1 19.9912 19.9698 19.9559 20.1141 3203264 23540246 27169253 26755120 170344 2431086914 21312
run_4k_q18_r0_n1 18 0 1 19.6776 19.6492 19.716 19.7536 3154584 22614113 26149665 25780436 159052 2042059509 21312
run_4k_q18_r1_n1 18 1 1 19.6776 19.6492 19.716 19.7536 3260933 22783131 26461117 26053984 197504 2042059509 21312
run_4k_q18_r2_n1 18 2 1 19.6776 19.6492 19.716 19.7536 3144770 22625439 26198879 25781744 172104 2042059509 21312
run_4k_q21_r0_n1 21 0 1 19.4438 19.3973 19.5459 19.5307 3182046 21439957 25038518 24634304 159212 1814611024 21312
run_4k_q21_r1_n1 21 1 1 19.4438 19.3973 19.5459 19.5307 3138937 21382698 24955278 24532644 156404 1814611024 21312
run_4k_q21_r2_n1 21 2 1 19.4438 19.3973 19.5459 19.5307 3277810 21709646 25440920 24999220 204680 1814611024 21312
run_4k_q25_r0_n1 25 0 1 19.1782 19.1128 19.3481 19.2763 3148274 20806104 24376456 23965988 165564 1593610143 21312
run_4k_q25_r1_n1 25 1 1 19.1782 19.1128 19.3481 19.2763 3156893 20821850 24395535 23990104 157312 1593610143 21312
run_4k_q25_r2_n1 25 2 1 19.1782 19.1128 19.3481 19.2763 3286012 21081365 24822087 24378948 205984 1593610143 21312
run_4k_q28_r0_n1 28 0 1 18.817 18.7455 19.0448 18.884 3180181 19637026 23238781 22829560 166136 1350834040 21312
run_4k_q28_r1_n1 28 1 1 18.817 18.7455 19.0448 18.884 3197343 19672016 23299930 22880108 165888 1350834040 21312
run_4k_q28_r2_n1 28 2 1 18.817 18.7455 19.0448 18.884 3276021 19822203 23530523 23108764 201512 1350834040 21312
run_4k_q32_r0_n1 32 0 1 18.3182 18.2072 18.6719 18.4296 3192957 18287397 21902915 21492904 167644 1102462313 21312
run_4k_q32_r1_n1 32 1 1 18.3182 18.2072 18.6719 18.4296 3199132 18270900 21898239 21481836 164348 1102462313 21312
run_4k_q32_r2_n1 32 2 1 18.3182 18.2072 18.6719 18.4296 3263873 18345812 22039808 21620280 200088 1102462313 21312
run_4k_q35_r0_n1 35 0 1 17.9508 17.8212 18.3729 18.0766 3183300 17515963 21130402 20710360 167572 967968484 21312
run_4k_q35_r1_n1 35 1 1 17.9508 17.8212 18.3729 18.0766 3251546 17691127 21329592 20952168 202268 967968484 21312
run_4k_q35_r2_n1 35 2 1 17.9508 17.8212 18.3729 18.0766 3160610 17462055 21038796 20634752 157676 967968484 21312
run_4k_q39_r0_n1 39 0 1 17.3315 17.1227 17.9713 17.6001 3198278 16742337 20367592 19952712 165368 764793314 21312
run_4k_q39_r1_n1 39 1 1 17.3315 17.1227 17.9713 17.6001 3269878 16844193 20503854 20124288 204736 764793314 21312
run_4k_q39_r2_n1 39 2 1 17.3315 17.1227 17.9713 17.6001 3159051 16687028 20264602 19857184 159064 764793314 21312
run_4k_q42_r0_n1 42 0 1 16.9308 16.6837 17.6802 17.2724 3167999 15910942 19508344 19091044 165168 633701004 21312
run_4k_q42_r1_n1 42 1 1 16.9308 16.6837 17.6802 17.2724 3240443 16008862 19671665 19259720 199816 633701004 21312
run_4k_q42_r2_n1 42 2 1 16.9308 16.6837 17.6802 17.2724 3215750 15904697 19504206 19133520 157868 633701004 21312
run_4k_q46_r0_n1 46 0 1 16.4217 16.12 17.3228 16.8811 3225241 14810270 18463487 18046620 163912 503148741 21312
run_4k_q46_r1_n1 46 1 1 16.4217 16.12 17.3228 16.8811 3225854 14893948 18542189 18130516 200728 503148741 21312
run_4k_q46_r2_n1 46 2 1 16.4217 16.12 17.3228 16.8811 3158446 14785972 18326265 17956800 159084 503148741 21312
run_4k_q49_r0_n1 49 0 1 16.073 15.7105 17.1421 16.6781 3142144 14142167 17701669 17294872 153788 437979547 21312
run_4k_q49_r1_n1 49 1 1 16.073 15.7105 17.1421 16.6781 3256557 14363173 18047607 17629228 203980 437979547 21312
run_4k_q49_r2_n1 49 2 1 16.073 15.7105 17.1421 16.6781 3231532 14393131 18054299 17634628 206516 437979547 21312
run_4k_q53_r0_n1 53 0 1 15.5596 15.1425 16.7911 16.2974 3147801 13428640 16995191 16587808 154220 362415204 21312
run_4k_q53_r1_n1 53 1 1 15.5596 15.1425 16.7911 16.2974 3245622 13655533 17331263 16910896 206236 362415204 21312
run_4k_q53_r2_n1 53 2 1 15.5596 15.1425 16.7911 16.2974 3254614 13641887 17323932 16907760 203224 362415204 21312
run_4k_q56_r0_n1 56 0 1 15.1546 14.6958 16.5223 15.9932 3157543 12912617 16489849 16082252 163620 314258306 21312
run_4k_q56_r1_n1 56 1 1 15.1546 14.6958 16.5223 15.9932 3256136 13071066 16745677 16337368 197280 314258306 21312
run_4k_q56_r2_n1 56 2 1 15.1546 14.6958 16.5223 15.9932 3185975 12962397 16570007 16161056 166120 314258306 21312
run_4k_q60_r0_n1 60 0 1 14.5267 13.9754 16.1899 15.6235 3158095 12216660 15797220 15386108 167292 258231435 21312
run_4k_q60_r1_n1 60 1 1 14.5267 13.9754 16.1899 15.6235 3235878 12453668 16114312 15699444 205884 258231435 21312
run_4k_q60_r2_n1 60 2 1 14.5267 13.9754 16.1899 15.6235 3173063 12285973 15885674 15471068 169228 258231435 21312
run_4k_q63_r0_n1 63 0 1 13.9592 13.3293 15.8879 15.3003 3167651 11777634 15368752 14956404 168888 216824705 21312
run_4k_q63_r1_n1 63 1 1 13.9592 13.3293 15.8879 15.3003 3278479 11917752 15615662 15206364 199584 216824705 21312
run_4k_q63_r2_n1 63 2 1 13.9592 13.3293 15.8879 15.3003 3171116 11814624 15411480 14997940 169948 216824705 21312
