184:[(1.3041210174560547, 'DumpSSIMRetrieveState'), (2.3237011432647705, 'DumpSSIMState'), (133.52932715415955, 'FinalState')]
188:[(1.3118531703948975, 'DumpSSIMRetrieveState'), (1.7762300968170166, 'DumpSSIMState'), (156.5875701904297, 'FinalState')]
192:[(1.3149540424346924, 'DumpSSIMRetrieveState'), (1.66145920753479, 'DumpSSIMState'), (130.57401418685913, 'FinalState')]
196:[(1.3179600238800049, 'DumpSSIMRetrieveState'), (3.381955146789551, 'DumpSSIMState'), (129.3761851787567, 'FinalState')]
200:[(1.320937156677246, 'DumpSSIMRetrieveState'), (2.1570241451263428, 'DumpSSIMState'), (138.27653622627258, 'FinalState')]
204:[(1.3237102031707764, 'DumpSSIMRetrieveState'), (5.00226902961731, 'DumpSSIMState'), (145.33838200569153, 'FinalState')]
208:[(1.3265831470489502, 'DumpSSIMRetrieveState'), (1.8784430027008057, 'DumpSSIMState'), (171.12507319450378, 'FinalState')]
212:[(1.328566074371338, 'DumpSSIMRetrieveState'), (3.0507190227508545, 'DumpSSIMState'), (131.0708770751953, 'FinalState')]
216:[(1.3289241790771484, 'DumpSSIMRetrieveState'), (1.8822221755981445, 'DumpSSIMState'), (141.84313106536865, 'FinalState')]
220:[(1.3293612003326416, 'DumpSSIMRetrieveState'), (3.7393572330474854, 'DumpSSIMState'), (134.14029502868652, 'FinalState')]
224:[(1.3297500610351562, 'DumpSSIMRetrieveState'), (1.9216902256011963, 'DumpSSIMState'), (134.02799105644226, 'FinalState')]
228:[(1.330064058303833, 'DumpSSIMRetrieveState'), (2.2105631828308105, 'DumpSSIMState'), (140.763414144516, 'FinalState')]
232:[(1.330428123474121, 'DumpSSIMRetrieveState'), (2.4423820972442627, 'DumpSSIMState'), (142.63806414604187, 'FinalState')]
236:[(1.3307631015777588, 'DumpSSIMRetrieveState'), (2.3574371337890625, 'DumpSSIMState'), (139.30462622642517, 'FinalState')]
240:[(1.3311171531677246, 'DumpSSIMRetrieveState'), (2.313059091567993, 'DumpSSIMState'), (142.51544213294983, 'FinalState')]
244:[(1.3314411640167236, 'DumpSSIMRetrieveState'), (2.2342472076416016, 'DumpSSIMState'), (130.66477417945862, 'FinalState')]
248:[(1.3318171501159668, 'DumpSSIMRetrieveState'), (2.0619640350341797, 'DumpSSIMState'), (151.06495022773743, 'FinalState')]
252:[(1.3321521282196045, 'DumpSSIMRetrieveState'), (4.0010950565338135, 'DumpSSIMState'), (152.24323916435242, 'FinalState')]
256:[(1.332536220550537, 'DumpSSIMRetrieveState'), (4.0541582107543945, 'DumpSSIMState'), (141.25359916687012, 'FinalState')]
260:[(1.3329870700836182, 'DumpSSIMRetrieveState'), (3.9266281127929688, 'DumpSSIMState'), (145.557471036911, 'FinalState')]
264:[(1.3333680629730225, 'DumpSSIMRetrieveState'), (2.07580304145813, 'DumpSSIMState'), (167.1584131717682, 'FinalState')]
268:[(1.333724021911621, 'DumpSSIMRetrieveState'), (2.626561164855957, 'DumpSSIMState'), (131.21552920341492, 'FinalState')]
