0:[(0.12980198860168457, 'XCEncSettingsState'), (6.93001389503479, 'XCEncLoopState'), (6.9301159381866455, 'XCEncPreRunState'), (6.952889919281006, 'XCEncRunState'), (24.421068906784058, 'XCEncDumpState'), (29.326210975646973, 'XCEncLoopState'), (29.32634997367859, 'XCEncFinishState'), (29.514315843582153, 'XCEncQuitState'), (29.514453887939453, 'FinalState')]
4:[(0.15032100677490234, 'XCEncSettingsState'), (6.220003843307495, 'XCEncLoopState'), (6.220146894454956, 'XCEncPreRunState'), (6.23075795173645, 'XCEncRunState'), (37.916154861450195, 'XCEncDumpState'), (45.40188789367676, 'XCEncLoopState'), (45.40210199356079, 'XCEncFinishState'), (45.68024682998657, 'XCEncQuitState'), (45.68040490150452, 'FinalState')]
8:[(0.3814828395843506, 'XCEncSettingsState'), (5.729698896408081, 'XCEncLoopState'), (5.729830980300903, 'XCEncPreRunState'), (5.737936973571777, 'XCEncRunState'), (42.76640200614929, 'XCEncDumpState'), (49.205888986587524, 'XCEncLoopState'), (49.206018924713135, 'XCEncFinishState'), (49.440791845321655, 'XCEncQuitState'), (49.44094896316528, 'FinalState')]
12:[(0.479172945022583, 'XCEncSettingsState'), (5.863281965255737, 'XCEncLoopState'), (5.863425970077515, 'XCEncPreRunState'), (5.87235689163208, 'XCEncRunState'), (43.993791818618774, 'XCEncDumpState'), (50.331809997558594, 'XCEncLoopState'), (50.331984996795654, 'XCEncFinishState'), (50.573370933532715, 'XCEncQuitState'), (50.57349896430969, 'FinalState')]
16:[(0.5364007949829102, 'XCEncSettingsState'), (7.497928857803345, 'XCEncLoopState'), (7.498083829879761, 'XCEncPreRunState'), (7.507439851760864, 'XCEncRunState'), (43.823216915130615, 'XCEncDumpState'), (50.34553289413452, 'XCEncLoopState'), (50.34567594528198, 'XCEncFinishState'), (50.65424180030823, 'XCEncQuitState'), (50.654377937316895, 'FinalState')]
20:[(0.8445708751678467, 'XCEncSettingsState'), (7.589886903762817, 'XCEncLoopState'), (7.5900328159332275, 'XCEncPreRunState'), (7.5992419719696045, 'XCEncRunState'), (44.31401181221008, 'XCEncDumpState'), (50.675885915756226, 'XCEncLoopState'), (50.6760139465332, 'XCEncFinishState'), (51.009711027145386, 'XCEncQuitState'), (51.009822845458984, 'FinalState')]
24:[(1.3241679668426514, 'XCEncSettingsState'), (8.144861936569214, 'XCEncLoopState'), (8.144980907440186, 'XCEncPreRunState'), (8.161496877670288, 'XCEncRunState'), (46.511066913604736, 'XCEncDumpState'), (52.78011202812195, 'XCEncLoopState'), (52.78025484085083, 'XCEncFinishState'), (53.003515005111694, 'XCEncQuitState'), (53.003615856170654, 'FinalState')]
28:[(1.3266348838806152, 'XCEncSettingsState'), (8.888584852218628, 'XCEncLoopState'), (8.88870096206665, 'XCEncPreRunState'), (8.895488977432251, 'XCEncRunState'), (36.78419899940491, 'XCEncDumpState'), (43.31271195411682, 'XCEncLoopState'), (43.31284689903259, 'XCEncFinishState'), (43.55248785018921, 'XCEncQuitState'), (43.552613973617554, 'FinalState')]
32:[(1.3270609378814697, 'XCEncSettingsState'), (5.296518802642822, 'XCEncLoopState'), (5.296658992767334, 'XCEncPreRunState'), (5.301347017288208, 'XCEncRunState'), (24.551208019256592, 'XCEncDumpState'), (28.356660842895508, 'XCEncLoopState'), (28.35682201385498, 'XCEncFinishState'), (28.520617961883545, 'XCEncQuitState'), (28.520752906799316, 'FinalState')]
36:[(1.3289129734039307, 'XCEncSettingsState'), (7.480640888214111, 'XCEncLoopState'), (7.480756998062134, 'XCEncPreRunState'), (7.488916873931885, 'XCEncRunState'), (44.65014886856079, 'XCEncDumpState'), (51.6030969619751, 'XCEncLoopState'), (51.60322690010071, 'XCEncFinishState'), (51.836145877838135, 'XCEncQuitState'), (51.836296796798706, 'FinalState')]
40:[(1.3317358493804932, 'XCEncSettingsState'), (8.621486902236938, 'XCEncLoopState'), (8.62162184715271, 'XCEncPreRunState'), (8.628245830535889, 'XCEncRunState'), (48.55288481712341, 'XCEncDumpState'), (54.85544300079346, 'XCEncLoopState'), (54.85557198524475, 'XCEncFinishState'), (55.237196922302246, 'XCEncQuitState'), (55.23734402656555, 'FinalState')]
44:[(1.33211088180542, 'XCEncSettingsState'), (8.901962995529175, 'XCEncLoopState'), (8.902066946029663, 'XCEncPreRunState'), (8.90881896018982, 'XCEncRunState'), (51.045819997787476, 'XCEncDumpState'), (58.27014780044556, 'XCEncLoopState'), (58.27030801773071, 'XCEncFinishState'), (58.487780809402466, 'XCEncQuitState'), (58.48793697357178, 'FinalState')]
48:[(1.3325159549713135, 'XCEncSettingsState'), (7.77379584312439, 'XCEncLoopState'), (7.773916959762573, 'XCEncPreRunState'), (7.783392906188965, 'XCEncRunState'), (56.042529821395874, 'XCEncDumpState'), (64.2289719581604, 'XCEncLoopState'), (64.22909188270569, 'XCEncFinishState'), (64.5957989692688, 'XCEncQuitState'), (64.59594082832336, 'FinalState')]
52:[(1.3333289623260498, 'XCEncSettingsState'), (8.857133865356445, 'XCEncLoopState'), (8.85726284980774, 'XCEncPreRunState'), (8.86245584487915, 'XCEncRunState'), (51.71605587005615, 'XCEncDumpState'), (56.794004917144775, 'XCEncLoopState'), (56.79415988922119, 'XCEncFinishState'), (57.06582188606262, 'XCEncQuitState'), (57.06597280502319, 'FinalState')]
56:[(1.3388748168945312, 'XCEncSettingsState'), (5.267480850219727, 'XCEncLoopState'), (5.26762580871582, 'XCEncPreRunState'), (5.273607015609741, 'XCEncRunState'), (35.31711483001709, 'XCEncDumpState'), (40.30235195159912, 'XCEncLoopState'), (40.30247902870178, 'XCEncFinishState'), (40.530399799346924, 'XCEncQuitState'), (40.530526876449585, 'FinalState')]
60:[(1.3519890308380127, 'XCEncSettingsState'), (8.872220993041992, 'XCEncLoopState'), (8.87234091758728, 'XCEncPreRunState'), (8.881444931030273, 'XCEncRunState'), (51.067402839660645, 'XCEncDumpState'), (58.38595795631409, 'XCEncLoopState'), (58.38612198829651, 'XCEncFinishState'), (58.62352180480957, 'XCEncQuitState'), (58.623732805252075, 'FinalState')]
64:[(1.366637945175171, 'XCEncSettingsState'), (8.878148794174194, 'XCEncLoopState'), (8.878273010253906, 'XCEncPreRunState'), (8.884009838104248, 'XCEncRunState'), (58.33034682273865, 'XCEncDumpState'), (65.57546901702881, 'XCEncLoopState'), (65.57564187049866, 'XCEncFinishState'), (65.79600191116333, 'XCEncQuitState'), (65.79613399505615, 'FinalState')]
68:[(1.3731439113616943, 'XCEncSettingsState'), (9.032326936721802, 'XCEncLoopState'), (9.032392024993896, 'XCEncPreRunState'), (9.039345026016235, 'XCEncRunState'), (43.26522898674011, 'XCEncDumpState'), (50.161470890045166, 'XCEncLoopState'), (50.16160702705383, 'XCEncFinishState'), (50.536295890808105, 'XCEncQuitState'), (50.536473989486694, 'FinalState')]
72:[(1.3764150142669678, 'XCEncSettingsState'), (5.276921987533569, 'XCEncLoopState'), (5.277064800262451, 'XCEncPreRunState'), (5.282135009765625, 'XCEncRunState'), (30.20035195350647, 'XCEncDumpState'), (34.63844180107117, 'XCEncLoopState'), (34.638571977615356, 'XCEncFinishState'), (34.83516883850098, 'XCEncQuitState'), (34.83533501625061, 'FinalState')]
76:[(1.3772468566894531, 'XCEncSettingsState'), (5.264315843582153, 'XCEncLoopState'), (5.264537811279297, 'XCEncPreRunState'), (5.2707788944244385, 'XCEncRunState'), (25.660218000411987, 'XCEncDumpState'), (30.008864879608154, 'XCEncLoopState'), (30.0090069770813, 'XCEncFinishState'), (30.251744985580444, 'XCEncQuitState'), (30.251878023147583, 'FinalState')]
80:[(1.378053903579712, 'XCEncSettingsState'), (8.284281969070435, 'XCEncLoopState'), (8.284427881240845, 'XCEncPreRunState'), (8.29584288597107, 'XCEncRunState'), (43.34924602508545, 'XCEncDumpState'), (50.871675968170166, 'XCEncLoopState'), (50.87182092666626, 'XCEncFinishState'), (51.13749980926514, 'XCEncQuitState'), (51.13763785362244, 'FinalState')]
84:[(1.3787670135498047, 'XCEncSettingsState'), (8.815363883972168, 'XCEncLoopState'), (8.8155038356781, 'XCEncPreRunState'), (8.823729991912842, 'XCEncRunState'), (44.24599885940552, 'XCEncDumpState'), (51.86488080024719, 'XCEncLoopState'), (51.86501979827881, 'XCEncFinishState'), (52.14799380302429, 'XCEncQuitState'), (52.14811301231384, 'FinalState')]
88:[(1.3793609142303467, 'XCEncSettingsState'), (8.775872945785522, 'XCEncLoopState'), (8.776021957397461, 'XCEncPreRunState'), (8.782179832458496, 'XCEncRunState'), (31.588981866836548, 'XCEncDumpState'), (37.99576997756958, 'XCEncLoopState'), (37.99591302871704, 'XCEncFinishState'), (38.2336208820343, 'XCEncQuitState'), (38.23373579978943, 'FinalState')]
92:[(1.380059003829956, 'XCEncSettingsState'), (8.153012990951538, 'XCEncLoopState'), (8.153128862380981, 'XCEncPreRunState'), (8.159451007843018, 'XCEncRunState'), (31.256680965423584, 'XCEncDumpState'), (37.44756889343262, 'XCEncLoopState'), (37.44771885871887, 'XCEncFinishState'), (37.68795394897461, 'XCEncQuitState'), (37.68810200691223, 'FinalState')]
96:[(1.3836908340454102, 'XCEncSettingsState'), (8.21269702911377, 'XCEncLoopState'), (8.21283483505249, 'XCEncPreRunState'), (8.223270893096924, 'XCEncRunState'), (30.99906897544861, 'XCEncDumpState'), (37.36515498161316, 'XCEncLoopState'), (37.365288972854614, 'XCEncFinishState'), (37.59287190437317, 'XCEncQuitState'), (37.59300899505615, 'FinalState')]
100:[(1.398317813873291, 'XCEncSettingsState'), (8.990765810012817, 'XCEncLoopState'), (8.990839004516602, 'XCEncPreRunState'), (8.996109962463379, 'XCEncRunState'), (30.50726079940796, 'XCEncDumpState'), (36.42341089248657, 'XCEncLoopState'), (36.423563957214355, 'XCEncFinishState'), (36.66664791107178, 'XCEncQuitState'), (36.66677498817444, 'FinalState')]
