0:[(1.644144058227539, 'XCEncSettingsState'), (3.628730058670044, 'XCEncLoopState'), (3.6288790702819824, 'XCEncPreRunState'), (3.6336400508880615, 'XCEncRunState'), (12.635919094085693, 'XCEncDumpState'), (14.35770297050476, 'XCEncLoopState'), (14.35782504081726, 'XCEncFinishState'), (14.514081954956055, 'XCEncQuitState'), (14.514209032058716, 'FinalState')]
1:[(1.8874261379241943, 'XCEncSettingsState'), (3.7535741329193115, 'XCEncLoopState'), (3.753728151321411, 'XCEncPreRunState'), (3.7592880725860596, 'XCEncRunState'), (13.776682138442993, 'XCEncDumpState'), (15.415649175643921, 'XCEncLoopState'), (15.415765047073364, 'XCEncFinishState'), (15.523038148880005, 'XCEncQuitState'), (15.523178100585938, 'FinalState')]
2:[(1.8909780979156494, 'XCEncSettingsState'), (3.1183571815490723, 'XCEncLoopState'), (3.118415117263794, 'XCEncPreRunState'), (3.123303174972534, 'XCEncRunState'), (12.507045030593872, 'XCEncDumpState'), (14.519211053848267, 'XCEncLoopState'), (14.519337177276611, 'XCEncFinishState'), (14.6931791305542, 'XCEncQuitState'), (14.69333815574646, 'FinalState')]
3:[(1.893409013748169, 'XCEncSettingsState'), (3.4338150024414062, 'XCEncLoopState'), (3.4339590072631836, 'XCEncPreRunState'), (3.4412670135498047, 'XCEncRunState'), (12.804332971572876, 'XCEncDumpState'), (14.785339117050171, 'XCEncLoopState'), (14.785467147827148, 'XCEncFinishState'), (14.952416181564331, 'XCEncQuitState'), (14.952566146850586, 'FinalState')]
4:[(1.9004361629486084, 'XCEncSettingsState'), (3.072082996368408, 'XCEncLoopState'), (3.0721659660339355, 'XCEncPreRunState'), (3.0797500610351562, 'XCEncRunState'), (13.084611177444458, 'XCEncDumpState'), (15.201085090637207, 'XCEncLoopState'), (15.201251029968262, 'XCEncFinishState'), (15.459609985351562, 'XCEncQuitState'), (15.459720134735107, 'FinalState')]
5:[(1.9049060344696045, 'XCEncSettingsState'), (3.8070261478424072, 'XCEncLoopState'), (3.8071820735931396, 'XCEncPreRunState'), (3.8124091625213623, 'XCEncRunState'), (14.182666063308716, 'XCEncDumpState'), (15.606843948364258, 'XCEncLoopState'), (15.606954097747803, 'XCEncFinishState'), (15.769886016845703, 'XCEncQuitState'), (15.77003002166748, 'FinalState')]
6:[(1.9098241329193115, 'XCEncSettingsState'), (3.4427490234375, 'XCEncLoopState'), (3.4428811073303223, 'XCEncPreRunState'), (3.450463056564331, 'XCEncRunState'), (12.387973070144653, 'XCEncDumpState'), (14.673925161361694, 'XCEncLoopState'), (14.674057960510254, 'XCEncFinishState'), (14.83411717414856, 'XCEncQuitState'), (14.834251165390015, 'FinalState')]
7:[(1.9135091304779053, 'XCEncSettingsState'), (4.0694520473480225, 'XCEncLoopState'), (4.0695641040802, 'XCEncPreRunState'), (4.073858022689819, 'XCEncRunState'), (15.641801118850708, 'XCEncDumpState'), (17.554563999176025, 'XCEncLoopState'), (17.55467915534973, 'XCEncFinishState'), (17.719516038894653, 'XCEncQuitState'), (17.719619035720825, 'FinalState')]
8:[(1.914344072341919, 'XCEncSettingsState'), (3.95599102973938, 'XCEncLoopState'), (3.956148147583008, 'XCEncPreRunState'), (3.9597620964050293, 'XCEncRunState'), (14.707000970840454, 'XCEncDumpState'), (16.78949499130249, 'XCEncLoopState'), (16.78958511352539, 'XCEncFinishState'), (16.949756145477295, 'XCEncQuitState'), (16.949838161468506, 'FinalState')]
9:[(1.9224209785461426, 'XCEncSettingsState'), (3.1434121131896973, 'XCEncLoopState'), (3.1434690952301025, 'XCEncPreRunState'), (3.148684024810791, 'XCEncRunState'), (12.823606967926025, 'XCEncDumpState'), (14.648789167404175, 'XCEncLoopState'), (14.64894413948059, 'XCEncFinishState'), (14.801757097244263, 'XCEncQuitState'), (14.80188512802124, 'FinalState')]
10:[(1.9284350872039795, 'XCEncSettingsState'), (3.8781089782714844, 'XCEncLoopState'), (3.878227949142456, 'XCEncPreRunState'), (3.882862091064453, 'XCEncRunState'), (12.409649133682251, 'XCEncDumpState'), (14.486310005187988, 'XCEncLoopState'), (14.486431121826172, 'XCEncFinishState'), (14.644387006759644, 'XCEncQuitState'), (14.644520044326782, 'FinalState')]
11:[(2.079379081726074, 'XCEncSettingsState'), (4.176756143569946, 'XCEncLoopState'), (4.176870107650757, 'XCEncPreRunState'), (4.1824870109558105, 'XCEncRunState'), (13.126101970672607, 'XCEncDumpState'), (14.71841311454773, 'XCEncLoopState'), (14.718533039093018, 'XCEncFinishState'), (14.868499040603638, 'XCEncQuitState'), (14.868607997894287, 'FinalState')]
12:[(2.1007349491119385, 'XCEncSettingsState'), (3.766810178756714, 'XCEncLoopState'), (3.7669661045074463, 'XCEncPreRunState'), (3.770686149597168, 'XCEncRunState'), (11.936638116836548, 'XCEncDumpState'), (13.859804153442383, 'XCEncLoopState'), (13.8599271774292, 'XCEncFinishState'), (14.01728105545044, 'XCEncQuitState'), (14.01741909980774, 'FinalState')]
