0:[(1.1645159721374512, 'XCEncSettingsState'), (3.260206937789917, 'XCEncLoopState'), (3.2603089809417725, 'XCEncPreRunState'), (3.2685749530792236, 'XCEncRunState'), (18.86820101737976, 'XCEncDumpState'), (21.399715900421143, 'XCEncLoopState'), (21.399853944778442, 'XCEncFinishState'), (21.617260932922363, 'XCEncQuitState'), (21.617401838302612, 'FinalState')]
1:[(1.1663599014282227, 'XCEncSettingsState'), (3.266516923904419, 'XCEncLoopState'), (3.2666139602661133, 'XCEncPreRunState'), (3.2731518745422363, 'XCEncRunState'), (18.053167819976807, 'XCEncDumpState'), (19.754297971725464, 'XCEncLoopState'), (19.75444197654724, 'XCEncFinishState'), (20.12036681175232, 'XCEncQuitState'), (20.120505809783936, 'FinalState')]
2:[(1.1736838817596436, 'XCEncSettingsState'), (2.309356927871704, 'XCEncLoopState'), (2.3094429969787598, 'XCEncPreRunState'), (2.314728021621704, 'XCEncRunState'), (17.408442974090576, 'XCEncDumpState'), (19.03727889060974, 'XCEncLoopState'), (19.037454843521118, 'XCEncFinishState'), (19.263706922531128, 'XCEncQuitState'), (19.263861894607544, 'FinalState')]
3:[(1.1773908138275146, 'XCEncSettingsState'), (3.2207658290863037, 'XCEncLoopState'), (3.2208828926086426, 'XCEncPreRunState'), (3.2250118255615234, 'XCEncRunState'), (17.80549383163452, 'XCEncDumpState'), (19.475579023361206, 'XCEncLoopState'), (19.475703954696655, 'XCEncFinishState'), (19.684369802474976, 'XCEncQuitState'), (19.68447995185852, 'FinalState')]
4:[(1.1811418533325195, 'XCEncSettingsState'), (3.1957638263702393, 'XCEncLoopState'), (3.195889949798584, 'XCEncPreRunState'), (3.2047369480133057, 'XCEncRunState'), (19.39232087135315, 'XCEncDumpState'), (21.905078887939453, 'XCEncLoopState'), (21.90521001815796, 'XCEncFinishState'), (22.11886692047119, 'XCEncQuitState'), (22.1190128326416, 'FinalState')]
5:[(1.18231201171875, 'XCEncSettingsState'), (3.484118938446045, 'XCEncLoopState'), (3.484172821044922, 'XCEncPreRunState'), (3.488858938217163, 'XCEncRunState'), (43.822803020477295, 'XCEncDumpState'), (49.58543395996094, 'XCEncLoopState'), (49.58560585975647, 'XCEncFinishState'), (49.8984580039978, 'XCEncQuitState'), (49.898605823516846, 'FinalState')]
6:[(1.1830449104309082, 'XCEncSettingsState'), (2.9847400188446045, 'XCEncLoopState'), (2.9848530292510986, 'XCEncPreRunState'), (2.991813898086548, 'XCEncRunState'), (18.540771007537842, 'XCEncDumpState'), (20.98660898208618, 'XCEncLoopState'), (20.986724853515625, 'XCEncFinishState'), (21.214936017990112, 'XCEncQuitState'), (21.215065002441406, 'FinalState')]
7:[(1.1837108135223389, 'XCEncSettingsState'), (2.486313819885254, 'XCEncLoopState'), (2.4863698482513428, 'XCEncPreRunState'), (2.4948339462280273, 'XCEncRunState'), (18.027616024017334, 'XCEncDumpState'), (20.557389974594116, 'XCEncLoopState'), (20.557530879974365, 'XCEncFinishState'), (20.765570878982544, 'XCEncQuitState'), (20.7656888961792, 'FinalState')]
8:[(1.184114933013916, 'XCEncSettingsState'), (3.22963285446167, 'XCEncLoopState'), (3.229733943939209, 'XCEncPreRunState'), (3.2370660305023193, 'XCEncRunState'), (18.9806969165802, 'XCEncDumpState'), (20.55393385887146, 'XCEncLoopState'), (20.554041862487793, 'XCEncFinishState'), (20.831575870513916, 'XCEncQuitState'), (20.831687927246094, 'FinalState')]
9:[(1.1850128173828125, 'XCEncSettingsState'), (3.2371468544006348, 'XCEncLoopState'), (3.237247943878174, 'XCEncPreRunState'), (3.2605369091033936, 'XCEncRunState'), (19.19184899330139, 'XCEncDumpState'), (21.643191814422607, 'XCEncLoopState'), (21.64331889152527, 'XCEncFinishState'), (22.00393581390381, 'XCEncQuitState'), (22.004076957702637, 'FinalState')]
10:[(1.185722827911377, 'XCEncSettingsState'), (2.400960922241211, 'XCEncLoopState'), (2.4010188579559326, 'XCEncPreRunState'), (2.4106268882751465, 'XCEncRunState'), (18.74473786354065, 'XCEncDumpState'), (21.49787402153015, 'XCEncLoopState'), (21.49802589416504, 'XCEncFinishState'), (21.746970891952515, 'XCEncQuitState'), (21.747128009796143, 'FinalState')]
