0:[(1.3725199699401855, 'DumpSSIMRetrieveState'), (1.8937859535217285, 'DumpSSIMState'), (139.058748960495, 'FinalState')]
16:[(1.378532886505127, 'DumpSSIMRetrieveState'), (2.945611000061035, 'DumpSSIMState'), (175.5414319038391, 'FinalState')]
32:[(1.381098985671997, 'DumpSSIMRetrieveState'), (2.183793067932129, 'DumpSSIMState'), (132.22540593147278, 'FinalState')]
48:[(1.3874728679656982, 'DumpSSIMRetrieveState'), (2.894665002822876, 'DumpSSIMState'), (129.608491897583, 'FinalState')]
64:[(1.3882050514221191, 'DumpSSIMRetrieveState'), (2.6575210094451904, 'DumpSSIMState'), (147.07930707931519, 'FinalState')]
80:[(1.38897705078125, 'DumpSSIMRetrieveState'), (2.876750946044922, 'DumpSSIMState'), (141.62964797019958, 'FinalState')]
96:[(1.3896269798278809, 'DumpSSIMRetrieveState'), (3.14351487159729, 'DumpSSIMState'), (140.65947890281677, 'FinalState')]
112:[(1.3907890319824219, 'DumpSSIMRetrieveState'), (1.878861904144287, 'DumpSSIMState'), (131.79562187194824, 'FinalState')]
128:[(1.3913378715515137, 'DumpSSIMRetrieveState'), (2.3389229774475098, 'DumpSSIMState'), (133.1928789615631, 'FinalState')]
144:[(1.397676944732666, 'DumpSSIMRetrieveState'), (2.5004968643188477, 'DumpSSIMState'), (130.81958508491516, 'FinalState')]
160:[(1.4093859195709229, 'DumpSSIMRetrieveState'), (2.1062588691711426, 'DumpSSIMState'), (131.6105170249939, 'FinalState')]
176:[(1.4180488586425781, 'DumpSSIMRetrieveState'), (2.4795029163360596, 'DumpSSIMState'), (130.02491998672485, 'FinalState')]
192:[(1.4212870597839355, 'DumpSSIMRetrieveState'), (3.167293071746826, 'DumpSSIMState'), (178.3046429157257, 'FinalState')]
208:[(1.421949863433838, 'DumpSSIMRetrieveState'), (2.546733856201172, 'DumpSSIMState'), (133.56159687042236, 'FinalState')]
224:[(1.4224190711975098, 'DumpSSIMRetrieveState'), (1.9984259605407715, 'DumpSSIMState'), (70.20082092285156, 'FinalState')]
240:[(1.4228570461273193, 'DumpSSIMRetrieveState'), (2.424402952194214, 'DumpSSIMState'), (68.99312400817871, 'FinalState')]
256:[(1.4258768558502197, 'DumpSSIMRetrieveState'), (2.335381031036377, 'DumpSSIMState'), (130.71292185783386, 'FinalState')]
272:[(1.4311680793762207, 'DumpSSIMRetrieveState'), (2.881308078765869, 'DumpSSIMState'), (133.39113807678223, 'FinalState')]
288:[(1.436405897140503, 'DumpSSIMRetrieveState'), (2.1526448726654053, 'DumpSSIMState'), (128.92156791687012, 'FinalState')]
304:[(1.4416799545288086, 'DumpSSIMRetrieveState'), (2.299625873565674, 'DumpSSIMState'), (159.087730884552, 'FinalState')]
