0:[(1.1597988605499268, 'DumpSSIMRetrieveState'), (1.8223199844360352, 'DumpSSIMState'), (139.63288593292236, 'FinalState')]
16:[(1.1692509651184082, 'DumpSSIMRetrieveState'), (2.160017967224121, 'DumpSSIMState'), (130.7501139640808, 'FinalState')]
32:[(1.3528399467468262, 'DumpSSIMRetrieveState'), (2.1883089542388916, 'DumpSSIMState'), (139.18953394889832, 'FinalState')]
48:[(1.3873488903045654, 'DumpSSIMRetrieveState'), (2.9286630153656006, 'DumpSSIMState'), (132.64411902427673, 'FinalState')]
64:[(1.3876888751983643, 'DumpSSIMRetrieveState'), (2.5657410621643066, 'DumpSSIMState'), (134.45077204704285, 'FinalState')]
80:[(1.3882949352264404, 'DumpSSIMRetrieveState'), (2.6478919982910156, 'DumpSSIMState'), (138.17222690582275, 'FinalState')]
96:[(1.3885400295257568, 'DumpSSIMRetrieveState'), (2.5944559574127197, 'DumpSSIMState'), (140.53681683540344, 'FinalState')]
112:[(1.390099048614502, 'DumpSSIMRetrieveState'), (2.471446990966797, 'DumpSSIMState'), (145.22702503204346, 'FinalState')]
128:[(1.3907718658447266, 'DumpSSIMRetrieveState'), (2.4258649349212646, 'DumpSSIMState'), (130.40632486343384, 'FinalState')]
144:[(1.3987078666687012, 'DumpSSIMRetrieveState'), (2.5077688694000244, 'DumpSSIMState'), (132.36522006988525, 'FinalState')]
160:[(1.412471055984497, 'DumpSSIMRetrieveState'), (2.9915549755096436, 'DumpSSIMState'), (134.17969799041748, 'FinalState')]
176:[(1.4260249137878418, 'DumpSSIMRetrieveState'), (3.8520970344543457, 'DumpSSIMState'), (134.44838690757751, 'FinalState')]
192:[(1.4346718788146973, 'DumpSSIMRetrieveState'), (2.872666835784912, 'DumpSSIMState'), (146.04569602012634, 'FinalState')]
208:[(1.4443728923797607, 'DumpSSIMRetrieveState'), (2.6984989643096924, 'DumpSSIMState'), (139.04213404655457, 'FinalState')]
224:[(1.4516398906707764, 'DumpSSIMRetrieveState'), (2.3588478565216064, 'DumpSSIMState'), (132.70656490325928, 'FinalState')]
240:[(1.4599790573120117, 'DumpSSIMRetrieveState'), (3.4366400241851807, 'DumpSSIMState'), (135.65527987480164, 'FinalState')]
256:[(1.466860055923462, 'DumpSSIMRetrieveState'), (2.9608688354492188, 'DumpSSIMState'), (127.08352398872375, 'FinalState')]
272:[(1.4718859195709229, 'DumpSSIMRetrieveState'), (2.220155954360962, 'DumpSSIMState'), (69.70967197418213, 'FinalState')]
288:[(1.4748919010162354, 'DumpSSIMRetrieveState'), (2.9069268703460693, 'DumpSSIMState'), (129.07355499267578, 'FinalState')]
304:[(1.479308843612671, 'DumpSSIMRetrieveState'), (2.831204891204834, 'DumpSSIMState'), (144.99204301834106, 'FinalState')]
320:[(1.4799480438232422, 'DumpSSIMRetrieveState'), (2.583021879196167, 'DumpSSIMState'), (131.1762239933014, 'FinalState')]
336:[(1.480560064315796, 'DumpSSIMRetrieveState'), (2.4599318504333496, 'DumpSSIMState'), (172.77116584777832, 'FinalState')]
352:[(1.4810059070587158, 'DumpSSIMRetrieveState'), (2.5514509677886963, 'DumpSSIMState'), (135.0042588710785, 'FinalState')]
368:[(1.4837088584899902, 'DumpSSIMRetrieveState'), (2.283961057662964, 'DumpSSIMState'), (129.18180084228516, 'FinalState')]
384:[(1.484117031097412, 'DumpSSIMRetrieveState'), (3.6023330688476562, 'DumpSSIMState'), (128.47180199623108, 'FinalState')]
400:[(1.4846270084381104, 'DumpSSIMRetrieveState'), (3.1519899368286133, 'DumpSSIMState'), (154.1325089931488, 'FinalState')]
416:[(1.4894599914550781, 'DumpSSIMRetrieveState'), (2.3412818908691406, 'DumpSSIMState'), (128.09383893013, 'FinalState')]
432:[(1.4958009719848633, 'DumpSSIMRetrieveState'), (2.923788070678711, 'DumpSSIMState'), (181.98339986801147, 'FinalState')]
448:[(1.5022640228271484, 'DumpSSIMRetrieveState'), (2.7804009914398193, 'DumpSSIMState'), (127.57174801826477, 'FinalState')]
464:[(1.5029518604278564, 'DumpSSIMRetrieveState'), (2.249351978302002, 'DumpSSIMState'), (132.61751794815063, 'FinalState')]
480:[(1.503587007522583, 'DumpSSIMRetrieveState'), (3.9561870098114014, 'DumpSSIMState'), (176.86027097702026, 'FinalState')]
496:[(1.5040299892425537, 'DumpSSIMRetrieveState'), (2.459993839263916, 'DumpSSIMState'), (147.2162630558014, 'FinalState')]
512:[(1.50443696975708, 'DumpSSIMRetrieveState'), (3.3266069889068604, 'DumpSSIMState'), (176.363676071167, 'FinalState')]
528:[(1.5049068927764893, 'DumpSSIMRetrieveState'), (2.516512870788574, 'DumpSSIMState'), (75.0539288520813, 'FinalState')]
544:[(1.507369041442871, 'DumpSSIMRetrieveState'), (2.369441032409668, 'DumpSSIMState'), (126.44103002548218, 'FinalState')]
560:[(1.5097129344940186, 'DumpSSIMRetrieveState'), (3.3551859855651855, 'DumpSSIMState'), (154.873792886734, 'FinalState')]
576:[(1.5139758586883545, 'DumpSSIMRetrieveState'), (3.4928698539733887, 'DumpSSIMState'), (135.10808300971985, 'FinalState')]
592:[(1.5226478576660156, 'DumpSSIMRetrieveState'), (2.0712790489196777, 'DumpSSIMState'), (136.60902285575867, 'FinalState')]
608:[(1.524946928024292, 'DumpSSIMRetrieveState'), (2.374147891998291, 'DumpSSIMState'), (138.4622039794922, 'FinalState')]
624:[(1.5271520614624023, 'DumpSSIMRetrieveState'), (2.485834836959839, 'DumpSSIMState'), (133.44054794311523, 'FinalState')]
640:[(1.5302410125732422, 'DumpSSIMRetrieveState'), (3.6768829822540283, 'DumpSSIMState'), (132.14108896255493, 'FinalState')]
656:[(1.5308129787445068, 'DumpSSIMRetrieveState'), (3.1081929206848145, 'DumpSSIMState'), (135.3338279724121, 'FinalState')]
672:[(1.5329768657684326, 'DumpSSIMRetrieveState'), (2.7450339794158936, 'DumpSSIMState'), (72.83222389221191, 'FinalState')]
688:[(1.535038948059082, 'DumpSSIMRetrieveState'), (2.7473700046539307, 'DumpSSIMState'), (173.87788701057434, 'FinalState')]
704:[(1.5353858470916748, 'DumpSSIMRetrieveState'), (2.8537240028381348, 'DumpSSIMState'), (133.8912968635559, 'FinalState')]
720:[(1.5373589992523193, 'DumpSSIMRetrieveState'), (3.446549892425537, 'DumpSSIMState'), (133.60351705551147, 'FinalState')]
736:[(1.541024923324585, 'DumpSSIMRetrieveState'), (3.285914897918701, 'DumpSSIMState'), (152.98859405517578, 'FinalState')]
752:[(1.544867992401123, 'DumpSSIMRetrieveState'), (2.9570908546447754, 'DumpSSIMState'), (133.4769208431244, 'FinalState')]
768:[(1.5500860214233398, 'DumpSSIMRetrieveState'), (2.9347000122070312, 'DumpSSIMState'), (138.17752695083618, 'FinalState')]
784:[(1.552177906036377, 'DumpSSIMRetrieveState'), (2.859665870666504, 'DumpSSIMState'), (130.41094493865967, 'FinalState')]
800:[(1.5526578426361084, 'DumpSSIMRetrieveState'), (2.4109580516815186, 'DumpSSIMState'), (73.06315588951111, 'FinalState')]
816:[(1.5530519485473633, 'DumpSSIMRetrieveState'), (2.8940320014953613, 'DumpSSIMState'), (137.1346960067749, 'FinalState')]
832:[(1.553400993347168, 'DumpSSIMRetrieveState'), (3.2892119884490967, 'DumpSSIMState'), (134.60511302947998, 'FinalState')]
848:[(1.5537278652191162, 'DumpSSIMRetrieveState'), (3.1903350353240967, 'DumpSSIMState'), (143.32506799697876, 'FinalState')]
864:[(1.5540728569030762, 'DumpSSIMRetrieveState'), (2.5119919776916504, 'DumpSSIMState'), (70.5408399105072, 'FinalState')]
