0:[(0.31999802589416504, 'DumpSSIMRetrieveState'), (0.7209279537200928, 'DumpSSIMState'), (130.9209280014038, 'FinalState')]
16:[(0.3321530818939209, 'DumpSSIMRetrieveState'), (1.3895599842071533, 'DumpSSIMState'), (176.363872051239, 'FinalState')]
32:[(0.3349189758300781, 'DumpSSIMRetrieveState'), (1.0256190299987793, 'DumpSSIMState'), (135.22041201591492, 'FinalState')]
48:[(0.5320250988006592, 'DumpSSIMRetrieveState'), (1.9248521327972412, 'DumpSSIMState'), (137.00172901153564, 'FinalState')]
64:[(0.7895691394805908, 'DumpSSIMRetrieveState'), (2.1279969215393066, 'DumpSSIMState'), (70.48793292045593, 'FinalState')]
80:[(0.8948559761047363, 'DumpSSIMRetrieveState'), (1.9465861320495605, 'DumpSSIMState'), (132.67006492614746, 'FinalState')]
96:[(1.043910026550293, 'DumpSSIMRetrieveState'), (2.0871119499206543, 'DumpSSIMState'), (147.2951979637146, 'FinalState')]
112:[(1.4212241172790527, 'DumpSSIMRetrieveState'), (3.427834987640381, 'DumpSSIMState'), (142.51472806930542, 'FinalState')]
128:[(1.4218521118164062, 'DumpSSIMRetrieveState'), (2.3402459621429443, 'DumpSSIMState'), (128.9336760044098, 'FinalState')]
144:[(1.4227409362792969, 'DumpSSIMRetrieveState'), (2.2815699577331543, 'DumpSSIMState'), (69.55086302757263, 'FinalState')]
160:[(1.423969030380249, 'DumpSSIMRetrieveState'), (2.9792959690093994, 'DumpSSIMState'), (133.99016213417053, 'FinalState')]
176:[(1.4252510070800781, 'DumpSSIMRetrieveState'), (2.5610949993133545, 'DumpSSIMState'), (138.99905800819397, 'FinalState')]
192:[(1.4267301559448242, 'DumpSSIMRetrieveState'), (3.7219159603118896, 'DumpSSIMState'), (143.03211903572083, 'FinalState')]
208:[(1.4337599277496338, 'DumpSSIMRetrieveState'), (2.424823045730591, 'DumpSSIMState'), (141.8723521232605, 'FinalState')]
224:[(1.4563241004943848, 'DumpSSIMRetrieveState'), (2.3567569255828857, 'DumpSSIMState'), (127.46608996391296, 'FinalState')]
240:[(1.464867115020752, 'DumpSSIMRetrieveState'), (2.859653949737549, 'DumpSSIMState'), (140.53083610534668, 'FinalState')]
256:[(1.4693450927734375, 'DumpSSIMRetrieveState'), (2.9583370685577393, 'DumpSSIMState'), (130.09646701812744, 'FinalState')]
272:[(1.4734480381011963, 'DumpSSIMRetrieveState'), (2.3248291015625, 'DumpSSIMState'), (71.03007411956787, 'FinalState')]
288:[(1.4744811058044434, 'DumpSSIMRetrieveState'), (1.9739460945129395, 'DumpSSIMState'), (81.85471606254578, 'FinalState')]
304:[(1.4755821228027344, 'DumpSSIMRetrieveState'), (2.0253570079803467, 'DumpSSIMState'), (131.33751893043518, 'FinalState')]
320:[(1.4764699935913086, 'DumpSSIMRetrieveState'), (2.922429084777832, 'DumpSSIMState'), (150.24184894561768, 'FinalState')]
336:[(1.4812710285186768, 'DumpSSIMRetrieveState'), (2.7740509510040283, 'DumpSSIMState'), (129.0055730342865, 'FinalState')]
352:[(1.4898629188537598, 'DumpSSIMRetrieveState'), (2.5946741104125977, 'DumpSSIMState'), (70.14765000343323, 'FinalState')]
368:[(1.496161937713623, 'DumpSSIMRetrieveState'), (3.4872419834136963, 'DumpSSIMState'), (159.50335001945496, 'FinalState')]
384:[(1.499419927597046, 'DumpSSIMRetrieveState'), (2.413283109664917, 'DumpSSIMState'), (131.24530410766602, 'FinalState')]
400:[(1.5000810623168945, 'DumpSSIMRetrieveState'), (3.0245649814605713, 'DumpSSIMState'), (143.6226511001587, 'FinalState')]
416:[(1.5007331371307373, 'DumpSSIMRetrieveState'), (2.9342031478881836, 'DumpSSIMState'), (136.0467541217804, 'FinalState')]
432:[(1.5012609958648682, 'DumpSSIMRetrieveState'), (2.6142640113830566, 'DumpSSIMState'), (136.14288592338562, 'FinalState')]
448:[(1.501755952835083, 'DumpSSIMRetrieveState'), (3.4577059745788574, 'DumpSSIMState'), (149.7405550479889, 'FinalState')]
464:[(1.5046279430389404, 'DumpSSIMRetrieveState'), (3.042971134185791, 'DumpSSIMState'), (71.7643051147461, 'FinalState')]
480:[(1.5097670555114746, 'DumpSSIMRetrieveState'), (2.20428204536438, 'DumpSSIMState'), (131.12510514259338, 'FinalState')]
496:[(1.519299030303955, 'DumpSSIMRetrieveState'), (3.7317709922790527, 'DumpSSIMState'), (301.47540497779846, 'ErrorState')]
512:[(1.5221331119537354, 'DumpSSIMRetrieveState'), (3.094193935394287, 'DumpSSIMState'), (129.40903115272522, 'FinalState')]
528:[(1.5226809978485107, 'DumpSSIMRetrieveState'), (2.546002149581909, 'DumpSSIMState'), (132.03109002113342, 'FinalState')]
544:[(1.5233180522918701, 'DumpSSIMRetrieveState'), (3.0041520595550537, 'DumpSSIMState'), (132.73316311836243, 'FinalState')]
560:[(1.5238330364227295, 'DumpSSIMRetrieveState'), (3.4490809440612793, 'DumpSSIMState'), (151.94093012809753, 'FinalState')]
576:[(1.5242791175842285, 'DumpSSIMRetrieveState'), (2.514101982116699, 'DumpSSIMState'), (150.29246711730957, 'FinalState')]
592:[(1.5246751308441162, 'DumpSSIMRetrieveState'), (2.5844900608062744, 'DumpSSIMState'), (127.73696303367615, 'FinalState')]
608:[(1.5252039432525635, 'DumpSSIMRetrieveState'), (2.3914029598236084, 'DumpSSIMState'), (136.53505897521973, 'FinalState')]
624:[(1.5289199352264404, 'DumpSSIMRetrieveState'), (2.293545961380005, 'DumpSSIMState'), (153.15461897850037, 'FinalState')]
640:[(1.5294511318206787, 'DumpSSIMRetrieveState'), (2.5611839294433594, 'DumpSSIMState'), (134.14468002319336, 'FinalState')]
656:[(1.5402491092681885, 'DumpSSIMRetrieveState'), (2.4914979934692383, 'DumpSSIMState'), (135.24150395393372, 'FinalState')]
672:[(1.5497360229492188, 'DumpSSIMRetrieveState'), (2.9621329307556152, 'DumpSSIMState'), (136.9190809726715, 'FinalState')]
688:[(1.5523710250854492, 'DumpSSIMRetrieveState'), (2.493607997894287, 'DumpSSIMState'), (168.35333704948425, 'FinalState')]
704:[(1.5530240535736084, 'DumpSSIMRetrieveState'), (2.7003090381622314, 'DumpSSIMState'), (140.10771894454956, 'FinalState')]
720:[(1.5535430908203125, 'DumpSSIMRetrieveState'), (2.6119461059570312, 'DumpSSIMState'), (141.3798589706421, 'FinalState')]
736:[(1.5539700984954834, 'DumpSSIMRetrieveState'), (2.7462329864501953, 'DumpSSIMState'), (78.37520503997803, 'FinalState')]
752:[(1.5543861389160156, 'DumpSSIMRetrieveState'), (3.4129891395568848, 'DumpSSIMState'), (143.66720008850098, 'FinalState')]
768:[(1.554724931716919, 'DumpSSIMRetrieveState'), (3.143310070037842, 'DumpSSIMState'), (135.28931403160095, 'FinalState')]
784:[(1.5551280975341797, 'DumpSSIMRetrieveState'), (3.0768399238586426, 'DumpSSIMState'), (73.43245697021484, 'FinalState')]
800:[(1.557271957397461, 'DumpSSIMRetrieveState'), (3.0122971534729004, 'DumpSSIMState'), (136.4353630542755, 'FinalState')]
816:[(1.557647943496704, 'DumpSSIMRetrieveState'), (2.4594340324401855, 'DumpSSIMState'), (134.79811596870422, 'FinalState')]
832:[(1.5615301132202148, 'DumpSSIMRetrieveState'), (3.973602056503296, 'DumpSSIMState'), (149.98441314697266, 'FinalState')]
848:[(1.568716049194336, 'DumpSSIMRetrieveState'), (2.1075000762939453, 'DumpSSIMState'), (132.10158109664917, 'FinalState')]
864:[(1.5761470794677734, 'DumpSSIMRetrieveState'), (2.962193012237549, 'DumpSSIMState'), (139.58194708824158, 'FinalState')]
880:[(1.578719139099121, 'DumpSSIMRetrieveState'), (2.841140031814575, 'DumpSSIMState'), (72.37020802497864, 'FinalState')]
1:[(1.5793111324310303, 'DumpSSIMRetrieveState'), (2.670366048812866, 'DumpSSIMState'), (133.07274794578552, 'FinalState')]
17:[(1.579728126525879, 'DumpSSIMRetrieveState'), (2.8718531131744385, 'DumpSSIMState'), (71.31887602806091, 'FinalState')]
33:[(1.58017897605896, 'DumpSSIMRetrieveState'), (3.076951026916504, 'DumpSSIMState'), (140.2949869632721, 'FinalState')]
49:[(1.581017017364502, 'DumpSSIMRetrieveState'), (2.324885129928589, 'DumpSSIMState'), (71.74026203155518, 'FinalState')]
65:[(1.5814340114593506, 'DumpSSIMRetrieveState'), (2.656125068664551, 'DumpSSIMState'), (145.39401197433472, 'FinalState')]
81:[(1.58349609375, 'DumpSSIMRetrieveState'), (2.5080299377441406, 'DumpSSIMState'), (172.96829915046692, 'FinalState')]
97:[(1.5888710021972656, 'DumpSSIMRetrieveState'), (2.564974069595337, 'DumpSSIMState'), (71.15653896331787, 'FinalState')]
113:[(1.595818042755127, 'DumpSSIMRetrieveState'), (2.556023120880127, 'DumpSSIMState'), (147.84172296524048, 'FinalState')]
129:[(1.5980849266052246, 'DumpSSIMRetrieveState'), (2.9793550968170166, 'DumpSSIMState'), (128.836040019989, 'FinalState')]
145:[(1.5987160205841064, 'DumpSSIMRetrieveState'), (3.0891480445861816, 'DumpSSIMState'), (181.14090013504028, 'FinalState')]
