0:[(1.3889720439910889, 'DumpSSIMRetrieveState'), (1.9762470722198486, 'DumpSSIMState'), (132.11568593978882, 'FinalState')]
16:[(1.3893840312957764, 'DumpSSIMRetrieveState'), (4.033120155334473, 'DumpSSIMState'), (137.1444480419159, 'FinalState')]
32:[(1.3896820545196533, 'DumpSSIMRetrieveState'), (2.47891902923584, 'DumpSSIMState'), (132.35748314857483, 'FinalState')]
48:[(1.3928229808807373, 'DumpSSIMRetrieveState'), (2.4551260471343994, 'DumpSSIMState'), (132.90300107002258, 'FinalState')]
64:[(1.3931500911712646, 'DumpSSIMRetrieveState'), (2.189095973968506, 'DumpSSIMState'), (127.37704014778137, 'FinalState')]
80:[(1.3934040069580078, 'DumpSSIMRetrieveState'), (2.3806941509246826, 'DumpSSIMState'), (133.40139603614807, 'FinalState')]
96:[(1.3937170505523682, 'DumpSSIMRetrieveState'), (2.382741928100586, 'DumpSSIMState'), (72.64857912063599, 'FinalState')]
112:[(1.3982901573181152, 'DumpSSIMRetrieveState'), (2.406527042388916, 'DumpSSIMState'), (137.62818813323975, 'FinalState')]
128:[(1.4009029865264893, 'DumpSSIMRetrieveState'), (2.528347969055176, 'DumpSSIMState'), (140.01951003074646, 'FinalState')]
144:[(1.4020249843597412, 'DumpSSIMRetrieveState'), (2.354980945587158, 'DumpSSIMState'), (132.90310406684875, 'FinalState')]
160:[(1.4096641540527344, 'DumpSSIMRetrieveState'), (2.7527740001678467, 'DumpSSIMState'), (128.64011001586914, 'FinalState')]
176:[(1.422935962677002, 'DumpSSIMRetrieveState'), (3.354918956756592, 'DumpSSIMState'), (130.75315809249878, 'FinalState')]
192:[(1.4281151294708252, 'DumpSSIMRetrieveState'), (3.8535871505737305, 'DumpSSIMState'), (129.33874106407166, 'FinalState')]
208:[(1.4311330318450928, 'DumpSSIMRetrieveState'), (3.1464920043945312, 'DumpSSIMState'), (129.93619203567505, 'FinalState')]
224:[(1.4342191219329834, 'DumpSSIMRetrieveState'), (2.5485479831695557, 'DumpSSIMState'), (135.2793800830841, 'FinalState')]
