736:[(1.5278911590576172, 'DumpSSIMRetrieveState'), (2.5865721702575684, 'DumpSSIMState'), (131.59832406044006, 'FinalState')]
752:[(1.5317180156707764, 'DumpSSIMRetrieveState'), (2.1982619762420654, 'DumpSSIMState'), (72.8960440158844, 'FinalState')]
768:[(1.5369021892547607, 'DumpSSIMRetrieveState'), (3.0225491523742676, 'DumpSSIMState'), (187.00778102874756, 'FinalState')]
784:[(1.538985013961792, 'DumpSSIMRetrieveState'), (2.4036271572113037, 'DumpSSIMState'), (70.2183051109314, 'FinalState')]
800:[(1.5395350456237793, 'DumpSSIMRetrieveState'), (2.511789083480835, 'DumpSSIMState'), (145.43173718452454, 'FinalState')]
816:[(1.5400140285491943, 'DumpSSIMRetrieveState'), (2.19301700592041, 'DumpSSIMState'), (139.45808100700378, 'FinalState')]
832:[(1.5420520305633545, 'DumpSSIMRetrieveState'), (3.3336360454559326, 'DumpSSIMState'), (127.28836417198181, 'FinalState')]
848:[(1.5441930294036865, 'DumpSSIMRetrieveState'), (2.83699107170105, 'DumpSSIMState'), (131.4309160709381, 'FinalState')]
864:[(1.54612398147583, 'DumpSSIMRetrieveState'), (2.5458669662475586, 'DumpSSIMState'), (70.44278502464294, 'FinalState')]
880:[(1.548091173171997, 'DumpSSIMRetrieveState'), (2.592013120651245, 'DumpSSIMState'), (133.54161596298218, 'FinalState')]
1:[(1.5500121116638184, 'DumpSSIMRetrieveState'), (2.8793551921844482, 'DumpSSIMState'), (161.1847460269928, 'FinalState')]
17:[(1.5548980236053467, 'DumpSSIMRetrieveState'), (2.5440480709075928, 'DumpSSIMState'), (174.0426881313324, 'FinalState')]
33:[(1.5571379661560059, 'DumpSSIMRetrieveState'), (2.894008159637451, 'DumpSSIMState'), (71.90217208862305, 'FinalState')]
49:[(1.5591700077056885, 'DumpSSIMRetrieveState'), (2.8598389625549316, 'DumpSSIMState'), (130.62559819221497, 'FinalState')]
65:[(1.559662103652954, 'DumpSSIMRetrieveState'), (2.4928970336914062, 'DumpSSIMState'), (185.32150411605835, 'FinalState')]
81:[(1.5600621700286865, 'DumpSSIMRetrieveState'), (2.475558042526245, 'DumpSSIMState'), (70.05881905555725, 'FinalState')]
97:[(1.5604240894317627, 'DumpSSIMRetrieveState'), (2.294888973236084, 'DumpSSIMState'), (73.49435806274414, 'FinalState')]
113:[(1.5622291564941406, 'DumpSSIMRetrieveState'), (2.4167699813842773, 'DumpSSIMState'), (137.59581518173218, 'FinalState')]
129:[(1.5625901222229004, 'DumpSSIMRetrieveState'), (2.651034116744995, 'DumpSSIMState'), (135.35407209396362, 'FinalState')]
145:[(1.5629429817199707, 'DumpSSIMRetrieveState'), (2.428516149520874, 'DumpSSIMState'), (80.24822402000427, 'FinalState')]
161:[(1.5633280277252197, 'DumpSSIMRetrieveState'), (3.6968159675598145, 'DumpSSIMState'), (127.5740180015564, 'FinalState')]
177:[(1.5652210712432861, 'DumpSSIMRetrieveState'), (2.5260159969329834, 'DumpSSIMState'), (71.51196908950806, 'FinalState')]
193:[(1.5714731216430664, 'DumpSSIMRetrieveState'), (3.452800989151001, 'DumpSSIMState'), (132.99323415756226, 'FinalState')]
209:[(1.5798890590667725, 'DumpSSIMRetrieveState'), (2.831170082092285, 'DumpSSIMState'), (129.2473759651184, 'FinalState')]
225:[(1.5820000171661377, 'DumpSSIMRetrieveState'), (3.401503086090088, 'DumpSSIMState'), (156.98176503181458, 'FinalState')]
241:[(1.5825581550598145, 'DumpSSIMRetrieveState'), (3.401597023010254, 'DumpSSIMState'), (184.52894806861877, 'FinalState')]
257:[(1.5829780101776123, 'DumpSSIMRetrieveState'), (3.0250589847564697, 'DumpSSIMState'), (141.64039516448975, 'FinalState')]
273:[(1.5833721160888672, 'DumpSSIMRetrieveState'), (3.0037269592285156, 'DumpSSIMState'), (129.65470218658447, 'FinalState')]
289:[(1.5837340354919434, 'DumpSSIMRetrieveState'), (2.09660005569458, 'DumpSSIMState'), (137.39742016792297, 'FinalState')]
305:[(1.5840840339660645, 'DumpSSIMRetrieveState'), (2.7427780628204346, 'DumpSSIMState'), (130.29922604560852, 'FinalState')]
321:[(1.5844581127166748, 'DumpSSIMRetrieveState'), (3.94657301902771, 'DumpSSIMState'), (138.169114112854, 'FinalState')]
337:[(1.5847711563110352, 'DumpSSIMRetrieveState'), (2.7289111614227295, 'DumpSSIMState'), (132.06434106826782, 'FinalState')]
353:[(1.5855350494384766, 'DumpSSIMRetrieveState'), (3.0413870811462402, 'DumpSSIMState'), (147.4555950164795, 'FinalState')]
369:[(1.585886001586914, 'DumpSSIMRetrieveState'), (2.8370401859283447, 'DumpSSIMState'), (151.28441214561462, 'FinalState')]
385:[(1.5862371921539307, 'DumpSSIMRetrieveState'), (2.648635149002075, 'DumpSSIMState'), (153.674968957901, 'FinalState')]
401:[(1.586578130722046, 'DumpSSIMRetrieveState'), (4.063745021820068, 'DumpSSIMState'), (200.88369417190552, 'FinalState')]
417:[(1.5869231224060059, 'DumpSSIMRetrieveState'), (3.436253070831299, 'DumpSSIMState'), (150.42092204093933, 'FinalState')]
433:[(1.587299108505249, 'DumpSSIMRetrieveState'), (2.8532919883728027, 'DumpSSIMState'), (133.89036417007446, 'FinalState')]
449:[(1.5891220569610596, 'DumpSSIMRetrieveState'), (2.5853610038757324, 'DumpSSIMState'), (160.07182908058167, 'FinalState')]
465:[(1.5962741374969482, 'DumpSSIMRetrieveState'), (2.8312289714813232, 'DumpSSIMState'), (145.45748615264893, 'FinalState')]
481:[(1.609861135482788, 'DumpSSIMRetrieveState'), (2.434612989425659, 'DumpSSIMState'), (72.1583399772644, 'FinalState')]
497:[(1.6119780540466309, 'DumpSSIMRetrieveState'), (3.2255661487579346, 'DumpSSIMState'), (174.11036014556885, 'FinalState')]
513:[(1.612523078918457, 'DumpSSIMRetrieveState'), (2.4432990550994873, 'DumpSSIMState'), (75.00953197479248, 'FinalState')]
529:[(1.612882137298584, 'DumpSSIMRetrieveState'), (2.515169143676758, 'DumpSSIMState'), (72.34643411636353, 'FinalState')]
545:[(1.6132709980010986, 'DumpSSIMRetrieveState'), (3.1722161769866943, 'DumpSSIMState'), (136.3532111644745, 'FinalState')]
561:[(1.6148979663848877, 'DumpSSIMRetrieveState'), (2.4843661785125732, 'DumpSSIMState'), (71.21466112136841, 'FinalState')]
577:[(1.6152231693267822, 'DumpSSIMRetrieveState'), (3.1821751594543457, 'DumpSSIMState'), (143.04700708389282, 'FinalState')]
593:[(1.6155979633331299, 'DumpSSIMRetrieveState'), (3.3686671257019043, 'DumpSSIMState'), (132.0304980278015, 'FinalState')]
609:[(1.616008996963501, 'DumpSSIMRetrieveState'), (2.5854201316833496, 'DumpSSIMState'), (70.15031599998474, 'FinalState')]
625:[(1.6176061630249023, 'DumpSSIMRetrieveState'), (3.805562973022461, 'DumpSSIMState'), (177.25492906570435, 'FinalState')]
641:[(1.6191871166229248, 'DumpSSIMRetrieveState'), (2.874441146850586, 'DumpSSIMState'), (137.71669006347656, 'FinalState')]
657:[(1.6232919692993164, 'DumpSSIMRetrieveState'), (3.0649139881134033, 'DumpSSIMState'), (70.34416604042053, 'FinalState')]
673:[(1.6274690628051758, 'DumpSSIMRetrieveState'), (3.174887180328369, 'DumpSSIMState'), (154.99739408493042, 'FinalState')]
689:[(1.6321911811828613, 'DumpSSIMRetrieveState'), (2.425992965698242, 'DumpSSIMState'), (163.76086497306824, 'FinalState')]
705:[(1.632755994796753, 'DumpSSIMRetrieveState'), (2.4991581439971924, 'DumpSSIMState'), (199.7363359928131, 'FinalState')]
721:[(1.6343681812286377, 'DumpSSIMRetrieveState'), (3.283208131790161, 'DumpSSIMState'), (131.3610701560974, 'FinalState')]
737:[(1.6347911357879639, 'DumpSSIMRetrieveState'), (2.4786219596862793, 'DumpSSIMState'), (140.89718103408813, 'FinalState')]
753:[(1.6352670192718506, 'DumpSSIMRetrieveState'), (2.857241153717041, 'DumpSSIMState'), (138.3047890663147, 'FinalState')]
769:[(1.6356391906738281, 'DumpSSIMRetrieveState'), (2.525007963180542, 'DumpSSIMState'), (130.76042199134827, 'FinalState')]
785:[(1.6359751224517822, 'DumpSSIMRetrieveState'), (2.175063133239746, 'DumpSSIMState'), (137.60415506362915, 'FinalState')]
801:[(1.636301040649414, 'DumpSSIMRetrieveState'), (2.900076150894165, 'DumpSSIMState'), (175.1981930732727, 'FinalState')]
817:[(1.6366331577301025, 'DumpSSIMRetrieveState'), (2.554824113845825, 'DumpSSIMState'), (142.20749306678772, 'FinalState')]
833:[(1.6369690895080566, 'DumpSSIMRetrieveState'), (3.5035560131073, 'DumpSSIMState'), (183.34087705612183, 'FinalState')]
849:[(1.6373131275177002, 'DumpSSIMRetrieveState'), (3.1143829822540283, 'DumpSSIMState'), (130.23523616790771, 'FinalState')]
865:[(1.6389801502227783, 'DumpSSIMRetrieveState'), (2.4939990043640137, 'DumpSSIMState'), (136.56396102905273, 'FinalState')]
881:[(1.6406230926513672, 'DumpSSIMRetrieveState'), (3.5157699584960938, 'DumpSSIMState'), (164.95509505271912, 'FinalState')]
2:[(1.644625186920166, 'DumpSSIMRetrieveState'), (2.752979040145874, 'DumpSSIMState'), (148.9190731048584, 'FinalState')]
18:[(1.651129961013794, 'DumpSSIMRetrieveState'), (2.2978291511535645, 'DumpSSIMState'), (128.94235801696777, 'FinalState')]
34:[(1.6566829681396484, 'DumpSSIMRetrieveState'), (2.831278085708618, 'DumpSSIMState'), (136.85128211975098, 'FinalState')]
50:[(1.6585381031036377, 'DumpSSIMRetrieveState'), (2.403745174407959, 'DumpSSIMState'), (136.22073912620544, 'FinalState')]
66:[(1.6590139865875244, 'DumpSSIMRetrieveState'), (2.626521110534668, 'DumpSSIMState'), (150.2544391155243, 'FinalState')]
82:[(1.6593680381774902, 'DumpSSIMRetrieveState'), (2.609236001968384, 'DumpSSIMState'), (128.90829014778137, 'FinalState')]
98:[(1.6597340106964111, 'DumpSSIMRetrieveState'), (2.9397690296173096, 'DumpSSIMState'), (145.2794120311737, 'FinalState')]
114:[(1.6601011753082275, 'DumpSSIMRetrieveState'), (4.355295181274414, 'DumpSSIMState'), (152.89911007881165, 'FinalState')]
130:[(1.6604571342468262, 'DumpSSIMRetrieveState'), (3.4803340435028076, 'DumpSSIMState'), (127.89646911621094, 'FinalState')]
146:[(1.6608130931854248, 'DumpSSIMRetrieveState'), (3.0557501316070557, 'DumpSSIMState'), (137.77879214286804, 'FinalState')]
162:[(1.6611690521240234, 'DumpSSIMRetrieveState'), (3.0185751914978027, 'DumpSSIMState'), (132.39667010307312, 'FinalState')]
178:[(1.6616170406341553, 'DumpSSIMRetrieveState'), (3.0374021530151367, 'DumpSSIMState'), (136.5685420036316, 'FinalState')]
194:[(1.663262128829956, 'DumpSSIMRetrieveState'), (2.8370859622955322, 'DumpSSIMState'), (128.94002103805542, 'FinalState')]
210:[(1.6636521816253662, 'DumpSSIMRetrieveState'), (2.9104161262512207, 'DumpSSIMState'), (131.95768404006958, 'FinalState')]
226:[(1.6640369892120361, 'DumpSSIMRetrieveState'), (2.678766965866089, 'DumpSSIMState'), (126.94373798370361, 'FinalState')]
242:[(1.6644821166992188, 'DumpSSIMRetrieveState'), (2.7019941806793213, 'DumpSSIMState'), (130.7118821144104, 'FinalState')]
258:[(1.6674020290374756, 'DumpSSIMRetrieveState'), (2.987380027770996, 'DumpSSIMState'), (181.94955897331238, 'FinalState')]
274:[(1.673983097076416, 'DumpSSIMRetrieveState'), (3.0881919860839844, 'DumpSSIMState'), (164.7100260257721, 'FinalState')]
290:[(1.6818571090698242, 'DumpSSIMRetrieveState'), (3.6259231567382812, 'DumpSSIMState'), (131.69459319114685, 'FinalState')]
306:[(1.6855530738830566, 'DumpSSIMRetrieveState'), (3.052700996398926, 'DumpSSIMState'), (71.22353196144104, 'FinalState')]
322:[(1.6873271465301514, 'DumpSSIMRetrieveState'), (2.7627651691436768, 'DumpSSIMState'), (159.05865216255188, 'FinalState')]
338:[(1.6877810955047607, 'DumpSSIMRetrieveState'), (3.0414350032806396, 'DumpSSIMState'), (141.7280571460724, 'FinalState')]
354:[(1.6882109642028809, 'DumpSSIMRetrieveState'), (3.0212550163269043, 'DumpSSIMState'), (128.92936897277832, 'FinalState')]
370:[(1.6886851787567139, 'DumpSSIMRetrieveState'), (2.7266030311584473, 'DumpSSIMState'), (147.68250513076782, 'FinalState')]
386:[(1.6890580654144287, 'DumpSSIMRetrieveState'), (2.620565176010132, 'DumpSSIMState'), (143.08567714691162, 'FinalState')]
402:[(1.690675973892212, 'DumpSSIMRetrieveState'), (4.005941152572632, 'DumpSSIMState'), (152.43776512145996, 'FinalState')]
418:[(1.6911051273345947, 'DumpSSIMRetrieveState'), (2.4723939895629883, 'DumpSSIMState'), (126.44689702987671, 'FinalState')]
434:[(1.6915371417999268, 'DumpSSIMRetrieveState'), (3.9868290424346924, 'DumpSSIMState'), (149.55147004127502, 'FinalState')]
450:[(1.6919660568237305, 'DumpSSIMRetrieveState'), (2.484415054321289, 'DumpSSIMState'), (69.97988200187683, 'FinalState')]
