0:[(0.03943300247192383, 'DumpSSIMRetrieveState'), (0.3236870765686035, 'DumpSSIMState'), (130.00778603553772, 'FinalState')]
16:[(0.09036397933959961, 'DumpSSIMRetrieveState'), (0.8351650238037109, 'DumpSSIMState'), (129.33058309555054, 'FinalState')]
32:[(0.09081196784973145, 'DumpSSIMRetrieveState'), (1.1886870861053467, 'DumpSSIMState'), (129.3404359817505, 'FinalState')]
48:[(0.3211829662322998, 'DumpSSIMRetrieveState'), (1.0342860221862793, 'DumpSSIMState'), (121.42510414123535, 'FinalState')]
64:[(0.359266996383667, 'DumpSSIMRetrieveState'), (1.1565539836883545, 'DumpSSIMState'), (127.22430396080017, 'FinalState')]
80:[(0.4200429916381836, 'DumpSSIMRetrieveState'), (1.8773329257965088, 'DumpSSIMState'), (127.56916904449463, 'FinalState')]
96:[(0.4277210235595703, 'DumpSSIMRetrieveState'), (1.2845609188079834, 'DumpSSIMState'), (130.34837794303894, 'FinalState')]
112:[(0.4429759979248047, 'DumpSSIMRetrieveState'), (1.4093730449676514, 'DumpSSIMState'), (180.25427103042603, 'FinalState')]
128:[(0.4654250144958496, 'DumpSSIMRetrieveState'), (1.8749690055847168, 'DumpSSIMState'), (137.5304880142212, 'FinalState')]
144:[(0.4817240238189697, 'DumpSSIMRetrieveState'), (1.265120029449463, 'DumpSSIMState'), (69.54270505905151, 'FinalState')]
160:[(0.7943649291992188, 'DumpSSIMRetrieveState'), (3.0140979290008545, 'DumpSSIMState'), (128.50920295715332, 'FinalState')]
176:[(0.8956811428070068, 'DumpSSIMRetrieveState'), (1.9717609882354736, 'DumpSSIMState'), (128.1818699836731, 'FinalState')]
192:[(1.0310509204864502, 'DumpSSIMRetrieveState'), (2.4387900829315186, 'DumpSSIMState'), (131.84698104858398, 'FinalState')]
208:[(1.075240135192871, 'DumpSSIMRetrieveState'), (1.8947279453277588, 'DumpSSIMState'), (137.10707306861877, 'FinalState')]
224:[(1.0774049758911133, 'DumpSSIMRetrieveState'), (2.5951359272003174, 'DumpSSIMState'), (70.46171712875366, 'FinalState')]
240:[(1.2617430686950684, 'DumpSSIMRetrieveState'), (2.05400013923645, 'DumpSSIMState'), (132.6596279144287, 'FinalState')]
256:[(1.2841980457305908, 'DumpSSIMRetrieveState'), (3.2577600479125977, 'DumpSSIMState'), (130.6445689201355, 'FinalState')]
272:[(1.3260319232940674, 'DumpSSIMRetrieveState'), (2.5308260917663574, 'DumpSSIMState'), (188.9075620174408, 'FinalState')]
288:[(1.3752131462097168, 'DumpSSIMRetrieveState'), (3.8661839962005615, 'DumpSSIMState'), (153.8990421295166, 'FinalState')]
304:[(1.382007122039795, 'DumpSSIMRetrieveState'), (2.121351957321167, 'DumpSSIMState'), (71.77956104278564, 'FinalState')]
320:[(1.3826370239257812, 'DumpSSIMRetrieveState'), (2.0621020793914795, 'DumpSSIMState'), (68.31566309928894, 'FinalState')]
336:[(1.3836390972137451, 'DumpSSIMRetrieveState'), (2.466158151626587, 'DumpSSIMState'), (69.30134105682373, 'FinalState')]
352:[(1.3848919868469238, 'DumpSSIMRetrieveState'), (2.218877077102661, 'DumpSSIMState'), (129.10215210914612, 'FinalState')]
368:[(1.388653039932251, 'DumpSSIMRetrieveState'), (2.537442922592163, 'DumpSSIMState'), (70.45899295806885, 'FinalState')]
384:[(1.3958730697631836, 'DumpSSIMRetrieveState'), (2.5034070014953613, 'DumpSSIMState'), (151.74912309646606, 'FinalState')]
400:[(1.3999969959259033, 'DumpSSIMRetrieveState'), (3.8177011013031006, 'DumpSSIMState'), (152.2706151008606, 'FinalState')]
416:[(1.4084489345550537, 'DumpSSIMRetrieveState'), (2.1612040996551514, 'DumpSSIMState'), (69.6924741268158, 'FinalState')]
432:[(1.4149501323699951, 'DumpSSIMRetrieveState'), (2.5192909240722656, 'DumpSSIMState'), (122.67324113845825, 'FinalState')]
448:[(1.4202561378479004, 'DumpSSIMRetrieveState'), (2.272942066192627, 'DumpSSIMState'), (156.01524209976196, 'FinalState')]
464:[(1.4248230457305908, 'DumpSSIMRetrieveState'), (2.2220230102539062, 'DumpSSIMState'), (71.7952630519867, 'FinalState')]
480:[(1.4258310794830322, 'DumpSSIMRetrieveState'), (2.7529520988464355, 'DumpSSIMState'), (169.52750492095947, 'FinalState')]
496:[(1.427016019821167, 'DumpSSIMRetrieveState'), (2.163332939147949, 'DumpSSIMState'), (134.74334812164307, 'FinalState')]
512:[(1.4278340339660645, 'DumpSSIMRetrieveState'), (2.532905101776123, 'DumpSSIMState'), (136.98548913002014, 'FinalState')]
528:[(1.4284391403198242, 'DumpSSIMRetrieveState'), (2.2629709243774414, 'DumpSSIMState'), (173.57380414009094, 'FinalState')]
544:[(1.4335291385650635, 'DumpSSIMRetrieveState'), (2.2381930351257324, 'DumpSSIMState'), (151.22814297676086, 'FinalState')]
560:[(1.4515321254730225, 'DumpSSIMRetrieveState'), (2.394782066345215, 'DumpSSIMState'), (130.3540780544281, 'FinalState')]
576:[(1.4554131031036377, 'DumpSSIMRetrieveState'), (2.9807450771331787, 'DumpSSIMState'), (133.7236671447754, 'FinalState')]
592:[(1.4565269947052002, 'DumpSSIMRetrieveState'), (1.9219419956207275, 'DumpSSIMState'), (70.62070393562317, 'FinalState')]
608:[(1.4633400440216064, 'DumpSSIMRetrieveState'), (2.8719029426574707, 'DumpSSIMState'), (132.62776803970337, 'FinalState')]
624:[(1.471553087234497, 'DumpSSIMRetrieveState'), (2.5375001430511475, 'DumpSSIMState'), (130.01796507835388, 'FinalState')]
640:[(1.4764339923858643, 'DumpSSIMRetrieveState'), (2.148042917251587, 'DumpSSIMState'), (73.39174199104309, 'FinalState')]
656:[(1.4792859554290771, 'DumpSSIMRetrieveState'), (2.731451988220215, 'DumpSSIMState'), (129.66205191612244, 'FinalState')]
672:[(1.479902982711792, 'DumpSSIMRetrieveState'), (2.343804121017456, 'DumpSSIMState'), (132.5087821483612, 'FinalState')]
688:[(1.480513095855713, 'DumpSSIMRetrieveState'), (2.295504093170166, 'DumpSSIMState'), (130.5907690525055, 'FinalState')]
704:[(1.4810590744018555, 'DumpSSIMRetrieveState'), (3.1176340579986572, 'DumpSSIMState'), (149.81934595108032, 'FinalState')]
720:[(1.4815070629119873, 'DumpSSIMRetrieveState'), (2.4438021183013916, 'DumpSSIMState'), (137.25863695144653, 'FinalState')]
