0:[(0.9768750667572021, 'DumpSSIMRetrieveState'), (1.460862159729004, 'DumpSSIMState'), (69.69862413406372, 'FinalState')]
16:[(1.2011091709136963, 'DumpSSIMRetrieveState'), (2.0032601356506348, 'DumpSSIMState'), (141.39863300323486, 'FinalState')]
32:[(1.3733580112457275, 'DumpSSIMRetrieveState'), (2.262080192565918, 'DumpSSIMState'), (142.86874103546143, 'FinalState')]
48:[(1.373772144317627, 'DumpSSIMRetrieveState'), (2.8242990970611572, 'DumpSSIMState'), (148.84286308288574, 'FinalState')]
64:[(1.3747670650482178, 'DumpSSIMRetrieveState'), (2.946141004562378, 'DumpSSIMState'), (135.82486820220947, 'FinalState')]
80:[(1.3751590251922607, 'DumpSSIMRetrieveState'), (3.2437150478363037, 'DumpSSIMState'), (134.853609085083, 'FinalState')]
96:[(1.3754780292510986, 'DumpSSIMRetrieveState'), (2.5948359966278076, 'DumpSSIMState'), (132.47261810302734, 'FinalState')]
112:[(1.3764581680297852, 'DumpSSIMRetrieveState'), (2.540144205093384, 'DumpSSIMState'), (72.92742109298706, 'FinalState')]
128:[(1.3772401809692383, 'DumpSSIMRetrieveState'), (2.466811180114746, 'DumpSSIMState'), (133.04947519302368, 'FinalState')]
144:[(1.381932020187378, 'DumpSSIMRetrieveState'), (2.7124600410461426, 'DumpSSIMState'), (138.4623761177063, 'FinalState')]
160:[(1.3944900035858154, 'DumpSSIMRetrieveState'), (2.369981050491333, 'DumpSSIMState'), (133.56839108467102, 'FinalState')]
176:[(1.4022459983825684, 'DumpSSIMRetrieveState'), (2.0793840885162354, 'DumpSSIMState'), (73.30647015571594, 'FinalState')]
192:[(1.405853033065796, 'DumpSSIMRetrieveState'), (2.441798210144043, 'DumpSSIMState'), (134.6639461517334, 'FinalState')]
208:[(1.412682056427002, 'DumpSSIMRetrieveState'), (3.0089991092681885, 'DumpSSIMState'), (132.71682810783386, 'FinalState')]
224:[(1.4155011177062988, 'DumpSSIMRetrieveState'), (2.5402071475982666, 'DumpSSIMState'), (125.32994604110718, 'FinalState')]
240:[(1.4160501956939697, 'DumpSSIMRetrieveState'), (3.2533891201019287, 'DumpSSIMState'), (133.17019414901733, 'FinalState')]
256:[(1.4164400100708008, 'DumpSSIMRetrieveState'), (2.197171211242676, 'DumpSSIMState'), (130.51753401756287, 'FinalState')]
272:[(1.4168891906738281, 'DumpSSIMRetrieveState'), (2.15596604347229, 'DumpSSIMState'), (71.07931208610535, 'FinalState')]
288:[(1.4173061847686768, 'DumpSSIMRetrieveState'), (2.7125160694122314, 'DumpSSIMState'), (137.64428520202637, 'FinalState')]
304:[(1.4177300930023193, 'DumpSSIMRetrieveState'), (2.7463459968566895, 'DumpSSIMState'), (70.8657660484314, 'FinalState')]
320:[(1.4181451797485352, 'DumpSSIMRetrieveState'), (2.7732181549072266, 'DumpSSIMState'), (69.94548106193542, 'FinalState')]
336:[(1.4205961227416992, 'DumpSSIMRetrieveState'), (2.9986071586608887, 'DumpSSIMState'), (145.22221302986145, 'FinalState')]
352:[(1.424659013748169, 'DumpSSIMRetrieveState'), (2.7902750968933105, 'DumpSSIMState'), (71.36188817024231, 'FinalState')]
368:[(1.434514045715332, 'DumpSSIMRetrieveState'), (2.8780109882354736, 'DumpSSIMState'), (132.66786122322083, 'FinalState')]
384:[(1.4386520385742188, 'DumpSSIMRetrieveState'), (2.843677043914795, 'DumpSSIMState'), (70.38828015327454, 'FinalState')]
400:[(1.4418041706085205, 'DumpSSIMRetrieveState'), (2.5528221130371094, 'DumpSSIMState'), (82.89166522026062, 'FinalState')]
416:[(1.4426991939544678, 'DumpSSIMRetrieveState'), (2.8243541717529297, 'DumpSSIMState'), (72.0313332080841, 'FinalState')]
432:[(1.4434051513671875, 'DumpSSIMRetrieveState'), (2.627228021621704, 'DumpSSIMState'), (71.51200413703918, 'FinalState')]
448:[(1.4439890384674072, 'DumpSSIMRetrieveState'), (2.1660261154174805, 'DumpSSIMState'), (73.6555540561676, 'FinalState')]
464:[(1.444411039352417, 'DumpSSIMRetrieveState'), (2.2621471881866455, 'DumpSSIMState'), (130.8612711429596, 'FinalState')]
480:[(1.4448699951171875, 'DumpSSIMRetrieveState'), (2.4202041625976562, 'DumpSSIMState'), (136.3991551399231, 'FinalState')]
496:[(1.4455242156982422, 'DumpSSIMRetrieveState'), (2.2009711265563965, 'DumpSSIMState'), (70.25771307945251, 'FinalState')]
512:[(1.448472023010254, 'DumpSSIMRetrieveState'), (2.4746811389923096, 'DumpSSIMState'), (70.53998804092407, 'FinalState')]
528:[(1.4603641033172607, 'DumpSSIMRetrieveState'), (2.5892422199249268, 'DumpSSIMState'), (130.1200840473175, 'FinalState')]
544:[(1.4712250232696533, 'DumpSSIMRetrieveState'), (2.5651931762695312, 'DumpSSIMState'), (72.68626809120178, 'FinalState')]
560:[(1.4748320579528809, 'DumpSSIMRetrieveState'), (2.413443088531494, 'DumpSSIMState'), (130.39166522026062, 'FinalState')]
576:[(1.477971076965332, 'DumpSSIMRetrieveState'), (2.70835018157959, 'DumpSSIMState'), (138.6054060459137, 'FinalState')]
592:[(1.4789190292358398, 'DumpSSIMRetrieveState'), (2.98763108253479, 'DumpSSIMState'), (130.25911712646484, 'FinalState')]
608:[(1.4798860549926758, 'DumpSSIMRetrieveState'), (2.324079990386963, 'DumpSSIMState'), (72.33274722099304, 'FinalState')]
624:[(1.4841492176055908, 'DumpSSIMRetrieveState'), (3.2128260135650635, 'DumpSSIMState'), (135.02502608299255, 'FinalState')]
640:[(1.484579086303711, 'DumpSSIMRetrieveState'), (2.601778030395508, 'DumpSSIMState'), (134.14001202583313, 'FinalState')]
656:[(1.4892911911010742, 'DumpSSIMRetrieveState'), (2.7309460639953613, 'DumpSSIMState'), (137.46899914741516, 'FinalState')]
672:[(1.491260051727295, 'DumpSSIMRetrieveState'), (2.3945860862731934, 'DumpSSIMState'), (137.7930121421814, 'FinalState')]
688:[(1.4945471286773682, 'DumpSSIMRetrieveState'), (2.48445200920105, 'DumpSSIMState'), (72.21349906921387, 'FinalState')]
704:[(1.4964361190795898, 'DumpSSIMRetrieveState'), (3.6597681045532227, 'DumpSSIMState'), (137.32073211669922, 'FinalState')]
720:[(1.4982421398162842, 'DumpSSIMRetrieveState'), (2.5893020629882812, 'DumpSSIMState'), (146.24801921844482, 'FinalState')]
